,Overall Avg,GT Answers,Question,Avg Score: original,Prediction: original,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,Avg Score: 2021-05-02 14:34:03.614988,Predicted: 2021-05-02 14:34:03.614988
5092,100.0,2010 -- ,when did harry audition for the x factor,100.0,2010,0.0,No Edit,100.0,2010,100.0,2010,100.0,2010
5587,100.0,1998 -- ,when was the death penalty stopped in england,100.0,1998,100.0,1998,100.0,1998,100.0,1998,100.0,1998
5898,100.0,8 October 2017 -- ,when is a place to call home season 5 starting,22.0,love,0.0,No Edit,0.0,No Edit,100.0,8 October 2017.,100.0,8 October 2017.
8679,100.0,Brad Rutter -- ,who has won the most money on the show jeopardy,100.0,Brad Rutter,0.0,No Edit,100.0,Brad Rutter,100.0,"Brad Rutter,",100.0,"Brad Rutter,"
5879,100.0,Alexander Skarsgård -- ,who plays tarzan in the legend of tarzan,100.0,Alexander Skarsgård,0.0,No Edit,0.0,No Edit,100.0,Alexander Skarsgård,100.0,Alexander Skarsgård
1695,100.0,2002 -- ,when did justin timberlake become a solo artist,100.0,2002,100.0,2002,100.0,2002,100.0,2002,100.0,2002
5852,100.0,deciduous trees -- ,what types of trees keep their leaves in the winter,100.0,deciduous trees,100.0,deciduous trees,100.0,deciduous trees,100.0,deciduous trees,100.0,deciduous trees
5824,100.0,2 March 2015 -- ,bhabhi ji ghar par hai serial first episode date,75.0,2015,0.0,No Edit,0.0,No Edit,100.0,2 March 2015,100.0,2 March 2015
8703,100.0,24 -- ,how many senators are there in the philippines,100.0,24,100.0,24,100.0,24,100.0,24,100.0,24
5808,100.0,Godfrey Thomson -- ,who opposed the two factor theory of intelligence,100.0,Godfrey Thomson,0.0,No Edit,0.0,No Edit,100.0,"Godfrey Thomson,",100.0,"Godfrey Thomson,"
512,100.0,1937 -- ,golden gate bridge facts when was it built,100.0,1937,100.0,1937,100.0,1937,100.0,1937,100.0,1937
5783,100.0,"Sparta , Illinois -- ",where did they film the movie in the heat of the night,100.0,"Sparta , Illinois",100.0,"Sparta, Illinois,",100.0,"Sparta, Illinois,",100.0,"Sparta, Illinois,",100.0,"Sparta, Illinois,"
8725,100.0,Gabrielle Miller -- ,who is the actress that does the trivago advert,100.0,Gabrielle Miller,0.0,No Edit,0.0,No Edit,100.0,Gabrielle Miller,100.0,Gabrielle Miller
5742,100.0,Euboea -- ,what is the second largest island in greece,100.0,Euboea,100.0,"Euboea,",100.0,"Euboea,",100.0,"Euboea,",100.0,"Euboea,"
8748,100.0,1920 -- ,when did hand held hair dryers come out,100.0,1920,100.0,1920,100.0,1920,100.0,1920,100.0,1920
1738,100.0,1972 -- ,what year did me and julio down by the schoolyard come out,100.0,1972,100.0,1972,100.0,1972,100.0,1972,100.0,1972
494,100.0,1889 -- ,what year saw the formation of the brazilian republic,100.0,1889,100.0,1889,100.0,1889,100.0,1889,100.0,1889
1764,100.0,Bob Marley -- ,who wrote the song i shot the sheriff,100.0,Bob Marley,100.0,"Bob Marley,",100.0,"Bob Marley,",100.0,Bob Marley,100.0,Bob Marley
5672,100.0,19 August 2018 -- ,when is a place to call home season 6 starting,22.0,1959,0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,19 August 2018.
8818,100.0,fires -- ,most of the destruction in san francisco following the earthquake of 1906 happened due to,17.5,80 % of the city was destroyed by the earthquake and fire,100.0,fires,100.0,fires,100.0,fires,100.0,fires
5640,100.0,ex post facto law -- ,the law or bill that changes the legal consequences of acts committed on the legal status of facts,100.0,ex post facto law,100.0,ex post facto law,100.0,ex post facto law,100.0,ex post facto law,100.0,ex post facto law
8831,100.0,1973 -- ,when did the movie jesus christ superstar come out,100.0,1973,100.0,1973,100.0,1973,100.0,1973,100.0,1973
470,100.0,The Exciters -- ,who sang the song do wah diddy diddy dum diddy do,83.5,vocal group The Exciters,100.0,The Exciters.,100.0,the Exciters.,100.0,The Exciters.,100.0,The Exciters.
1797,100.0,busbee -- ,who wrote the song the fighter by keith urban,100.0,busbee,0.0,No Edit,0.0,No Edit,100.0,busbee,100.0,busbee
8847,100.0,1872 -- ,when were the stocks last used in england,100.0,1872,100.0,1872,100.0,1872,100.0,1872,100.0,1872
8848,100.0,25 August 2017 -- ,when is 200 rupees note introduced in india,100.0,25 August 2017,0.0,No Edit,0.0,No Edit,100.0,25 August 2017,100.0,25 August 2017
8859,100.0,Hank Williams -- ,who wrote the song mind your own business,100.0,Hank Williams,0.0,No Edit,100.0,Hank Williams.,100.0,Hank Williams.,100.0,Hank Williams.
2002,100.0,460 -- ,what is the postal code of owerri imo state,100.0,460,100.0,460,100.0,460,100.0,460,100.0,460
5081,100.0,unicameral -- ,does delhi have a unicameral or bicameral legislature,100.0,unicameral,0.0,No Edit,0.0,No Edit,100.0,unicameral,100.0,unicameral
9348,100.0,Cleveland Hopkins International Airport -- ,what is the name of the cleveland airport,80.5,Cleveland Hopkins International airport - wikipedia Cleveland Hopkins International Airport,100.0,Cleveland Hopkins International Airport,100.0,Cleveland Hopkins International Airport,100.0,Cleveland Hopkins International Airport,100.0,Cleveland Hopkins International Airport
4688,100.0,Charles Wesley -- ,who wrote the hymn and can it be,100.0,Charles Wesley,0.0,No Edit,0.0,No Edit,100.0,Charles Wesley.,100.0,Charles Wesley
4665,100.0,15 April 2017 -- ,when is season 10 of doctor who coming out,100.0,15 April 2017,0.0,No Edit,0.0,No Edit,100.0,15 April 2017,100.0,15 April 2017
4650,100.0,the Shirelles -- ,who had a hit with will you still love me tomorrow,100.0,the Shirelles,100.0,The Shirelles,100.0,The Shirelles.,100.0,"the Shirelles,",100.0,"the Shirelles,"
4636,100.0,1996 -- ,the personal responsibility and work reconciliation act (prwra) was signed into law in,100.0,1996,100.0,1996,100.0,1996,100.0,1996,100.0,1996
4621,100.0,troika -- ,name of a russian sled pulled by three horses,100.0,troika,100.0,troika,100.0,troika,100.0,troika,100.0,troika
2174,100.0,26 -- ,how many episodes are in season one of adventure time,100.0,26,0.0,No Edit,100.0,26,100.0,26,100.0,26
9227,100.0,between 9 and 23 February 2018 -- ,when is freestyle skiing in the 2018 olympics,100.0,between 9 and 23 February 2018,0.0,No Edit,0.0,No Edit,100.0,between 9 and 23 February 2018.,100.0,between 9 and 23 February 2018.
9228,100.0,Zoroastrianism -- ,of which religion is the avesta a sacred book,100.0,Zoroastrianism,100.0,"Zoroastrianism,",100.0,"Zoroastrianism,",100.0,"Zoroastrianism,",100.0,"Zoroastrianism,"
9239,100.0,16 July 2005 -- ,when was harry potter and the half blood prince published,100.0,16 July 2005,100.0,"16 July 2005,",100.0,"16 July 2005,",100.0,"16 July 2005,",100.0,"16 July 2005,"
308,100.0,yellow -- ,mix red and green to make this colour,100.0,yellow,100.0,yellow,100.0,yellow,100.0,yellow,100.0,yellow
2183,100.0,marijuana -- peyote -- ,what drug did tony soprano take in vegas,100.0,marijuana,100.0,peyote,100.0,peyote,100.0,marijuana,100.0,peyote
4594,100.0,1997 -- ,what year did tiger woods win his first masters tournament,100.0,1997,100.0,1997,100.0,1997,100.0,1997,100.0,1997
4548,100.0,13 -- ,how many episodes in breaking bad season 3,100.0,13,0.0,No Edit,100.0,13,100.0,13,100.0,13
9283,100.0,audio / visual -- ,what does av on a tv stand for,61.0,audio / visual signals from electronic equipment that generates AV signals ( AV output ) . These terminals,100.0,audio/visual,100.0,audio/visual,100.0,audio/visual,100.0,audio/visual
2235,100.0,1939 -- ,when was the film the wizard of oz made,100.0,1939,100.0,1939,100.0,1939,100.0,1939,100.0,1939
9309,100.0,Roald Dahl -- ,who wrote the book james and the giant peach,100.0,Roald Dahl,100.0,Roald Dahl.,100.0,Roald Dahl.,100.0,Roald Dahl.,100.0,Roald Dahl.
2244,100.0,23 -- ,how many episodes in season 1 desperate housewives,100.0,23,100.0,23,100.0,23,100.0,23,100.0,23
4351,100.0,1969 -- ,when was i know why the cage bird sings written,100.0,1969,100.0,1969,100.0,1969,100.0,1969,100.0,1969
4347,100.0,Patrick Stewart -- ,who plays the poo in the emoji movie,94.0,Sir Patrick Stewart,0.0,No Edit,0.0,No Edit,100.0,Patrick Stewart.,100.0,Patrick Stewart.
275,100.0,"3,500 -- ",how many animals died in the lake nyos tragedy,100.0,"3,500",0.0,No Edit,0.0,No Edit,100.0,"3,500",100.0,"3,500"
2278,100.0,1999 -- ,when was 100 naira note introduced in nigeria,100.0,1999,100.0,1999,100.0,1999,100.0,1999,100.0,1999
4320,100.0,Psy -- ,who is the guy who sings oppa gangnam style,100.0,Psy,0.0,No Edit,100.0,Psy.,100.0,Psy.,100.0,"Psy,"
4310,100.0,the leader of the general classification -- ,who wears the yellow shirt in tour de france,100.0,the leader of the general classification,100.0,the leader of the general classification,100.0,the leader of the general classification,100.0,the leader of the general classification,100.0,the leader of the general classification
2306,100.0,Amy Madigan -- ,who played kevin costner's wife in field of dreams,65.5,"Amy Madigan , a fan of the book , joined the cast as Ray 's wife",100.0,"(Amy Madigan),",100.0,Amy Madigan,100.0,"Amy Madigan,",100.0,"(Amy Madigan),"
4261,100.0,coordination of science and technology - related projects in the Philippines and to formulate policies and projects in the fields of science and technology in support of national development -- ,functions of department of science and technology in the philippines,32.5,policy - making and program implementing functions,100.0,coordination of science and technology-related projects in the Philippines and to formulate policies and projects in the fields of science and technology in support of national development.,100.0,coordination of science and technology-related projects in the Philippines and to formulate policies and projects in the fields of science and technology in support of national development.,100.0,coordination of science and technology-related projects in the Philippines and to formulate policies and projects in the fields of science and technology in support of national development.,100.0,coordination of science and technology-related projects in the Philippines and to formulate policies and projects in the fields of science and technology in support of national development.
2310,100.0,Thespis -- ,who won the first drama contest in 534,100.0,Thespis,100.0,Thespis,100.0,Thespis,100.0,Thespis,100.0,Thespis
4670,100.0,Robert Pershing Wadlow -- ,who was the tallest person that ever lived,82.5,Robert Wadlow - wikipedia Robert Pershing Wadlow,100.0,Robert Pershing Wadlow,100.0,Robert Pershing Wadlow,100.0,Robert Pershing Wadlow,100.0,Robert Pershing Wadlow
2149,100.0,Ramin Djawadi -- ,who writes the music for game of thrones,64.5,music for the fantasy TV series Game of Thrones is composed by Ramin Djawadi,0.0,No Edit,100.0,Ramin Djawadi.,100.0,Ramin Djawadi.,100.0,Ramin Djawadi.
383,100.0,9 -- ,prison break season 5 how many episodes are there,100.0,9,0.0,No Edit,0.0,No Edit,100.0,9,100.0,9
4693,100.0,1963 -- ,when was the first easy bake oven made,100.0,1963,100.0,1963,100.0,1963,100.0,1963,100.0,1963
5064,100.0,Emily Blunt -- ,who is playing mary poppins in the new mary poppins,100.0,Emily Blunt,0.0,No Edit,0.0,No Edit,100.0,Emily Blunt,100.0,Emily Blunt
2013,100.0,Q Lazzarus -- ,who sings goodbye horses in silence of the lambs,100.0,Q Lazzarus,100.0,Q Lazzarus.,100.0,Q Lazzarus.,100.0,Q Lazzarus.,100.0,Q Lazzarus.
5047,100.0,Natalie Anderson -- ,who won survivor blood vs water san juan del sur,100.0,Natalie Anderson,0.0,No Edit,0.0,No Edit,100.0,Natalie Anderson,100.0,Natalie Anderson
5025,100.0,Kim Kardashian -- ,who voiced the pink alien in american dad,47.0,Alasdair Wilkins,0.0,No Edit,0.0,No Edit,100.0,"Kim Kardashian,",100.0,"Kim Kardashian,"
5020,100.0,13 -- ,the originals season 4 total number of episodes,100.0,13,0.0,No Edit,0.0,No Edit,100.0,13,100.0,13
5013,100.0,Alden Ehrenreich -- ,who's playing han solo in the new solo movie,100.0,Alden Ehrenreich,0.0,No Edit,0.0,No Edit,100.0,Alden Ehrenreich,100.0,Alden Ehrenreich
2024,100.0,Pert Kelton -- ,who played the first alice in the honeymooners,100.0,Pert Kelton,100.0,Pert Kelton,100.0,Pert Kelton,100.0,Pert Kelton,100.0,Pert Kelton
4978,100.0,an unnamed narrator -- ,who is telling the story tell tale heart,100.0,an unnamed narrator,100.0,an unnamed narrator,100.0,an unnamed narrator,100.0,an unnamed narrator,100.0,an unnamed narrator
4965,100.0,Gotye -- ,who wrote someone that i used to know,13.0,you 're just somebody that I used to know .,0.0,No Edit,100.0,"Gotye,",100.0,"Gotye,",100.0,"Gotye,"
4960,100.0,Interstate 5 -- ,what freeway runs through seattle portland sacramento and los angeles,75.5,Interstate 5 - wikipedia Interstate 5,100.0,Interstate 5,100.0,Interstate 5,100.0,Interstate 5,100.0,Interstate 5
4959,100.0,statement of change in financial position -- ,a statement or report that records the fluctuation in business's capital is referred as,100.0,statement of change in financial position,0.0,No Edit,100.0,statement of change in financial position,100.0,statement of change in financial position,100.0,statement of change in financial position
4957,100.0,between 150 and 200 hairs -- ,how many horse hairs are on a violin bow,93.0,between 150 and 200,100.0,between 150 and 200 hairs,100.0,between 150 and 200 hairs,100.0,between 150 and 200 hairs,100.0,between 150 and 200 hairs
4894,100.0,Sergio Leone -- ,who directed the movie once upon a time in the west,100.0,Sergio Leone,100.0,Sergio Leone.,100.0,Sergio Leone,100.0,Sergio Leone.,100.0,"Sergio Leone,"
4892,100.0,1935 -- ,when did the social security act become law,100.0,1935,100.0,1935,100.0,1935,100.0,1935,100.0,1935
4863,100.0,1975 -- ,when did they stop putting cigarettes in mres,100.0,1975,0.0,No Edit,100.0,1975,100.0,1975,100.0,1975
2081,100.0,Zachary Levi -- ,who plays chuck on the tv show chuck,90.0,actor Zachary Levi,100.0,Zachary Levi,100.0,Zachary Levi,100.0,Zachary Levi,100.0,Zachary Levi
9107,100.0,the kernel -- ,the supervisor program in an operating system (os) is also known as the,87.5,kernel,100.0,the kernel,100.0,the kernel,100.0,the kernel,100.0,the kernel
2091,100.0,"`` The Good , the Bad and the Ugly '' -- ",what is the name of the good the bad and the ugly theme song,91.0,the Bad and the Ugly,100.0,"""The Good, the Bad and the Ugly""",100.0,"""The Good, the Bad and the Ugly""",100.0,"""The Good, the Bad and the Ugly""",100.0,"""The Good, the Bad and the Ugly"""
2092,100.0,Norman -- ,name of guinea pig in secret life of pets,100.0,Norman,0.0,No Edit,0.0,No Edit,100.0,Norman,100.0,Norman
4826,100.0,"October 9 , 2018 -- ",when is the premiere of the flash season 5,80.0,"9 , 2018",0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,"October 9, 2018,"
4817,100.0,pulmonary artery -- ,through which vessel does blood leave the heart to go to the lungs,100.0,pulmonary artery,100.0,pulmonary artery,100.0,pulmonary artery,100.0,pulmonary artery,100.0,pulmonary artery
4814,100.0,clear -- ,which command is used to clear the screen in linux,100.0,clear,100.0,clear,100.0,clear,100.0,clear,100.0,clear
4747,100.0,Christopher Lloyd -- ,who played jim on the tv show taxi,100.0,Christopher Lloyd,100.0,"Christopher Lloyd,",100.0,"Christopher Lloyd,",100.0,"Christopher Lloyd,",100.0,"Christopher Lloyd,"
9158,100.0,`` the king '' -- ,what is the meaning of the name leroy,9.5,a male given name in English - speaking countries and a family name of French origin,0.0,No Edit,0.0,No Edit,100.0,"the king""",100.0,"the king"""
332,100.0,seven -- ,how many books are in the narnia series,100.0,seven,100.0,seven,100.0,seven,100.0,seven,100.0,seven
1668,100.0,52 -- ,how many mandals are there in adilabad district,100.0,52,0.0,No Edit,0.0,No Edit,100.0,52,100.0,52
5918,100.0,ragtime -- ,scott joplin is best known as a composer of what kind of music,100.0,ragtime,100.0,ragtime,100.0,ragtime,100.0,ragtime,100.0,ragtime
5932,100.0,eight -- ,how many oscar awards did slumdog millionaire win,100.0,eight,100.0,eight,100.0,eight,100.0,eight,100.0,eight
7407,100.0,Glenn Martin Christopher Francis Quinn -- ,who played becky's husband mark on roseanne,89.0,Glenn Quinn - wikipedia Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn
747,100.0,Pascal -- ,what is the name of the chameleon in tangled,100.0,Pascal,0.0,No Edit,0.0,No Edit,100.0,Pascal,100.0,Pascal
1064,100.0,pathologist -- ,what is the person who does an autopsy,100.0,pathologist,100.0,pathologist,100.0,pathologist,100.0,pathologist,100.0,pathologist
1065,100.0,Christopher Paul Curtis -- ,who is the author of bud not buddy,100.0,Christopher Paul Curtis,100.0,Christopher Paul Curtis.,100.0,"Christopher Paul Curtis,",100.0,"Christopher Paul Curtis,",100.0,Christopher Paul Curtis.
7340,100.0,"to facilitate the exchange ( i.e. , clearance ) of payments , securities , or derivatives transactions -- ",what is the purpose of a clearing house,100.0,"to facilitate the exchange ( i.e. , clearance ) of payments , securities , or derivatives transactions",0.0,No Edit,0.0,No Edit,100.0,"to facilitate the exchange (i.e., clearance) of payments, securities, or derivatives transactions",100.0,"to facilitate the exchange (i.e., clearance) of payments, securities, or derivatives transactions"
8144,100.0,two -- ,how many stock exchanges are there in china,100.0,two,100.0,two,100.0,two,100.0,two,100.0,two
8145,100.0,11 -- ,how many episodes of american crime season 1,100.0,11,0.0,No Edit,0.0,No Edit,100.0,11,100.0,11
7311,100.0,Bariatrics -- ,the branch of medicine concerned with prevention control and treatment of obesity is called,21.0,wikipedia,100.0,bariatrics,100.0,bariatrics,100.0,bariatrics,100.0,bariatrics
7270,100.0,1995 -- ,what year did the oklahoma bombing take place,100.0,1995,100.0,1995,100.0,1995,100.0,1995,100.0,1995
1100,100.0,Ray Noble -- ,who wrote the song the very thought of you,100.0,Ray Noble,100.0,Ray Noble.,100.0,Ray Noble.,100.0,Ray Noble.,100.0,Ray Noble.
7212,100.0,black - and - white -- ,are the walking dead comics in color or black and white,100.0,black - and - white,100.0,black and white,100.0,black-and-white,100.0,black-and-white,100.0,black and white
1129,100.0,Bad Company -- ,who sings there's no smoke without a fire,100.0,Bad Company,0.0,No Edit,100.0,"Bad Company,",100.0,"Bad Company,",100.0,"Bad Company,"
7202,100.0,Jim McMahon -- ,who was the vikings starting quarterback in 1993,100.0,Jim McMahon,100.0,Jim McMahon,100.0,Jim McMahon,100.0,Jim McMahon,100.0,Jim McMahon
1132,100.0,top load washing machine -- ,agitator wash technique is used in which type of washing machine,100.0,top load washing machine,100.0,top load washing machine,100.0,top load washing machine,100.0,top load washing machine,100.0,top load washing machine
7199,100.0,2010 -- ,when did the last narnia movie come out,100.0,2010,100.0,2010,100.0,2010,100.0,2010,100.0,2010
7157,100.0,fifth place -- ,where did brazil finish in the 2006 world cup,100.0,fifth place,100.0,fifth place,100.0,fifth place,100.0,fifth place,100.0,fifth place
7155,100.0,To Love Somebody -- ,what song did the bee gees wrote for otis redding,100.0,To Love Somebody,100.0,"""To Love Somebody"",",100.0,"""To Love Somebody"",",100.0,"""To Love Somebody""",100.0,"""To Love Somebody"""
1208,100.0,Peter Lurye -- ,who wrote the magic school bus theme song,100.0,Peter Lurye,100.0,Peter Lurye,100.0,Peter Lurye,100.0,Peter Lurye,100.0,Peter Lurye
8294,100.0,The Carnivorous Carnival -- ,what is the 9th book of the series of unfortunate events,91.5,wikipedia The Carnivorous Carnival,100.0,The Carnivorous Carnival,100.0,The Carnivorous Carnival,100.0,The Carnivorous Carnival,100.0,The Carnivorous Carnival
6996,100.0,John Lennon and Paul McCartney -- ,who wrote have a little help from my friends,100.0,John Lennon and Paul McCartney,100.0,"John Lennon and Paul McCartney,",100.0,"John Lennon and Paul McCartney,",100.0,John Lennon and Paul McCartney,100.0,John Lennon and Paul McCartney
1224,100.0,1959 -- ,who designed the nigerian flag and in what year,100.0,1959,100.0,1959,100.0,1959,100.0,1959,100.0,1959
6983,100.0,1983 -- ,when were the red hot chili peppers formed,100.0,1983,100.0,1983,100.0,1983,100.0,1983,100.0,1983
6978,100.0,to imply that the rum could ward off the coldest chill -- ,why is the bundaberg logo a polar bear,100.0,to imply that the rum could ward off the coldest chill,100.0,to imply that the rum could ward off the coldest chill,100.0,to imply that the rum could ward off the coldest chill,100.0,to imply that the rum could ward off the coldest chill,100.0,to imply that the rum could ward off the coldest chill
8295,100.0,31 -- ,mexico is divided into 1 federal district and how many states brainly,100.0,31,100.0,31,100.0,31,100.0,31,100.0,31
6919,100.0,Glenn Martin Christopher Francis Quinn -- ,who played mark healy on the roseanne show,89.0,Glenn Quinn - wikipedia Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn,100.0,Glenn Martin Christopher Francis Quinn
8314,100.0,Meghna Mishra -- ,who is the singer of main nachdi phira,26.0,Kausar Munir and composed by Amit Trivedi,0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,Meghna Mishra.
1050,100.0,1977 -- ,when did the movie saturday night fever come out,100.0,1977,100.0,1977,100.0,1977,100.0,1977,100.0,1977
7416,100.0,Samoa Joe -- ,who won the number one contender match at extreme rules,100.0,Samoa Joe,0.0,No Edit,0.0,No Edit,100.0,Samoa Joe,100.0,Samoa Joe
1626,100.0,Framlingham Castle -- ,where is castle on the hill based on,100.0,Framlingham Castle,0.0,No Edit,0.0,No Edit,100.0,"Framlingham Castle,",100.0,"Framlingham Castle,"
7439,100.0,George Thorogood and the Destroyers -- ,who sings the song bad to the bone,100.0,George Thorogood and the Destroyers,100.0,George Thorogood and the Destroyers,100.0,George Thorogood and the Destroyers,100.0,George Thorogood and the Destroyers,100.0,George Thorogood and the Destroyers
836,100.0,1975 -- ,when did rocky horror picture show come out,100.0,1975,100.0,1975,100.0,1975,100.0,1975,100.0,1975
862,100.0,Johnny Nash -- ,who sang the original i can see clearly now the rain has gone,100.0,Johnny Nash,100.0,Johnny Nash.,100.0,Johnny Nash.,100.0,Johnny Nash.,100.0,Johnny Nash.
7913,100.0,2013 -- ,what year did beyonce do the super bowl,100.0,2013,0.0,No Edit,100.0,2013,100.0,2013,100.0,2013
7836,100.0,1940 -- ,when did the original woody woodpecker come out,100.0,1940,100.0,1940,100.0,1940,100.0,1940,100.0,1940
867,100.0,Jerry Bock -- ,who wrote the music to fiddler on the roof,100.0,Jerry Bock,100.0,"Jerry Bock,",100.0,"Jerry Bock,",100.0,"Jerry Bock,",100.0,"Jerry Bock,"
7827,100.0,1823 -- ,when did the word lunch start being used,100.0,1823,100.0,1823,100.0,1823,100.0,1823,100.0,1823
824,100.0,The 5th Wave -- ,what is the first book of the 5th wave series,100.0,The 5th Wave,0.0,No Edit,0.0,No Edit,100.0,The 5th Wave.,100.0,The 5th Wave.
7798,100.0,front - wheel - drive -- ,alfa romeo mito front or rear wheel drive,100.0,front - wheel drive,100.0,front-wheel drive,100.0,front-wheel drive,100.0,front-wheel drive,100.0,front-wheel drive
