,Overall Avg,GT Answers,Question,Avg Score: original,Prediction: original,Avg Score: 2010-01-01 00:00:00,Predicted: 2010-01-01 00:00:00,Avg Score: 2014-01-01 00:00:00,Predicted: 2014-01-01 00:00:00,Avg Score: 2018-01-01 00:00:00,Predicted: 2018-01-01 00:00:00,Avg Score: 2021-05-04 05:37:52.352568,Predicted: 2021-05-04 05:37:52.352568
2969,100.0,1988 -- ,when did the original hairspray movie come out,86.5,"26 , 1988",100.0,1988,100.0,1988,100.0,1988,100.0,1988
7363,100.0,10 July 2015 -- ,when did albums start coming out on friday,100.0,10 July 2015,0.0,No Edit,0.0,No Edit,100.0,10 July 2015,100.0,10 July 2015
5400,100.0,1995 -- 2007 -- ,when did sa win the rugby world cup,100.0,1995,100.0,2007,100.0,2007,100.0,2007,100.0,1995
9208,100.0,presumably that rules out foul play -- ,what does death not being treated as suspicious mean,100.0,presumably that rules out foul play,0.0,No Edit,0.0,No Edit,100.0,presumably that rules out foul play,100.0,presumably that rules out foul play
9124,100.0,abbot -- ,what is the leader of a buddhist temple called,100.0,abbot,0.0,No Edit,0.0,No Edit,100.0,abbot,100.0,abbot
3013,100.0,there is no change involved in their formation -- ,why is the enthalpy of formation of an element zero,100.0,there is no change involved in their formation,100.0,there is no change involved in their formation,100.0,there is no change involved in their formation,100.0,there is no change involved in their formation,100.0,there is no change involved in their formation
5367,100.0,oxidation -- ,what type of chemical reaction occurs in anode,100.0,oxidation,100.0,oxidation,100.0,oxidation,100.0,oxidation,100.0,oxidation
7372,100.0,in the north of the Province of New York -- ,where did the battle of lake george take place,100.0,in the north of the Province of New York,100.0,in the north of the Province of New York.,100.0,in the north of the Province of New York.,100.0,in the north of the Province of New York.,100.0,in the north of the Province of New York.
5325,100.0,Jon Amiel -- ,who directed the famous tv serial tandoori nights,100.0,Jon Amiel,100.0,Jon Amiel,100.0,Jon Amiel,100.0,Jon Amiel,100.0,Jon Amiel
1678,100.0,Paul Anka -- ,who wrote the lyrics for the song my way,100.0,Paul Anka,100.0,Paul Anka,100.0,Paul Anka,100.0,Paul Anka,100.0,Paul Anka
3061,100.0,egocentrism -- ,what term is used to describe a childs inability to see the world,86.0,egocentric,100.0,egocentrism,100.0,egocentrism,100.0,egocentrism,100.0,egocentrism
493,100.0,A.A. Milne -- ,who wrote winnie the pooh series of books,100.0,A.A. Milne,100.0,A. A. Milne.,100.0,A. A. Milne.,100.0,A. A. Milne.,100.0,A. A. Milne
492,100.0,Cabo San Lucas International Airport -- ,what is the airport in cabo san lucas,87.0,international airport,100.0,Cabo San Lucas International Airport,100.0,Cabo San Lucas International Airport,100.0,Cabo San Lucas International Airport,100.0,Cabo San Lucas International Airport
1676,100.0,1982 -- ,when did the new king james bible come out,100.0,1982,100.0,1982,100.0,1982,100.0,1982,100.0,1982
3064,100.0,J. Michael Finley -- ,who plays the singer in the movie i can only imagine,100.0,J. Michael Finley,0.0,No Edit,0.0,No Edit,100.0,J. Michael Finley,100.0,J. Michael Finley
7388,100.0,22 -- ,how many episodes of young sheldon in season 1,100.0,22,0.0,No Edit,0.0,No Edit,100.0,22,100.0,22
1260,100.0,pineal gland -- ,the can be found as part of the epithalamus near the superior colliculi of the midbrain,100.0,pineal gland,100.0,pineal gland,100.0,pineal gland,100.0,pineal gland,100.0,pineal gland
478,100.0,1979 -- ,when did mcdonald's start giving out toys,100.0,1979,100.0,1979,100.0,1979,100.0,1979,100.0,1979
2928,100.0,John Stafford Smith -- ,who wrote the music for the national anthem,20.0,a young lawyer named Francis Off Key ( sic ),100.0,"John Stafford Smith,",100.0,John Stafford Smith.,100.0,John Stafford Smith.,100.0,John Stafford Smith.
2924,100.0,Barry Seal -- ,who is the film american made based on,24.5,American Made ( film ) - wikipedia American Made,0.0,No Edit,0.0,No Edit,100.0,"Barry Seal,",100.0,"Barry Seal,"
5285,100.0,six -- ,how many episodes in the inbetweeners season 2,100.0,six,100.0,six,100.0,six,100.0,six,100.0,six
5563,100.0,written law and unwritten law -- ,in malaysian legal system how can malaysian law be classified,100.0,written law and unwritten law,100.0,written law and unwritten law,100.0,written law and unwritten law,100.0,written law and unwritten law,100.0,written law and unwritten law
8959,100.0,"July 21 , 2017 -- ",when does descendants 2 the movie come out,87.0,"21 , 2017",0.0,No Edit,0.0,No Edit,100.0,"July 21, 2017",100.0,"July 21, 2017"
7252,100.0,West Virginia Mountaineers -- ,who did notre dame beat in 1988 national championship,100.0,West Virginia Mountaineers,100.0,West Virginia Mountaineers,100.0,West Virginia Mountaineers,100.0,West Virginia Mountaineers,100.0,West Virginia Mountaineers
5650,100.0,1976 -- ,when did the seahawks become a football team,100.0,1976,100.0,1976,100.0,1976,100.0,1976,100.0,1976
7253,100.0,26 April 1986 -- ,when did the nuclear accident happen in chernobyl,100.0,26 April 1986,100.0,26 April 1986,100.0,26 April 1986,100.0,26 April 1986,100.0,"26 April 1986,"
5619,100.0,scythe -- ,what is the name of the tool the grim reaper carries,100.0,scythe,100.0,scythe,100.0,scythe,100.0,scythe,100.0,scythe
2812,100.0,"Promontory Summit , Utah Territory -- ",where was the ceremony held on may 10 1869 to celebrate the joining of two railroads,100.0,"Promontory Summit , Utah Territory",100.0,"Promontory Summit, Utah Territory.",100.0,"Promontory Summit, Utah Territory.",100.0,"Promontory Summit, Utah Territory.",100.0,"Promontory Summit, Utah Territory."
2816,100.0,cult image -- ,what were statues in a temple called ancient egypt,100.0,cult image,0.0,No Edit,100.0,cult image,100.0,cult image,100.0,cult image
5611,100.0,Arjun Singh -- ,who was the chief minister of mp during bhopal gas tragedy,19.0,chief Warren Anderson,0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,Arjun Singh
5610,100.0,McCulloch v. Maryland -- ,the necessary and proper clause was articulated by which supreme court case,78.0,McCulloch v. Maryland - wikipedia McCulloch v. Maryland,100.0,"McCulloch v. Maryland,",100.0,"McCulloch v. Maryland,",100.0,"McCulloch v. Maryland,",100.0,"McCulloch v. Maryland,"
7270,100.0,died in a plane crash -- ,what happened to darrell from ice road truckers,100.0,died in a plane crash,0.0,No Edit,0.0,No Edit,100.0,died in a plane crash,100.0,died in a plane crash
8114,100.0,Jay Hernandez -- ,who's playing magnum in the new series,29.0,Tim Kang,0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,Jay Hernandez
5586,100.0,a conference room at Broadcasting House -- ,where did the name room 101 come from,81.5,a conference room at Broadcasting House where he used to sit through tedious meetings,0.0,No Edit,0.0,No Edit,100.0,a conference room at Broadcasting House,100.0,a conference room at Broadcasting House
9005,100.0,Old Time Rock and Roll -- ,what song does he dance to in risky business,100.0,Old Time Rock and Roll,100.0,"""Old Time Rock and Roll"".",100.0,"""Old Time Rock and Roll"".",100.0,"""Old Time Rock and Roll"".",100.0,"""Old Time Rock and Roll""."
628,100.0,20 -- ,how many episodes in pretty little liars season seven,100.0,20,0.0,No Edit,0.0,No Edit,100.0,20,100.0,20
5486,100.0,13 October 2016 -- ,when did the king of thailand pass away,100.0,13 October 2016,0.0,No Edit,0.0,No Edit,100.0,"13 October 2016,",100.0,13 October 2016
5557,100.0,Paul McCartney -- ,who wrote if you want it here it is come and get it,100.0,Paul McCartney,100.0,Paul McCartney,100.0,Paul McCartney,100.0,Paul McCartney,100.0,Paul McCartney
624,100.0,1960 -- ,when was the original little shop of horrors made,100.0,1960,100.0,1960,100.0,1960,100.0,1960,100.0,1960
2856,100.0,yellow -- ,what colour jersey does the stage winner of the tour de france wear,100.0,yellow,100.0,yellow,100.0,yellow,100.0,yellow,100.0,yellow
5544,100.0,Antonio Banderas -- ,who played the pirate in sponge out of water,100.0,Antonio Banderas,0.0,No Edit,100.0,Antonio Banderas,100.0,Antonio Banderas,100.0,Antonio Banderas
5542,100.0,fiducial edge -- ,working edge of an alidate is known as,100.0,fiducial edge,100.0,fiducial edge,100.0,fiducial edge,100.0,fiducial edge,100.0,fiducial edge
5539,100.0,rabbi -- ,what is the name given to the chief religious leader of a synagogue,100.0,rabbi,100.0,rabbi,100.0,rabbi,100.0,rabbi,100.0,rabbi
2883,100.0,1966 -- ,when did england win the soccer world cup,15.0,1930 and Italy in 1934,100.0,1966,100.0,1966,100.0,1966,100.0,1966
1720,100.0,13 -- ,how many episodes are there in originals season 4,100.0,13,0.0,No Edit,0.0,No Edit,100.0,13,100.0,13
2893,100.0,Pert Kelton -- ,who played the first alice on the honeymooners,71.5,veteran comedy movie actress Pert Kelton,100.0,Pert Kelton,100.0,Pert Kelton,100.0,Pert Kelton,100.0,Pert Kelton
592,100.0,five years -- ,the term of vice president of india is,25.5,60 days of the expiry of the term of office,100.0,five years,100.0,five years,100.0,five years,100.0,five years.
2913,100.0,Devon Bostick -- ,who plays rodrick on diary of a wimpy kid,76.0,Devon Bostick - wikipedia Devon Bostick,100.0,Devon Bostick,100.0,Devon Bostick,100.0,Devon Bostick,100.0,Devon Bostick
7327,100.0,6 August 1861 -- ,when was lagos annexed by the colonial masters,73.5,1861,0.0,No Edit,100.0,6 August 1861,100.0,6 August 1861,100.0,6 August 1861
2917,100.0,acrostic -- ,using the letters of a word to make a poem,100.0,acrostic,100.0,acrostic,100.0,acrostic,100.0,acrostic,100.0,acrostic
5291,100.0,Todd Robert Bowles -- ,who is the new york jets head coach,81.0,Todd Bowles - wikipedia Todd Robert Bowles,100.0,Todd Robert Bowles,100.0,Todd Robert Bowles,100.0,Todd Robert Bowles,100.0,Todd Robert Bowles
7393,100.0,1983 -- ,when was the movie the big chill made,100.0,1983,100.0,1983,100.0,1983,100.0,1983,100.0,1983
7250,100.0,1844 -- ,when was the first international game of cricket played,100.0,1844,100.0,1844,100.0,1844,100.0,1844,100.0,1844
7530,100.0,Hermey -- ,who was the elf that wanted to be a dentist in rudolph,61.0,"Hermey , an elf who ran away from Santa 's workshop",100.0,Hermey,100.0,Hermey,100.0,"Hermey,",100.0,"Hermey,"
3216,100.0,Alden Ehrenreich -- ,who plays hans solo in the new solo movie,100.0,Alden Ehrenreich,0.0,No Edit,0.0,No Edit,100.0,Alden Ehrenreich,100.0,Alden Ehrenreich
9425,100.0,1956 -- ,when did wake forest university move to winston salem,100.0,1956,100.0,1956,100.0,1956,100.0,1956,100.0,1956
7474,100.0,pyrite -- ,which mineral of sulphur is known as fool's gold,100.0,pyrite,100.0,pyrite,100.0,pyrite,100.0,pyrite,100.0,pyrite
1628,100.0,11779 -- ,what is the zip code for ronkonkoma ny,100.0,11779,100.0,11779,100.0,11779,100.0,11779,100.0,11779
5078,100.0,2013 -- ,when was frozen film produced in which year,25.0,1952,0.0,No Edit,100.0,2013,100.0,2013,100.0,2013
3260,100.0,2019 -- ,when is the lego movie sequel coming out,100.0,2019,0.0,No Edit,0.0,No Edit,100.0,2019,100.0,2019
9496,100.0,"Franklin Lakes , New Jersey -- ",where was the movie lean on me filmed,100.0,"Franklin Lakes , New Jersey",100.0,"Franklin Lakes, New Jersey.",100.0,"Franklin Lakes, New Jersey.",100.0,"Franklin Lakes, New Jersey.",100.0,"Franklin Lakes, New Jersey."
1609,100.0,six -- ,how many episodes is season 8 of game of thrones,100.0,six,0.0,No Edit,0.0,No Edit,100.0,six,100.0,six
7526,100.0,mission statement -- ,the statement of an organization's purpose or reason for being is called its,100.0,mission statement,100.0,mission statement,100.0,mission statement,100.0,mission statement,100.0,mission statement
9513,100.0,Martin Freeman -- ,who played the cia agent in black panther,59.0,Martin Freeman portrays Ross in the Marvel Cinematic Universe in the 2016 film Captain America : Civil War and in the 2018 film Black Panther .,0.0,No Edit,0.0,No Edit,100.0,Martin Freeman,100.0,Martin Freeman
345,100.0,Operation Dynamo -- ,what was the codename given to the evacuation of dunkirk,100.0,Operation Dynamo,100.0,Operation Dynamo,100.0,"Operation Dynamo,",100.0,"Operation Dynamo,",100.0,Operation Dynamo
4988,100.0,1903 -- ,when was the story of my life first published,100.0,1903,100.0,1903,100.0,1903,100.0,1903,100.0,1903
3331,100.0,`` The Quarterback '' -- ,in what episode of glee does finn die,93.0,The Quarterback ( Glee ),0.0,No Edit,100.0,"""The Quarterback""",100.0,"""The Quarterback""",100.0,"""The Quarterback"""
9532,100.0,1977 -- ,when were computers first sold to the public,100.0,1977,100.0,1977,100.0,1977,100.0,1977,100.0,1977
3203,100.0,Jake Bugg -- ,who sings the theme song for happy valley,75.0,singer songwriter Jake Bugg,0.0,No Edit,100.0,Jake Bugg.,100.0,Jake Bugg.,100.0,Jake Bugg.
3342,100.0,Lacey Turner -- ,who played our girl in the first series,100.0,Lacey Turner,0.0,No Edit,100.0,Lacey Turner,100.0,Lacey Turner,100.0,Lacey Turner
9538,100.0,1965 -- ,when did the movie sound of music come out,100.0,1965,100.0,1965,100.0,1965,100.0,1965,100.0,1965
3349,100.0,Otis Redding -- ,who wrote the song i've got dreams to remember,100.0,Otis Redding,100.0,Otis Redding.,100.0,Otis Redding.,100.0,Otis Redding.,100.0,Otis Redding.
9549,100.0,Robert Pershing Wadlow -- ,who is the tallest man who ever lived,82.5,Robert Wadlow - wikipedia Robert Pershing Wadlow,100.0,Robert Pershing Wadlow,100.0,Robert Pershing Wadlow,100.0,Robert Pershing Wadlow,100.0,Robert Pershing Wadlow
1593,100.0,1980 -- ,when did the federal sharia courts came into existence,100.0,1980,100.0,1980,100.0,1980,100.0,1980,100.0,1980
3368,100.0,1950 -- ,when was the book the lion the witch and the wardrobe published,100.0,1950,100.0,1950,100.0,1950,100.0,1950,100.0,1950
1318,100.0,Björn Ulvaeus -- ,who wrote when all is said and done,100.0,Björn Ulvaeus,100.0,Björn Ulvaeus,100.0,Björn Ulvaeus,100.0,Björn Ulvaeus,100.0,Björn Ulvaeus
3390,100.0,103 -- ,how many games did the chicago cubs win in the 2016 season,14.0,171⁄2 games,0.0,No Edit,0.0,No Edit,100.0,103,100.0,103
296,100.0,1943 -- ,when did the women's professional baseball league start,100.0,1943,100.0,1943,100.0,1943,100.0,1943,100.0,1943
3399,100.0,18 -- ,this is us season two number of episodes,65.5,18 episodes,0.0,No Edit,0.0,No Edit,100.0,18,100.0,18
1581,100.0,Bryan Fisher -- ,who played carmen's boyfriend on george lopez,75.5,Bryan Fisher - wikipedia Bryan Fisher,100.0,Bryan Fisher,100.0,Bryan Fisher,100.0,Bryan Fisher,100.0,Bryan Fisher
9579,100.0,redemption -- ,what is the meaning of fida in telugu,100.0,redemption,100.0,redemption,100.0,redemption,100.0,redemption,100.0,redemption
1571,100.0,pollen tube -- ,what name is used to designate the tubular protrusion from the pollen grain,100.0,pollen tube,100.0,pollen tube,100.0,pollen tube,100.0,pollen tube,100.0,pollen tube
3213,100.0,John Sebastian -- ,who wrote the song do you believe in magic,100.0,John Sebastian,100.0,John Sebastian.,100.0,John Sebastian.,100.0,John Sebastian.,100.0,John Sebastian.
9415,100.0,Stevie Wonder -- ,who sings faith at the end of sing,100.0,Stevie Wonder,0.0,No Edit,0.0,No Edit,100.0,Stevie Wonder,100.0,"Stevie Wonder,"
3082,100.0,1922 -- ,when did robert frost wrote stopping by the woods,100.0,1922,100.0,1922,100.0,1922,100.0,1922,100.0,1922
5211,100.0,Nebuchadnezzar -- ,what is the name of morpheus's hovercraft ship in the matrix,100.0,Nebuchadnezzar,100.0,"Nebuchadnezzar,",100.0,"Nebuchadnezzar,",100.0,"Nebuchadnezzar,",100.0,"Nebuchadnezzar,"
7413,100.0,1637 -- ,when did hyde park open to the public,100.0,1637,100.0,1637,100.0,1637,100.0,1637,100.0,1637
3088,100.0,Leanne Mitchell -- ,who won the first series of the voice uk,100.0,Leanne Mitchell,0.0,No Edit,100.0,"Leanne Mitchell,",100.0,"Leanne Mitchell,",100.0,"Leanne Mitchell,"
5271,100.0,24 -- ,how many episodes are in season 1 of friends,100.0,24,100.0,24,100.0,24,100.0,24,100.0,24
5264,100.0,Hoyt Axton -- ,who wrote the song jeremiah was a bullfrog,100.0,Hoyt Axton,100.0,"Hoyt Axton,",100.0,"Hoyt Axton,",100.0,"Hoyt Axton,",100.0,Hoyt Axton
1646,100.0,Henri Pequet -- ,who piloted the first commercial civil aviation flight that took place in india,100.0,Henri Pequet,0.0,No Edit,0.0,No Edit,100.0,"Henri Pequet,",100.0,"Henri Pequet,"
7450,100.0,on his eleventh birthday -- ,when does harry potter find out he's a wizard,100.0,on his eleventh birthday,100.0,on his eleventh birthday,100.0,on his eleventh birthday,100.0,on his eleventh birthday,100.0,on his eleventh birthday
3099,100.0,Braun Strowman -- ,who won the 50 man royal rumble match,61.0,Braun Strowman won the titular Greatest Royal Rumble match to become the inaugural Greatest Royal Rumble Champion,0.0,No Edit,0.0,No Edit,0.0,No Edit,100.0,Braun Strowman
9318,100.0,61 -- ,how many nhl records does wayne gretzky hold,50.0,60,100.0,61,100.0,61,100.0,61,100.0,61
3110,100.0,`` What Is Dead May Never Die '' -- ,the game of thrones season 2 episode 3,100.0,What Is Dead May Never Die,0.0,No Edit,100.0,"""What Is Dead May Never Die""",100.0,"""What Is Dead May Never Die""",100.0,"""What Is Dead May Never Die"""
5242,100.0,1995 -- ,when did tales from the hood come out,100.0,1995,100.0,1995,100.0,1995,100.0,1995,100.0,1995
5231,100.0,Karl Urban -- ,who plays judge dredd in the 2012 movie,100.0,Karl Urban,0.0,No Edit,100.0,Karl Urban,100.0,Karl Urban,100.0,Karl Urban
5214,100.0,remote uninhabited Pacific islands -- ,where is the island with bear grylls based,21.0,off the coast of Panama,0.0,No Edit,0.0,No Edit,100.0,remote uninhabited Pacific islands,100.0,remote uninhabited Pacific islands
9344,100.0,1977 -- ,when did k9 first appear in doctor who,100.0,1977,100.0,1977,100.0,1977,100.0,1977,100.0,1977
1285,100.0,1901 -- ,when was the nobel prize for literature instituted,100.0,1901,100.0,1901,100.0,1901,100.0,1901,100.0,1901
406,100.0,Alexithymia -- ,what is it called when you cant feel emotion,100.0,alexithymia,100.0,alexithymia,100.0,alexithymia,100.0,alexithymia,100.0,alexithymia
7468,100.0,Sophie Faldo -- ,who won the great british bake off season 8,100.0,Sophie Faldo,0.0,No Edit,0.0,No Edit,100.0,"Sophie Faldo,",100.0,"Sophie Faldo,"
5175,100.0,1980 -- ,when was the movie 9 to 5 made,100.0,1980,100.0,1980,100.0,1980,100.0,1980,100.0,1980
5163,100.0,Dheeraj Dhoopar -- ,what is the real name of karan in kundali bhagya,77.0,Dheeraj Dhoopar - Wikipedia Dheeraj Dhoopar,0.0,No Edit,100.0,Dheeraj Dhoopar,100.0,Dheeraj Dhoopar,100.0,Dheeraj Dhoopar
3171,100.0,Roger Lancelyn Green -- ,who wrote king arthur and the knights of the round table,100.0,Roger Lancelyn Green,100.0,Roger Lancelyn Green.,100.0,Roger Lancelyn Green.,100.0,Roger Lancelyn Green.,100.0,Roger Lancelyn Green.
3174,100.0,between 1865 and 1870 -- ,when were the 13 14 and 15th amendments passed,100.0,between 1865 and 1870,100.0,between 1865 and 1870,100.0,between 1865 and 1870,100.0,between 1865 and 1870,100.0,between 1865 and 1870
3177,100.0,"October 28 , 2014 -- ",when does the new droid turbo come out,71.0,2014,0.0,No Edit,0.0,No Edit,100.0,"October 28, 2014",100.0,"October 28, 2014"
423,100.0,1978 -- ,when was gymnastics introduced to the commonwealth games,100.0,1978,100.0,1978,100.0,1978,100.0,1978,100.0,1978
422,100.0,MC Books -- ,who raps at the start of the get down,100.0,MC Books,0.0,No Edit,0.0,No Edit,100.0,"MC Books,",100.0,"MC Books,"
1635,100.0,six -- ,how many episodes are in the final season of game of thrones,100.0,six,0.0,No Edit,0.0,No Edit,100.0,six,100.0,six
5142,100.0,2028 -- ,when is la going to host the olympics,100.0,2028,0.0,No Edit,0.0,No Edit,100.0,2028,100.0,2028
9391,100.0,Stevie Wonder -- ,who plays harmonica on i feel for you,100.0,Stevie Wonder,100.0,Stevie Wonder.,100.0,Stevie Wonder.,100.0,Stevie Wonder.,100.0,Stevie Wonder.
414,100.0,1996 -- ,when did the game of thrones books come out,100.0,1996,100.0,1996,100.0,1996,100.0,1996,100.0,1996
3199,100.0,Gareth Edwards -- ,who directed rogue one a star wars story,100.0,Gareth Edwards,0.0,No Edit,0.0,No Edit,100.0,Gareth Edwards.,100.0,Gareth Edwards.
5654,100.0,28 June 1919 -- ,when did the us sign the treaty of versailles,100.0,28 June 1919,100.0,"28 June 1919,",100.0,"28 June 1919,",100.0,28 June 1919,100.0,28 June 1919
2781,100.0,tropical lowland rainforests in the upper ( emergent ) canopy layer -- ,where does the harpy eagle live in the rainforest,81.0,tropical lowland rainforests,100.0,tropical lowland rainforests in the upper (emergent) canopy layer,100.0,tropical lowland rainforests in the upper (emergent) canopy layer,100.0,tropical lowland rainforests in the upper (emergent) canopy layer,100.0,tropical lowland rainforests in the upper (emergent) canopy layer
7586,100.0,1939 -- ,when was the original wizard of oz movie made,50.0,1925,100.0,1939,100.0,1939,100.0,1939,100.0,1939
2227,100.0,structuring -- ,is an attempt to avoid large currency reporting,100.0,structuring,100.0,structuring,100.0,structuring,100.0,structuring,100.0,structuring
2134,100.0,"Washington , D.C. -- ",where is the white house located in what state,100.0,"Washington , D.C.",100.0,"Washington, D.C.,",100.0,"Washington, D.C.",100.0,"Washington, D.C.,",100.0,"Washington, D.C.,"
2137,100.0,1963 -- ,what year did the game mousetrap come out,100.0,1963,100.0,1963,100.0,1963,100.0,1963,100.0,1963
6653,100.0,Ewan MacColl -- ,who wrote the song the first time i ever saw your face,73.0,political singer / songwriter Ewan MacColl,100.0,Ewan MacColl,100.0,Ewan MacColl,100.0,Ewan MacColl,100.0,Ewan MacColl
979,100.0,Cole Porter -- ,who wrote the music for kiss me kate,100.0,Cole Porter,100.0,Cole Porter.,100.0,Cole Porter.,100.0,Cole Porter.,100.0,Cole Porter.
6639,100.0,Neil Reid -- ,who sang mother of mine on opportunity knocks,73.5,Neil Reid - Wikipedia Neil Reid,100.0,Neil Reid,100.0,Neil Reid,100.0,Neil Reid,100.0,Neil Reid
6949,100.0,Lacey Chabert -- Mila Kunis -- ,who's the voice of meg in family guy,100.0,Lacey Chabert,100.0,Lacey Chabert,100.0,Mila Kunis.,100.0,Lacey Chabert,100.0,Mila Kunis
6638,100.0,Stephen Collins -- ,who plays andy's dad in the office,100.0,Stephen Collins,0.0,No Edit,100.0,"Stephen Collins,",100.0,"Stephen Collins,",100.0,"Stephen Collins,"
6628,100.0,nephron -- ,the functional unit of the kidneys is the,100.0,nephron,100.0,Nephron,100.0,Nephron,100.0,nephron,100.0,nephron
8512,100.0,1934 -- ,when did india first participated in commonwealth games,100.0,1934,100.0,1934,100.0,1934,100.0,1934,100.0,1934
2198,100.0,1960s -- ,when was the theory of seafloor spreading proposed,100.0,1960s,100.0,1960s,100.0,1960s,100.0,1960s,100.0,1960s
955,100.0,Madison Nicole Ziegler -- ,who is the girl that dances for sia,82.0,Maddie Ziegler - Wikipedia Madison Nicole Ziegler,0.0,No Edit,0.0,No Edit,100.0,Madison Nicole Ziegler,100.0,Madison Nicole Ziegler
6552,100.0,2003 -- ,when did looney tunes back in action come out,100.0,2003,100.0,2003,100.0,2003,100.0,2003,100.0,2003
6539,100.0,1998 -- ,when did france beat brazil in world cup,50.0,1930,0.0,No Edit,100.0,1998,100.0,1998,100.0,1998
8551,100.0,"on location on the shores of Mono Lake , California -- ",where was the movie high plains drifter made,100.0,"on location on the shores of Mono Lake , California .",100.0,"on location on the shores of Mono Lake, California.",100.0,"on location on the shores of Mono Lake, California.",100.0,"on location on the shores of Mono Lake, California.",100.0,"on location on the shores of Mono Lake, California."
6691,100.0,Charlie Hunnam -- ,who played arthur in king arthur legend of the sword,100.0,Charlie Hunnam,0.0,No Edit,0.0,No Edit,100.0,Charlie Hunnam,100.0,Charlie Hunnam
944,100.0,tropical lowland rainforests in the upper ( emergent ) canopy layer -- ,where do harpy eagles live in the rainforest,81.0,tropical lowland rainforests,100.0,tropical lowland rainforests in the upper (emergent) canopy layer,100.0,tropical lowland rainforests in the upper (emergent) canopy layer,100.0,tropical lowland rainforests in the upper (emergent) canopy layer,100.0,tropical lowland rainforests in the upper (emergent) canopy layer
2235,100.0,Robert Frost -- ,author of miles to go before i sleep,100.0,Robert Frost,0.0,No Edit,100.0,Robert Frost.,100.0,Robert Frost.,100.0,Robert Frost.
6970,100.0,1991 -- ,when was capita fully listed on the london stock exchange,100.0,1991,100.0,1991,100.0,1991,100.0,1991,100.0,1991
1963,100.0,1992 -- ,when did mortal kombat video game come out,100.0,1992,100.0,1992,100.0,1992,100.0,1992,100.0,1992
921,100.0,stained glass windows -- ,sheets of colored glass joined together with strips of lead is called,100.0,stained glass windows,100.0,stained glass windows,100.0,stained glass windows,100.0,stained glass windows,100.0,stained glass windows
8600,100.0,The Yoko Factor -- ,buffy the vampire slayer season 4 episode 20,77.0,The Yoko Factor - wikipedia `` The Yoko Factor '',100.0,"""The Yoko Factor""",100.0,"""The Yoko Factor""",100.0,"""The Yoko Factor""",100.0,"""The Yoko Factor"""
6439,100.0,60 ° -- ,what is the size of the angles of an equilateral triangle,100.0,60 °,100.0,60°,100.0,60°,100.0,60°,100.0,60°
1939,100.0,VIL Media Pvt Ltd . -- ,who is the owner of v6 telugu news channel,100.0,VIL Media Pvt Ltd,0.0,No Edit,100.0,VIL Media Pvt Ltd.,100.0,VIL Media Pvt Ltd.,100.0,VIL Media Pvt Ltd.
6369,100.0,1886 -- ,when was the strange case of dr jekyll and mr hyde published,100.0,1886,100.0,1886,100.0,1886,100.0,1886,100.0,1886
