,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
41,where does us highway 1 start and end,"['from Fort Kent , Maine , at the Canada -- US border , south to Key West , Florida', 'Fort Kent , Maine', 'from Fort Kent , Maine , at the Canada -- US border']",U.S. Route 1,"Key West, Fort Kent, Maine, just beyond Interstate 476","{'Key West': 'U.S. Route 1', 'Fort Kent, Maine': 'U.S. Route 1', 'just beyond Interstate 476': 'U.S. Route 1'}",100.0,"Fort Kent, Maine",U.S. Route 1,100.0,just beyond Interstate 476,U.S. Route 1,100.0,"Fort Kent, Maine",U.S. Route 1,100.0,"Fort Kent, Maine",U.S. Route 1,100.0,"Fort Kent, Maine",U.S. Route 1,0.0
42,who scored the most points in a single game in the nba,['Wilt Chamberlain'],List of National Basketball Association single-game scoring leaders,,None,-1.0,None,None,0.0,"Michael Jordan five times, Kobe Bryant five times, and Elgin Baylor",List of National Basketball Association single-game scoring leaders,100.0,Wilt Chamberlain,List of National Basketball Association single-game scoring leaders,100.0,Wilt Chamberlain,List of National Basketball Association single-game scoring leaders,100.0,Wilt Chamberlain,List of National Basketball Association single-game scoring leaders,101.0
43,where is natural gas found in the us,"['Texas', 'Pennsylvania']",Natural gas in the United States,,None,-1.0,None,None,0.0,"Fredonia, New York",Natural gas in the United States,100.0,"Fredonia, New York",Natural gas in the United States,-1.0,None,None,100.0,"Fredonia, New York",Natural gas in the United States,101.0
44,when were the first general elections held in independent india,['1951 -- 52'],"Indian general election, 1951–52",,None,0.0,1951–,"Indian general election, 1951–52",100.0,1951–,"Indian general election, 1951–52",100.0,1951–,"Indian general election, 1951–52",-1.0,None,None,-1.0,None,None,101.0
45,what was the tower of london originally used for,"['a royal residence', 'as a royal residence']",Tower of London,"a fortress, a royal palace, and a prison, royal observatory, a prison for German prisoners of war","{'a fortress, a royal palace, and a prison': 'Tower of London', 'royal observatory': 'Tower of London', 'a prison for German prisoners of war': 'Tower of London'}",100.0,royal residence,Tower of London,100.0,royal residence,Tower of London,100.0,royal residence,Tower of London,100.0,royal residence,Tower of London,100.0,royal residence,Tower of London,0.0
46,what type of fuel goes in a zippo,"['butane', 'lighter fluid']",Zippo,"butane, a volatile flammable liquid commonly known as lighter fluid, volatile flammable liquid commonly known as lighter fluid","{'butane': 'Zippo', 'a volatile flammable liquid commonly known as lighter fluid': 'Zippo', 'volatile flammable liquid commonly known as lighter fluid': 'Zippo'}",100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,0.0
47,first jnanpith award was an autor of which language,['Malayalam'],G. Sankara Kurup,"Malayalam, Malayalam, Malayalam",{'Malayalam': 'G. Sankara Kurup'},100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,0.0
48,who played the mad hatter in the batman tv show,['David Wayne'],List of Batman television series cast members,The Adventures of Batman and Robin the Boy Wonder,{'The Adventures of Batman and Robin the Boy Wonder': 'List of Batman television series cast members'},-1.0,None,None,-1.0,None,None,100.0,Batman,List of Batman television series cast members,-1.0,None,None,100.0,Batman,List of Batman television series cast members,101.0
49,how many cracker barrels in the united states,"['639', 'more than 600']",Cracker Barrel,"41, 15 out of 100, eight","{'41': 'Cracker Barrel', '15 out of 100': 'Cracker Barrel', 'eight': 'Cracker Barrel'}",50.0,more than 50 units in eight,Cracker Barrel,100.0,more than 50 units in eight,Cracker Barrel,100.0,more than 50 units in eight,Cracker Barrel,100.0,more than 600,Cracker Barrel,100.0,more than 600,Cracker Barrel,50.0
50,in photosynthesis the carbon in co2 is initially fixed to what molecule,['3 - phosphoglycerate'],C4 carbon fixation,"rubisco, rubisco, 3-phosphoglycerate","{'rubisco': 'C4 carbon fixation', '3-phosphoglycerate': 'C4 carbon fixation'}",100.0,3-phosphoglycerate,C4 carbon fixation,33.33333333333333,RuBisCO into 3-phosphoglycerate,C4 carbon fixation,100.0,RuBisCO,C4 carbon fixation,100.0,RuBisCO,C4 carbon fixation,100.0,RuBisCO,C4 carbon fixation,66.66666666666667
51,who voices randy in f is for family,['T.J. Miller'],F Is for Family,,None,-1.0,None,None,0.0,Bill Burr,F Is for Family,100.0,Bill Burr,F Is for Family,100.0,Bill Burr,F Is for Family,100.0,Bill Burr,F Is for Family,101.0
52,how many countries does cadbury sell its products,"['more than 50', 'more than 50 countries worldwide']",Cadbury,Cadbury,{'Cadbury': 'Cadbury'},66.66666666666666,more than fifty,Cadbury,100.0,more than fifty,Cadbury,100.0,more than 50,Cadbury,100.0,more than 50,Cadbury,100.0,more than 50,Cadbury,33.33333333333334
53,ethiopia flight 961 crashes in to the sea,['23 November 1996'],Ethiopian Airlines Flight 961,"Indian Ocean near Comoros, pilot tried landing parallel with the tides, the aid of crash survivors","{'Indian Ocean near Comoros': 'Ethiopian Airlines Flight 961', 'pilot tried landing parallel with the tides': 'Ethiopian Airlines Flight 961', 'the aid of crash survivors': 'Ethiopian Airlines Flight 961'}",36.36363636363637,"Indian Ocean near Grande Comore, Comoros Islands, due to fuel exhaustion",Ethiopian Airlines Flight 961,100.0,"Indian Ocean near Grande Comore, Comoros Islands, due to fuel exhaustion",Ethiopian Airlines Flight 961,100.0,"Indian Ocean near Grande Comore, Comoros Islands, due to fuel exhaustion",Ethiopian Airlines Flight 961,60.653065971263345,Indian Ocean,Ethiopian Airlines Flight 961,100.0,Indian Ocean,Ethiopian Airlines Flight 961,63.63636363636363
54,what does istj mean in a personality test,['Introverted Sensing ( Si )'],ISTJ,"Inspector Guardians, Introverted Sensing Thinking Judging, love means commitment, steadiness, and consistency","{'Inspector Guardians': 'ISTJ', 'Introverted Sensing Thinking Judging': 'ISTJ', 'love means commitment, steadiness, and consistency': 'ISTJ'}",16.666666666666668,"logical, organized, sensible, and earnest traditionalists",ISTJ,100.0,"logical, organized, sensible, and earnest traditionalists",ISTJ,100.0,"logical, organized, sensible, and earnest traditionalists",ISTJ,-1.0,None,None,-1.0,None,None,101.0
55,who does the voice of ash in sing,['Scarlett Johansson'],Sing (2016 American film),,None,-1.0,None,None,-1.0,None,None,0.0,Garth Jennings,Sing (2016 American film),100.0,Garth Jennings,Sing (2016 American film),100.0,Garth Jennings,Sing (2016 American film),101.0
56,who scored the most points in their nba career,['Kareem Abdul - Jabbar'],List of National Basketball Association career scoring leaders,National Basketball Association players,{'National Basketball Association players': 'List of National Basketball Association career scoring leaders'},100.0,National Basketball Association players,List of National Basketball Association career scoring leaders,-1.0,None,None,0.0,Progressive list of scoring leaders,List of National Basketball Association career scoring leaders,0.0,LeBron James,List of National Basketball Association career scoring leaders,50.0,Kareem Abdul-Jabbar,List of National Basketball Association career scoring leaders,101.0
57,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,['25'],List of U.S. states and territories by population density,,None,-1.0,None,None,-1.0,None,None,0.0,"population density, population rank, and land area",List of U.S. states and territories by population density,-1.0,None,None,-1.0,None,None,1.0
58,who plays charles on have and have nots,"['Nick Sagar', 'Nick Sager']",The Haves and the Have Nots (TV series),,None,0.0,Angela Robinson,The Haves and the Have Nots (TV series),100.0,Angela Robinson,The Haves and the Have Nots (TV series),100.0,Angela Robinson,The Haves and the Have Nots (TV series),100.0,Angela Robinson,The Haves and the Have Nots (TV series),100.0,Angela Robinson,The Haves and the Have Nots (TV series),100.0
