,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
10,who sings got my mind set on you,['James Ray'],Got My Mind Set on You,0.0,George Harrison,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,100.0,James Ray,Got My Mind Set on You,100.0,James Ray,Got My Mind Set on You,100.0
11,two main types of research methods used in psychology,"['Correlational research', 'qualitative', 'Qualitative psychological research', 'qualitative data']",List of psychological research methods,33.33333333333333,"qualitative data, quantitative data or both",List of psychological research methods,33.33333333333333,qualitative or quantitative,Psychological research,33.33333333333333,qualitative or quantitative,Psychological research,33.33333333333333,qualitative or quantitative,Psychological research,33.33333333333333,qualitative or quantitative,Psychological research,33.33333333333333,qualitative or quantitative,Psychological research,0.0
12,who plays peter in what we do in the shadows,['Ben Fransham'],What We Do in the Shadows,0.0,shadow cast when something obscures light,Shade (disambiguation),0.0,Jemaine Clement,What We Do in the Shadows,0.0,Jemaine Clement and Taika Waititi,What We Do in the Shadows,0.0,In the Shadows,In the Shadows,0.0,In the Shadows,In the Shadows,0.0,In the Shadows,In the Shadows,0.0
13,who was the chief guest of india on independence day 2017,['Crown Prince Mohammed bin Zayed Al Nahyan'],Republic Day (India),0.0,another head of state,Republic Day (India),0.0,the President,Republic Day (India),0.0,President of India,Republic Day (India),0.0,President of India,Republic Day (India),0.0,the President of India,Republic Day (India),0.0,the President of India,Republic Day (India),0.0
14,when does the 14th season of grey's anatomy come out,"['September 28 , 2017']",Grey's Anatomy (season 14),0.0,"March 15, 2005",Control (House episode),0.0,9 October 2012,Holby City (series 14),0.0,9 October 2012,Holby City (series 14),47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),47.76875403825262
15,when was the first hunger games book published,"['September 14 , 2008', '2008']",The Hunger Games (novel),0.0,1981,The Hunger (novel),50.0,December 2008,The Hunger Games (novel),100.0,2008,The Hunger Games,50.0,December 2008,The Hunger Games (novel),100.0,2008,The Hunger Games,100.0,2008,The Hunger Games,100.0
16,mandatory elements in the definition of an adverse event (ae),"['any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product']",Adverse event,0.0,Adverse Drug Event,Adverse Drug Event,2.8672096705399888,"responses to food such as food intolerance, pharmacological reactions, and toxin-mediated reactions, as well as physical responses",Adverse food reaction,2.8672096705399888,"responses to food such as food intolerance, pharmacological reactions, and toxin-mediated reactions, as well as physical responses",Adverse food reaction,2.8672096705399888,"responses to food such as food intolerance, pharmacological reactions, and toxin-mediated reactions, as well as physical responses",Adverse food reaction,2.8672096705399888,"responses to food such as food intolerance, pharmacological reactions, and toxin-mediated reactions, as well as physical responses",Adverse food reaction,2.8672096705399888,"responses to food such as food intolerance, pharmacological reactions, and toxin-mediated reactions, as well as physical responses",Adverse food reaction,2.8672096705399888
17,how much is the united states in debt to china,"['$1.06 trillion', '1,200.5']",National debt of the United States,50.0,$59.1 trillion,United States public debt,50.0,$16.738 trillion,National debt of the United States,50.0,$18.96 trillion,National debt of the United States,100.0,$1.06 trillion,National debt of the United States,0.0,"The national debt of the United States is the total debt, or unpaid borrowed funds, carried by the federal government of the United States",National debt of the United States,0.0,$3 trillion,National debt of the United States,100.0
18,where did the race in grease take place,"['the Los Angeles River , between the First and Seventh Street Bridges', 'at the Los Angeles River , between the First and Seventh Street Bridges', 'Thunder Road']",Grease (film),100.0,Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),100.0,Thunder Road,Grease (film),100.0,Thunder Road,Grease (film),100.0,the Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),0.0
19,what is the maximum data rate for the 802.11a standard select one,['54 Mbit / s'],IEEE 802.11,0.0,100 Mbit/s,IEEE 802.12,0.0,H-11 or H 11,H11,0.0,H-11 or H 11,H11,0.0,H-11 or H 11,H11,0.0,54 Mbit/s,IEEE 802.11,0.0,54 Mbit/s,IEEE 802.11,0.0
20,where are the summer olympics held this year,['Tokyo for the 2020 Summer Olympics'],List of Olympic Games host cities,27.27272727272727,2012 Summer Olympics were recognised by the International Olympic Committee (IOC).,2012 Summer Olympics bids,28.57142857142857,"Rio de Janeiro for the 2016 Summer Olympics, Pyeongchang for the 2018 Winter Olympics, and Tokyo for the 2020 Summer Olympics",List of Olympic Games host cities,8.333333333333332,there have been 27 Summer Olympic Games held in 22 different cities,List of Olympic Games host cities,9.09090909090909,There have been 28 Summer Olympic Games held in 23 cities,List of Olympic Games host cities,9.09090909090909,There have been 28 Summer Olympic Games held in 23 cities,List of Olympic Games host cities,15.789473684210522,The 2026 Summer Youth Olympics in Dakar will become the first-ever Games to be held on the African continent,List of Olympic Games host cities,20.238095238095237
21,a good that can be used in place of another good,"['A substitute good', 'substitute good']",Substitute good,0.0,Aaron Goode is an English professional footballer. currently playing for Queens Park Rangers.,Aaron Goode,0.0,Coaching career,Ray Gooding,0.0,"Charlie Goode (born 3 August 1995) is an English footballer who plays for Scunthorpe United.
Career.
Goode began his career with Fulham but was released at the age of 15. The defender then spent time with Hadley, Harefield United, AFC Hayes and Hendon before joining League One side Scunthorpe United in June 2015. Goode made his professional debut on 8 August 2015, scoring in a 2–1 defeat against Burton Albion.",Charlie Goode,0.0,"Charles James Goode (born 3 August 1995) is an English footballer who plays for Scunthorpe United.
Career.
Goode began his career with Fulham but was released at the age of 15. The defender then spent time with Hadley, Harefield United, AFC Hayes and Hendon before joining League One side Scunthorpe United in June 2015.",Charlie Goode,0.0,Coaching career,Ray Gooding,0.0,Coaching career,Ray Gooding,0.0
22,where in the bible can i find the lord's prayer,"['the Gospel of Matthew', 'Gospel of Matthew in the middle of the Sermon on the Mount']",Lord's Prayer,18.393972058572118,Matthew 6,Lord's Prayer,7.961459006375435,The Lord's Prayer is a central prayer in Christianity.,Lord's Prayer (disambiguation),7.961459006375435,The Lord's Prayer is a central prayer in Christianity.,Lord's Prayer (disambiguation),7.961459006375435,The Lord's Prayer is a central prayer in Christianity.,Lord's Prayer (disambiguation),7.961459006375435,The Lord's Prayer is a central prayer in Christianity.,Lord's Prayer (disambiguation),7.961459006375435,The Lord's Prayer is a central prayer in Christianity.,Lord's Prayer (disambiguation),10.432513052196683
23,when was the last time nebraska voted democrat,['1964'],United States presidential elections in Nebraska,0.0,2000,"United States presidential election in Nebraska, 2004",0.0,"1992 United States presidential election in Nebraska took place on November 3, 1992","United States presidential election in Nebraska, 1992",0.0,"March 5, 2016","United States presidential election in Nebraska, 2016",0.0,1992,United States presidential elections in Nebraska,0.0,1992,United States presidential elections in Nebraska,0.0,1992,United States presidential elections in Nebraska,0.0
24,who become the ceo of it wipro company in 2016,['Abid Ali Neemuchwala'],Wipro,0.0,Azim Premji,Wipro Technologies,0.0,Azim Premji,Wipro,0.0,Deerfield,WebSitePro,0.0,Deerfield,WebSitePro,0.0,Deban Aderemi,Wiwibloggs,30.326532985631673,Abidali Neemuchwala,Wipro,30.326532985631673
25,who does eric end up with in gossip girl,['Jenny'],Eric van der Woodsen,0.0,"Kevin Kleinberg (born on June 24, 1982 in Los Angeles, California) is an American actor. He is best known for his role as Trip, the Green Ranger in """". He graduated from Birmingham High School in Van Nuys, California in 2000.",Kevin Kleinberg,50.0,Jenny Humphrey,Eric van der Woodsen,50.0,Jenny Humphrey,Eric van der Woodsen,50.0,Jenny Humphrey,Eric van der Woodsen,50.0,Jenny Humphrey,Eric van der Woodsen,50.0,Jenny Humphrey,Eric van der Woodsen,50.0
26,who plays unis in she's the man,['Emily Perkins'],She's the Man,0.0,Amanda Bynes,She's the Man,0.0,Viola Hastings,She's the Man,0.0,"Amanda Bynes, Channing Tatum, Laura Ramsey, and Vinnie Jones.
The film centers on teenager Viola Hastings",She's the Man,22.22222222222222,"Amanda Bynes, Channing Tatum, Laura Ramsey and Emily Perkins",She's the Man,0.0,"Amanda Bynes, Channing Tatum, Laura Ramsey",She's the Man,0.0,Amanda Bynes,She's the Man,22.22222222222222
27,who played booster in jingle all the way,['Curtis Armstrong'],Jingle All the Way,0.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,0.0,Columbus,Jingle All the Way,0.0,Columbus,Jingle All the Way,0.0,Sinbad,Jingle All the Way,0.0,Sinbad,Jingle All the Way,0.0,Sinbad,Jingle All the Way,0.0
28,where does the term dog and pony show come from,['in the United States in the late - 19th and early - 20th centuries'],Dog and pony show,10.344827586206899,"Awards.
Prize money is sometimes awarded, particularly at larger competitions. The sum varies by the placing of the rider, the prestige of the show, and the difficulty of the class",Horse show,6.666666666666667,Horse Shows do not offer cash purses as large as those the Thoroughbred racing industry,Horse show,20.10960138106918,"prestige of the show, and the difficulty of the class",Horse show,20.10960138106918,"prestige of the show, and the difficulty of the class",Horse show,20.10960138106918,"prestige of the show, and the difficulty of the class",Horse show,0.12393760883331792,United Kingdom,Horse show,19.98566377223586
29,who is recognized as the founder of islam,"['Muhammad', 'the Islamic prophet Muhammad']",History of Islam,0.0,History of Islam,Timeline of Muslim history,0.0,Saladin,History of Islam,0.0,Al-Saffah,History of Islam,0.0,Osman I,History of Islam,50.0,Muhammad Auranzgeb,History of Islam,0.0,Osman I,History of Islam,50.0
30,who plays emma in air bud world pup,['Brittany Paige Bouck'],Air Bud: World Pup,0.0,Noah Framm's golden retrievers Buddy and Molly,Air Buddies,0.0,Sniffer,Air Buddies,0.0,Josh Framm,Air Bud,0.0,Old Blue/Buddy,Air Bud,0.0,Josh,Air Bud,0.0,Josh Framm,Air Bud,0.0
31,how old was sasuke when his clan died,['seven'],Sasuke Uchiha,0.0,1970,Susumu Chiba,0.0,two-and-a-half years,Sasuke Uchiha,0.0,Kamen Rider Sasword,Yusuke Yamamoto,0.0,Kamen Rider Sasword,Yusuke Yamamoto,0.0,second eldest,Noriaki Sugiyama,0.0,second eldest,Noriaki Sugiyama,0.0
32,how long is training camp for nfl players,['at least the first few weeks'],Training camp (National Football League),100.0,at least the first few weeks,National Football League Training Camp,100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),0.0
33,where do some of the natural air pollutants come from,"['Dust', 'Carbon dioxide']",Air pollution,0.0,mobile sources,Air pollution,0.0,Biological sources of air pollution are also found indoors,Air pollution,0.0,anthropogenic or natural sources,Air pollution,0.0,dust storms,Air pollution,0.0,dust storms,Air pollution,0.0,lack of air circulation,Air pollution,0.0
34,who is the pastor of new birth missionary baptist church now,"['Stephen A. Davis', 'Stephen A. Davis , pastor of New Birth Birmingham in Birmingham , Alabama']",New Birth Missionary Baptist Church,0.0,Bishop Eddie Long,New Birth Missionary Baptist Church,0.0,Bishop Eddie Long,New Birth Missionary Baptist Church,0.0,Bishop Eddie Long,New Birth Missionary Baptist Church,100.0,Stephen A. Davis,New Birth Missionary Baptist Church,22.22222222222222,"Stephen A. Davis, pastor of New Birth Birmingham in Birmingham, Alabama would be Long's successor at New Birth Missionary Baptist Church in Lithonia while remaining pastor of the Birmingham. However in June, 2018 Bishop Davis resigned. 
On November 19, 2018, the church announced Jamal Bryant",New Birth Missionary Baptist Church,100.0,Stephen A. Davis,New Birth Missionary Baptist Church,100.0
35,who is doing 2018 super bowl half time show,['Justin Timberlake'],Super Bowl LII halftime show,0.0,"Dallas Cowboys stadium in Arlington, Texas. This will be the first time that the Super Bowl will be held in the Dallas/Fort Worth Metroplex area and the third time it will be held in Texas (Houston was the host city to Super Bowls VIII and XXXVIII).
In the United States, the game will be televised nationally by FOX",Super Bowl XLV,0.0,Madonna,Super Bowl XLVI halftime show,0.0,Missy Elliot,Super Bowl XLIX halftime show,0.0,GAGA,Super Bowl LI halftime show,0.0,Gaga,Super Bowl LI halftime show,0.0,Lady Gaga,Super Bowl LI halftime show,0.0
36,who is playing the halftime show for the superbowl,['Justin Timberlake'],Super Bowl LII halftime show,0.0,Dallas Cowboys stadium,Super Bowl XLV,0.0,Madonna,Super Bowl XLVI halftime show,0.0,Missy Elliot,Super Bowl XLIX halftime show,0.0,Lady Gaga,Super Bowl LI halftime show,0.0,Lady Gaga,Super Bowl LI halftime show,0.0,Lady Gaga,Super Bowl LI halftime show,0.0
37,who hosted they think it's all over,"['comedian Nick Hancock', 'Nick Hancock', 'Des Lynam']",They Think It's All Over (TV series),100.0,Nick Hancock,They Think It's All Over (TV series),100.0,Nick Hancock,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),0.0
38,where does the movie proof of life take place,"['the ( fictional ) South American country of Tecala', 'The Republic of Tecala']",Proof of Life,100.0,The Republic of Tecala,Proof of Life,0.0,Living Proof,Living Proof,4.978706836786395,American,Proof of Life (disambiguation),4.978706836786395,American,Proof of Life (disambiguation),4.978706836786395,American,Proof of Life (disambiguation),4.978706836786395,American,Proof of Life (disambiguation),100.0
39,where did the saying monkey's uncle come from,['Scopes Trial in the United States'],Monkey's uncle,0.0,"The title refers to a chimpanzee named Stanley, Merlin's legal ""nephew""",The Monkey's Uncle,4.4444444444444455,"Reception.
""The New York Times"" reported, ""It all falls into bright, colorful and innocuous non sequitur and, in an hour and a half, you are through, mildly diverted and unburdened by message."" The ""Los Angeles Times"" said the film ""disappoints as a lineal descendant of Disney",The Monkey's Uncle,4.166666666666666,"Reception.
""The New York Times"" reported, ""It all falls into bright, colorful and innocuous non sequitur and, in an hour and a half, you are through, mildly diverted and unburdened by message."" The ""Los Angeles Times"" said the film ""disappoints as a lineal descendant of Disney's ""Absent Minded Professor",The Monkey's Uncle,9.09090909090909,"wealthy donor"" is last seen fleeing from men in white coats, who want to take him back to the local mental hospital",The Monkey's Uncle,0.0,"a chimpanzee named Stanley, Merlin's legal ""nephew""",The Monkey's Uncle,0.0,"a chimpanzee named Stanley, Merlin's legal ""nephew""",The Monkey's Uncle,9.09090909090909
40,who breaks a tie in the us senate,"['The Vice President of the United States', 'Vice President of the United States']",List of tie-breaking votes cast by vice presidents of the United States,22.58064516129032,"The Vice President of the United States is, ""ex officio,"" the President of the United States Senate and votes only to break a tie, which is known as a casting vote",United States Vice Presidents' tie-breaking votes,15.217391304347828,"The Vice President of the United States is the ""ex officio"" President of the United States Senate, as provided in Article I, Section 3, Clause 4 of the United States Constitution:
The tie-breaking vote (or casting vote) has been made 244 times by 35 different Vice Presidents",List of tie-breaking votes cast by Vice Presidents of the United States,32.749230123119276,the Vice President's tie-breaking vote,List of tie-breaking votes cast by vice presidents of the United States,100.0,The Vice President of the United States,List of tie-breaking votes cast by vice presidents of the United States,71.42857142857143,The vice president of the United States,List of tie-breaking votes cast by the vice president of the United States,33.33333333333333,"The vice president of the United States is the ""ex officio"" president of the Senate",List of tie-breaking votes cast by the vice president of the United States,84.78260869565217
41,where does us highway 1 start and end,"['from Fort Kent , Maine , at the Canada -- US border , south to Key West , Florida', 'Fort Kent , Maine', 'from Fort Kent , Maine , at the Canada -- US border']",U.S. Route 1,15.688407624754866,"Key West and passing through Miami, Fort Lauderdale, Fort Pierce, Melbourne, Daytona Beach, St. Augustine, and Jacksonville",U.S. Route 1,42.857142857142854,"This highway began at Fort Kent, Maine",U.S. Route 1,47.76875403825262,"Fort Kent, Maine",U.S. Route 1,61.53846153846154,"from Fort Kent, Maine, at the Canada–US border, south to Key West, Florida",U.S. Route 1,61.53846153846154,"from Key West, Florida north to Fort Kent, Maine, at the Canadian border",U.S. Route 1,61.53846153846154,"from Key West, Florida north to Fort Kent, Maine, at the Canadian border",U.S. Route 1,45.850053913706674
42,who scored the most points in a single game in the nba,['Wilt Chamberlain'],List of National Basketball Association single-game scoring leaders,0.0,Kobe Bryant 4 times,List of National Basketball Association players with 60 or more points in a game,0.0,the player with the highest points per game average in a given season,List of National Basketball Association season scoring leaders,0.0,the player with the highest points per game average in a given season,List of National Basketball Association annual scoring leaders,0.0,Michael Jordan,List of National Basketball Association annual scoring leaders,7.6923076923076925,"Wilt Chamberlain (32 times), Kobe Bryant (6 times), Michael Jordan (5 times), Elgin Baylor (4 times), James Harden (4 times), and Damian Lillard (3 times). Chamberlain",List of National Basketball Association single-game scoring leaders,7.6923076923076925,"Wilt Chamberlain (32 times), Kobe Bryant (6 times), Michael Jordan (5 times), Elgin Baylor (4 times), James Harden (4 times), and Damian Lillard (3 times). Chamberlain",List of National Basketball Association single-game scoring leaders,7.6923076923076925
43,where is natural gas found in the us,"['Texas', 'Pennsylvania']",Natural gas in the United States,0.0,"It is found in oil fields (associated) either dissolved or isolated in natural gas fields (non associated), and in coal beds (as coalbed methane).",Natural gas,16.666666666666668,Gulf Coast of Texas and Louisiana,Petroleum in the United States,0.0,"Fredonia, New York",Natural gas in the United States,0.0,"Fredonia, New York",Natural gas in the United States,0.0,"Fredonia, New York",Natural gas in the United States,0.0,"Fredonia, New York",Natural gas in the United States,16.666666666666668
44,when were the first general elections held in independent india,['1951 -- 52'],"Indian general election, 1951–52",0.0,1984,"Indian general election, 1984",12.500000000000004,between 25 October 1951 and 21 February 1952,1951–52 elections in India,12.500000000000004,between 25 October 1951 and 21 February 1952,1951–52 elections in India,12.500000000000004,between 25 October 1951 and 21 February 1952,1951–52 elections in India,13.53352832366127,1951,1951–52 Indian general election,12.500000000000004,between 25 October 1951 and 21 February 1952,1951–52 Indian general election,13.53352832366127
45,what was the tower of london originally used for,"['a royal residence', 'as a royal residence']",Tower of London,50.0,a former Royal residence,Tower of London (disambiguation),33.33333333333333,a former Royal residence in London,Tower of London (disambiguation),33.33333333333333,a former Royal residence in London,Tower of London (disambiguation),33.33333333333333,a former Royal residence in London,Tower of London (disambiguation),33.33333333333333,a former Royal residence in London,Tower of London (disambiguation),33.33333333333333,a former Royal residence in London,Tower of London (disambiguation),16.66666666666667
46,what type of fuel goes in a zippo,"['butane', 'lighter fluid']",Zippo,0.0,"8.25:1 ""turbo.""",ZipZaps,0.0,ZIP code,Mr. ZIP,0.0,The fuel tank had a capacity of A machine based on the Zip SP,Piaggio Zip,0.0,The fuel tank had a capacity of A machine based on the Zip SP,Piaggio Zip,0.0,The fuel tank had a capacity of A machine based on the Zip SP,Piaggio Zip,0.0,The fuel tank had a capacity of A machine based on the Zip SP,Piaggio Zip,0.0
47,first jnanpith award was an autor of which language,['Malayalam'],G. Sankara Kurup,0.0,Telugu,Kurupam,100.0,Malayalam,Kuttanad,0.0,India,Sankoo,100.0,Malayalam,Kuttanad,0.0,Telugu,Kurupam,0.0,Telugu,Kurupam,100.0
48,who played the mad hatter in the batman tv show,['David Wayne'],List of Batman television series cast members,0.0,Adam West,The Batman (TV series),0.0,The list below presents the casts of the television series in which Batman,List of Batman television series cast members,0.0,The list below presents the casts of the television series in which Batman,List of Batman television series cast members,0.0,The list below presents the casts,List of Batman television series cast members,0.0,The list below presents the casts of the television series in which Batman,List of Batman television series cast members,0.0,The list below presents the casts of the television series in which Batman,List of Batman television series cast members,0.0
49,how many cracker barrels in the united states,"['639', 'more than 600']",Cracker Barrel,0.0,two barrels,Pickle Barrel House,0.0,two,Pickle Barrel House,0.0,two,Pickle Barrel House,0.0,two,Pickle Barrel House,0.0,rounds about 0.6 in (15 mm) in diameter,Oyster cracker,0.0,Murdock &amp,Pickle Barrel House,0.0
50,in photosynthesis the carbon in co2 is initially fixed to what molecule,['3 - phosphoglycerate'],C4 carbon fixation,0.0,3-phosphoglycerate,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0,ATP,Carbonyl cyanide m-chlorophenyl hydrazone,0.0,ATP,Carbonyl cyanide m-chlorophenyl hydrazone,0.0,RuBisCO,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0
51,who voices randy in f is for family,['T.J. Miller'],F Is for Family,0.0,FGF,FGF,0.0,FY,FY,0.0,Fami,List of diseases (F),0.0,Fami,List of diseases (F),-1.0,None,None,-1.0,None,None,1.0
52,how many countries does cadbury sell its products,"['more than 50', 'more than 50 countries worldwide']",Cadbury,0.0,Cadbury,Cadbury,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,1.0
53,ethiopia flight 961 crashes in to the sea,['23 November 1996'],Ethiopian Airlines Flight 961,0.0,Indian Ocean near Comoros,Ethiopian Airlines Flight 961,0.0,fuel exhaustion,Ethiopian Airlines Flight 961,0.0,fuel exhaustion,Ethiopian Airlines Flight 961,0.0,fuel exhaustion,Ethiopian Airlines Flight 961,0.0,"Indian Ocean near Grande Comore, Comoros Islands",Ethiopian Airlines Flight 961,0.0,"Indian Ocean near Grande Comore, Comoros Islands",Ethiopian Airlines Flight 961,0.0
54,what does istj mean in a personality test,['Introverted Sensing ( Si )'],ISTJ,0.0,"ISTE also has affliates worldwide from local, provincial, state and national bodies.
Publications and other Resources.
In addition to publishing educational standards, ISTE publishes ""Learning and Leading"" magazine, a wide assortment of books and classroom materials. They also offer podcasts and have purchased an ""island"" on the virtual world called Second Life.
External links.
Alternate Entry
ISTE
The Indian Society for Technical Education",ISTE,0.0,Ist,Ist,0.0,Ist,Ist,0.0,skills and attitudes expected of students,ISTE Standards,0.0,skills and attitudes expected of students,ISTE Standards,0.0,skills and attitudes expected of students,ISTE Standards,0.0
