,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
10,who sings got my mind set on you,['James Ray'],Got My Mind Set on You,0.0,George Harrison,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,0.0,Rudy Clark,Got My Mind Set on You,100.0,James Ray,Got My Mind Set on You,100.0,James Ray,Got My Mind Set on You,100.0
11,two main types of research methods used in psychology,"['Correlational research', 'qualitative', 'Qualitative psychological research', 'qualitative data']",List of psychological research methods,50.0,"qualitative data, quantitative data",List of psychological research methods,28.57142857142857,common research designs and data collection methods,List of psychological research methods,28.57142857142857,common research designs and data collection methods,List of psychological research methods,28.57142857142857,common research designs and data collection methods,List of psychological research methods,-1.0,None,None,28.57142857142857,common research designs and data collection methods,List of psychological research methods,51.0
12,who plays peter in what we do in the shadows,['Ben Fransham'],What We Do in the Shadows,-1.0,None,None,0.0,Jemaine Clement,What We Do in the Shadows,0.0,Jemaine Clement and Taika Waititi,What We Do in the Shadows,0.0,Jemaine Clement and Taika Waititi,What We Do in the Shadows,2.5641025641025643,"Jemaine Clement and Taika Waititi and the first installment in the ""What We Do in the Shadows"" franchise. The film also stars Clement and Waititi, along with Jonathan Brugh, Ben Fransham, Cori Gonzalez-Macuer, Stu Rutherford, and Jackie van Beek",What We Do in the Shadows,2.5641025641025643,"Jemaine Clement and Taika Waititi and the first installment in the ""What We Do in the Shadows"" franchise. The film also stars Clement and Waititi, along with Jonathan Brugh, Ben Fransham, Cori Gonzalez-Macuer, Stu Rutherford, and Jackie van Beek",What We Do in the Shadows,3.5641025641025643
13,who was the chief guest of india on independence day 2017,['Crown Prince Mohammed bin Zayed Al Nahyan'],Republic Day (India),0.0,Head of State,Republic Day (India),0.0,the President,Republic Day (India),0.0,the President of India,Republic Day (India),0.0,the President of India,Republic Day (India),0.0,the President of India,Republic Day (India),0.0,the President of India,Republic Day (India),0.0
14,when does the 14th season of grey's anatomy come out,"['September 28 , 2017']",Grey's Anatomy (season 14),-1.0,None,None,-1.0,None,None,-1.0,None,None,47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),47.76875403825262,"September 28, 2017",Grey's Anatomy (season 14),48.76875403825262
15,when was the first hunger games book published,"['September 14 , 2008', '2008']",The Hunger Games (novel),-1.0,None,None,47.76875403825262,"September 14, 2008",The Hunger Games (novel),100.0,2008,The Hunger Games (novel),47.76875403825262,"September 14, 2008",The Hunger Games (novel),47.76875403825262,"September 14, 2008",The Hunger Games (novel),47.76875403825262,"September 14, 2008",The Hunger Games (novel),101.0
16,mandatory elements in the definition of an adverse event (ae),"['any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product']",Adverse event,17.073170731707318,Researchers participating in a clinical trial must report all adverse events to the Food and Drug Administration (FDA) or the relevant regulatory authority in the country where the drug or device is to be registered. Serious AEs must be reported immediately,Adverse event,-1.0,None,None,12.087843414352648,An adverse event can also be declared in the normal treatment of a patient which is suspected of being caused by the medication being taken or a medical device used in the treatment of the patient,Adverse event,12.087843414352648,An adverse event can also be declared in the normal treatment of a patient which is suspected of being caused by the medication being taken or a medical device used in the treatment of the patient,Adverse event,12.087843414352648,An adverse event can also be declared in the normal treatment of a patient which is suspected of being caused by the medication being taken or a medical device used in the treatment of the patient,Adverse event,3.5703692999310794,"serious or non-serious; expected or unexpected; and study-related, possibly study-related, or not study-related",Adverse event,18.073170731707318
17,how much is the united states in debt to china,"['$1.06 trillion', '1,200.5']",National debt of the United States,-1.0,None,None,50.0,$8.5 trillion,National debt of the United States,50.0,$8.5 trillion,National debt of the United States,100.0,$1.06 trillion,National debt of the United States,0.0,73.6%,National debt of the United States,0.0,$3 trillion,National debt of the United States,101.0
18,where did the race in grease take place,"['the Los Angeles River , between the First and Seventh Street Bridges', 'at the Los Angeles River , between the First and Seventh Street Bridges', 'Thunder Road']",Grease (film),100.0,Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),100.0,Thunder Road,Grease (film),100.0,Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),100.0,Los Angeles River,Grease (film),0.0
19,what is the maximum data rate for the 802.11a standard select one,['54 Mbit / s'],IEEE 802.11,18.393972058572118,54 Mbit/s,IEEE 802.11,18.393972058572118,54 Mbit/s,IEEE 802.11,0.0,54 Mbit/s,IEEE 802.11,0.0,54 Mbit/s,IEEE 802.11,0.0,54 Mbit/s,IEEE 802.11,0.0,54 Mbit/s,IEEE 802.11,18.393972058572118
20,where are the summer olympics held this year,['Tokyo for the 2020 Summer Olympics'],List of Olympic Games host cities,-1.0,None,None,0.0,Rio de Janeiro,List of Olympic Games host cities,17.24137931034483,"Rio de Janeiro for the 2016 Summer Olympics, Pyeongchang for the 2018 Winter Olympics, Tokyo for the 2020 Summer Olympics, and Beijing for the 2022 Winter Olympics.
In 2022, Beijing",List of Olympic Games host cities,27.27272727272727,"Tokyo summer games of 1964 and 2020 Summer Olympics, and Beijing",List of Olympic Games host cities,0.0,Singapore,List of Olympic Games host cities,0.0,Singapore,List of Olympic Games host cities,28.27272727272727
21,a good that can be used in place of another good,"['A substitute good', 'substitute good']",Substitute good,50.0,complement good,Substitute good,10.526315789473681,One good is a perfect substitute for another only if it can be used in exactly the same way,Substitute good,10.526315789473681,One good is a perfect substitute for another only if it can be used in exactly the same way,Substitute good,100.0,substitute good,Substitute good,0.0,butter,Substitute good,0.0,car,Substitute good,100.0
22,where in the bible can i find the lord's prayer,"['the Gospel of Matthew', 'Gospel of Matthew in the middle of the Sermon on the Mount']",Lord's Prayer,4.978706836786395,Matthew,Lord's Prayer,0.0,Gethsemane,Lord's Prayer,47.76875403825262,Gospel of Mark,Lord's Prayer,47.76875403825262,Gospel of Mark,Lord's Prayer,47.76875403825262,Gospel of Mark,Lord's Prayer,47.76875403825262,Gospel of Mark,Lord's Prayer,47.76875403825262
23,when was the last time nebraska voted democrat,['1964'],United States presidential elections in Nebraska,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,1992,United States presidential elections in Nebraska,0.0,1992,United States presidential elections in Nebraska,0.0,1992,United States presidential elections in Nebraska,1.0
24,who become the ceo of it wipro company in 2016,['Abid Ali Neemuchwala'],Wipro,-1.0,None,None,0.0,Rand Blazer,Wipro,100.0,Abid Ali Neemuchwala,Wipro,100.0,Abid Ali Neemuchwala,Wipro,30.326532985631673,Abidali Neemuchwala,Wipro,30.326532985631673,Abidali Neemuchwala,Wipro,101.0
25,who does eric end up with in gossip girl,['Jenny'],Eric van der Woodsen,-1.0,None,None,50.0,Jenny Humphrey,Eric van der Woodsen,50.0,Jenny Humphrey,Eric van der Woodsen,50.0,Jenny Humphrey,Eric van der Woodsen,-1.0,None,None,50.0,Jenny Humphrey,Eric van der Woodsen,51.0
26,who plays unis in she's the man,['Emily Perkins'],She's the Man,0.0,Amanda Bynes,She's the Man,0.0,"Amanda Bynes, Channing Tatum, Laura Ramsey, and Vinnie Jones.
The film centers on teenager Viola Hastings",She's the Man,0.0,Amanda Bynes,She's the Man,0.0,Amanda Bynes,She's the Man,0.0,Amanda Bynes,She's the Man,0.0,Amanda Bynes,She's the Man,0.0
27,who played booster in jingle all the way,['Curtis Armstrong'],Jingle All the Way,0.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,0.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,0.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,0.0,Arnold Schwarzenegger and Sinbad,Jingle All the Way,0.0,Arnold Schwarzenegger,Jingle All the Way,0.0,Sinbad,Jingle All the Way,0.0
28,where does the term dog and pony show come from,['in the United States in the late - 19th and early - 20th centuries'],Dog and pony show,20.0,the typical use of performing dogs and ponies as the main attractions of the events,Dog and pony show,-1.0,None,None,13.406400920712787,the original meaning of the term had been largely lost,Dog and pony show,21.428571428571423,common use of performing dogs and ponies as the main attractions of the events,Dog and pony show,21.428571428571423,common use of performing dogs and ponies as the main attractions of the events,Dog and pony show,21.428571428571423,common use of performing dogs and ponies as the main attractions of the events,Dog and pony show,22.428571428571423
29,who is recognized as the founder of islam,"['Muhammad', 'the Islamic prophet Muhammad']",History of Islam,-1.0,None,None,0.0,Saladin,History of Islam,0.0,Timur,History of Islam,0.0,Timur,History of Islam,0.0,Timur,History of Islam,0.0,Osman I,History of Islam,1.0
30,who plays emma in air bud world pup,['Brittany Paige Bouck'],Air Bud: World Pup,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
31,how old was sasuke when his clan died,['seven'],Sasuke Uchiha,0.0,"youthful properties are lost, a result of Kishimoto's inexperience in drawing characters mature beyond their years",Sasuke Uchiha,0.0,youth,Sasuke Uchiha,33.33333333333333,seven years old,Sasuke Uchiha,100.0,seven,Sasuke Uchiha,100.0,seven,Sasuke Uchiha,100.0,seven,Sasuke Uchiha,100.0
32,how long is training camp for nfl players,['at least the first few weeks'],Training camp (National Football League),-1.0,None,None,100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),100.0,at least the first few weeks,Training camp (National Football League),101.0
33,where do some of the natural air pollutants come from,"['Dust', 'Carbon dioxide']",Air pollution,0.0,subtle biochemical and physiological changes,Air pollution,0.0,Indoors,Air pollution,0.0,anthropogenic or natural sources,Air pollution,0.0,"Indoors, the lack of air circulation",Air pollution,0.0,dust storms,Air pollution,0.0,Indoors,Air pollution,0.0
34,who is the pastor of new birth missionary baptist church now,"['Stephen A. Davis', 'Stephen A. Davis , pastor of New Birth Birmingham in Birmingham , Alabama']",New Birth Missionary Baptist Church,0.0,Bishop Eddie Long,New Birth Missionary Baptist Church,0.0,Bishop Eddie Long,New Birth Missionary Baptist Church,0.0,Bishop Eddie Long,New Birth Missionary Baptist Church,100.0,Stephen A. Davis,New Birth Missionary Baptist Church,0.0,Eddie Long,New Birth Missionary Baptist Church,100.0,Stephen A. Davis,New Birth Missionary Baptist Church,100.0
35,who is doing 2018 super bowl half time show,['Justin Timberlake'],Super Bowl LII halftime show,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,101.0
36,who is playing the halftime show for the superbowl,['Justin Timberlake'],Super Bowl LII halftime show,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl LII halftime show,101.0
37,who hosted they think it's all over,"['comedian Nick Hancock', 'Nick Hancock', 'Des Lynam']",They Think It's All Over (TV series),100.0,Nick Hancock,They Think It's All Over (TV series),100.0,Nick Hancock,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),100.0,Des Lynam,They Think It's All Over (TV series),0.0
38,where does the movie proof of life take place,"['the ( fictional ) South American country of Tecala', 'The Republic of Tecala']",Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,100.0,The Republic of Tecala,Proof of Life,0.0
39,where did the saying monkey's uncle come from,['Scopes Trial in the United States'],Monkey's uncle,-1.0,None,None,0.0,Ohio newspaper,Monkey's uncle,-1.0,None,None,3.448275862068965,"Ohio newspaper on 8 February 1925. It was originally a sarcastic remark made by creationists. The notion ""that [people] were descended from apes was considered blasphemous...by Darwin's contemporaries"", and it was for this reason that the sarcastic phrase came into use.
Michael Quinion notes that the phrase ""Monkey's uncle"" occurs in a parody of Longfellow's ""The Song of Hiawatha""",Monkey's uncle,0.0,1925,Monkey's uncle,0.0,"a parody of Henry Wadsworth Longfellow's 1855 poem ""The Song of Hiawatha""",Monkey's uncle,4.448275862068964
40,who breaks a tie in the us senate,"['The Vice President of the United States', 'Vice President of the United States']",List of tie-breaking votes cast by vice presidents of the United States,-1.0,None,None,-1.0,None,None,15.163266492815836,35 different Vice presidents,List of tie-breaking votes cast by vice presidents of the United States,100.0,The Vice President of the United States,List of tie-breaking votes cast by vice presidents of the United States,-1.0,None,None,-1.0,None,None,101.0
41,where does us highway 1 start and end,"['from Fort Kent , Maine , at the Canada -- US border , south to Key West , Florida', 'Fort Kent , Maine', 'from Fort Kent , Maine , at the Canada -- US border']",U.S. Route 1,47.76875403825262,"Fort Kent, Maine",U.S. Route 1,47.76875403825262,"Fort Kent, Maine",U.S. Route 1,33.33333333333333,490 Whitehead St. in Key West,U.S. Route 1,47.76875403825262,"Fort Kent, Maine",U.S. Route 1,47.76875403825262,"Fort Kent, Maine",U.S. Route 1,47.76875403825262,"Fort Kent, Maine",U.S. Route 1,14.435420704919288
42,who scored the most points in a single game in the nba,['Wilt Chamberlain'],List of National Basketball Association single-game scoring leaders,-1.0,None,None,-1.0,None,None,0.0,"Michael Jordan five times, Kobe Bryant five times, and Elgin Baylor",List of National Basketball Association single-game scoring leaders,100.0,Wilt Chamberlain,List of National Basketball Association single-game scoring leaders,100.0,Wilt Chamberlain,List of National Basketball Association single-game scoring leaders,100.0,Wilt Chamberlain,List of National Basketball Association single-game scoring leaders,101.0
43,where is natural gas found in the us,"['Texas', 'Pennsylvania']",Natural gas in the United States,-1.0,None,None,-1.0,None,None,0.0,"Fredonia, New York",Natural gas in the United States,0.0,"Fredonia, New York",Natural gas in the United States,-1.0,None,None,0.0,"Fredonia, New York",Natural gas in the United States,1.0
44,when were the first general elections held in independent india,['1951 -- 52'],"Indian general election, 1951–52",-1.0,None,None,0.0,1951–,"Indian general election, 1951–52",12.500000000000004,between 25 October 1951 and 27 March 1952,"Indian general election, 1951–52",12.500000000000004,between 25 October 1951 and 27 March 1952,"Indian general election, 1951–52",-1.0,None,None,-1.0,None,None,13.500000000000004
45,what was the tower of london originally used for,"['a royal residence', 'as a royal residence']",Tower of London,30.326532985631673,royal observatory,Tower of London,60.653065971263345,royal residence,Tower of London,60.653065971263345,royal residence,Tower of London,60.653065971263345,royal residence,Tower of London,60.653065971263345,royal residence,Tower of London,60.653065971263345,royal residence,Tower of London,30.326532985631673
46,what type of fuel goes in a zippo,"['butane', 'lighter fluid']",Zippo,100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,100.0,butane,Zippo,0.0
47,first jnanpith award was an autor of which language,['Malayalam'],G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,100.0,Malayalam,G. Sankara Kurup,0.0
48,who played the mad hatter in the batman tv show,['David Wayne'],List of Batman television series cast members,0.0,The Adventures of Batman and Robin the Boy Wonder,List of Batman television series cast members,-1.0,None,None,-1.0,None,None,0.0,Batman,List of Batman television series cast members,-1.0,None,None,0.0,Batman,List of Batman television series cast members,1.0
49,how many cracker barrels in the united states,"['639', 'more than 600']",Cracker Barrel,0.0,41,Cracker Barrel,50.0,more than 600 restaurants in 42,Cracker Barrel,100.0,more than 600,Cracker Barrel,100.0,more than 600,Cracker Barrel,100.0,more than 600,Cracker Barrel,100.0,more than 600,Cracker Barrel,100.0
50,in photosynthesis the carbon in co2 is initially fixed to what molecule,['3 - phosphoglycerate'],C4 carbon fixation,0.0,rubisco,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0,RuBisCO,C4 carbon fixation,0.0
51,who voices randy in f is for family,['T.J. Miller'],F Is for Family,-1.0,None,None,-1.0,None,None,0.0,Bill Burr,F Is for Family,0.0,Bill Burr,F Is for Family,0.0,Bill Burr,F Is for Family,0.0,Bill Burr,F Is for Family,1.0
52,how many countries does cadbury sell its products,"['more than 50', 'more than 50 countries worldwide']",Cadbury,0.0,Cadbury,Cadbury,66.66666666666666,more than fifty,Cadbury,66.66666666666666,more than fifty,Cadbury,100.0,more than 50,Cadbury,100.0,more than 50,Cadbury,100.0,more than 50,Cadbury,100.0
53,ethiopia flight 961 crashes in to the sea,['23 November 1996'],Ethiopian Airlines Flight 961,0.0,Indian Ocean near Comoros,Ethiopian Airlines Flight 961,0.0,"Indian Ocean near Grande Comore, Comoros Islands, due to fuel exhaustion",Ethiopian Airlines Flight 961,0.0,three Ethiopian men,Ethiopian Airlines Flight 961,0.0,three Ethiopian men,Ethiopian Airlines Flight 961,0.0,Indian Ocean,Ethiopian Airlines Flight 961,0.0,Indian Ocean,Ethiopian Airlines Flight 961,0.0
54,what does istj mean in a personality test,['Introverted Sensing ( Si )'],ISTJ,38.94003915357025,Introverted Sensing Thinking Judging,ISTJ,0.0,"introversion, sensing, thinking, judgment",ISTJ,0.0,"introversion, sensing, thinking, judgment",ISTJ,5.555555555555554,"By functions; Introverted Sensing (Si), Extroverted Thinking (Te), Introverted Feeling (Fi) and Extroverted Intuition (Ne)) is an abbreviation used in the publications of the Myers–Briggs Type Indicator (MBTI) to refer to one of sixteen personality types",ISTJ,-1.0,None,None,-1.0,None,None,39.94003915357025
55,who does the voice of ash in sing,['Scarlett Johansson'],Sing (2016 American film),-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Garth Jennings,Sing (2016 American film),0.0,Carly Rae Jepsen,Sing (2016 American film),0.0,Garth Jennings,Sing (2016 American film),1.0
56,who scored the most points in their nba career,['Kareem Abdul - Jabbar'],List of National Basketball Association career scoring leaders,0.0,National Basketball Association players,List of National Basketball Association career scoring leaders,0.0,National Basketball Association players,List of National Basketball Association career scoring leaders,-1.0,None,None,0.0,Progressive list of scoring leaders,List of National Basketball Association career scoring leaders,0.0,LeBron James,List of National Basketball Association career scoring leaders,18.393972058572118,Kareem Abdul-Jabbar,List of National Basketball Association career scoring leaders,19.393972058572118
57,with a land area of 54 314 square miles where does wisconsin rank among the 50 states,['25'],List of U.S. states and territories by population density,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,"population density, population rank, and land area",List of U.S. states and territories by population density,-1.0,None,None,-1.0,None,None,1.0
58,who plays charles on have and have nots,"['Nick Sagar', 'Nick Sager']",The Haves and the Have Nots (TV series),-1.0,None,None,0.0,Angela Robinson,The Haves and the Have Nots (TV series),0.0,Angela Robinson,The Haves and the Have Nots (TV series),0.0,Angela Robinson,The Haves and the Have Nots (TV series),0.0,Tyler Perry,The Haves and the Have Nots (TV series),0.0,Angela Robinson,The Haves and the Have Nots (TV series),1.0
59,where is nathan's hotdog eating contest held,"[""at Nathan 's Famous Corporation 's original , and best - known restaurant at the corner of Surf and Stillwell Avenues in Coney Island , a neighborhood of Brooklyn , New York City""]",Nathan's Hot Dog Eating Contest,0.22187182298897593,"Coney Island, Brooklyn, New York",Nathan's Hot Dog Eating Contest,33.80208288388387,"Nathan's Famous Corporation's original, and best-known restaurant at the corner of Surf and Stillwell Avenues in Coney Island",Nathan's Hot Dog Eating Contest,0.035508719442127454,under the Brooklyn Bridge,Nathan's Hot Dog Eating Contest,1.8553913626159783e-05,Coney Island,Nathan's Hot Dog Eating Contest,1.8553913626159783e-05,Coney Island,Nathan's Hot Dog Eating Contest,1.8553913626159783e-05,Coney Island,Nathan's Hot Dog Eating Contest,33.80206432997024
60,who wrote the book my country my life,"['L.K. Advani', 'L.K. Advani , an Indian politician who served as the Deputy Prime Minister of India from 2002 to 2004 , and was the Leader of the Opposition in the 15th Lok Sabha']",My Country My Life,-1.0,None,None,100.0,L.K. Advani,My Country My Life,-1.0,None,None,100.0,L.K. Advani,My Country My Life,100.0,L.K. Advani,My Country My Life,100.0,L.K. Advani,My Country My Life,101.0
61,what does it mean to be on parole,"['a temporary release of a prisoner who agrees to certain conditions before the completion of the maximum sentence period', 'temporary release of a prisoner who agrees to certain conditions before the completion of the maximum sentence period']",Parole,27.77777777777778,a person who already legally resides in the U.S. needs to leave temporarily and return without a visa,Parole,80.0,the provisional release of a prisoner who agrees to certain conditions prior to the completion of the maximum sentence period,Parole,80.0,the provisional release of a prisoner who agrees to certain conditions prior to the completion of the maximum sentence period,Parole,100.0,a temporary release of a prisoner who agrees to certain conditions before the completion of the maximum sentence period,Parole,52.36249217872195,the early release of a prisoner who agrees to abide by certain conditions,Parole,52.36249217872195,the early release of a prisoner who agrees to abide by certain conditions,Parole,72.22222222222223
62,when did the east india company take control of india,"['1612', '1799', '1757', 'in 1757']",East India Company,0.0,India,East India Company,0.0,1858,East India Company,0.0,1858,East India Company,0.0,1858,East India Company,0.0,1858,East India Company,0.0,1672,East India Company,0.0
63,the origins of the stations of the cross,"['pilgrimages to Jerusalem and a desire to reproduce Via Dolorosa', 'grew out of imitations of Via Dolorosa in Jerusalem which is believed to be the actual path Jesus walked to Mount Calvary', 'Via Dolorosa in Jerusalem which is believed to be the actual path Jesus walked to Mount Calvary']",Stations of the Cross,29.411764705882355,"The stations began as an attempt to recreate, or as a substitute for, the devotions in Jerusalem",Stations of the Cross,9.697196786440506,pilgrimages to Jerusalem,Stations of the Cross,51.3417119032592,imitations of Via Dolorosa in Jerusalem,Stations of the Cross,51.3417119032592,imitations of Via Dolorosa in Jerusalem,Stations of the Cross,51.3417119032592,imitations of Via Dolorosa in Jerusalem,Stations of the Cross,51.3417119032592,imitations of Via Dolorosa in Jerusalem,Stations of the Cross,41.644515116818695
64,where does the water come from to fill lake eyre,['Warburton River'],Lake Eyre,0.0,Local rain,Lake Eyre,100.0,Warburton River,Lake Eyre,100.0,Warburton River,Lake Eyre,100.0,Warburton River,Lake Eyre,100.0,Warburton River,Lake Eyre,100.0,Warburton River,Lake Eyre,100.0
65,who is the founder of google and when was it founded,"['1998 by Larry Page and Sergey Brin', '1998']",Google,67.03200460356393,Larry Page and Sergey Brin,Google,100.0,Larry Page,Google,100.0,Larry Page,Google,100.0,Brin and Page,Google,67.03200460356393,Larry Page and Sergey Brin,Google,100.0,1998,Google,32.967995396436066
