,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
22,when did the song rapper's delight come out,"['September 16 , 1979', '1979']",Rapper's Delight,100.0,1979,Rapper's Delight,100.0,1979,Wonder Mike,100.0,1979,Wonder Mike,100.0,1979,Wonder Mike,0.0
23,who won the mens single ice skating 2018,['Yuzuru Hanyu'],Figure skating at the 2018 Winter Olympics – Men's singles,0.0,Thomas Paulson,Thomas Paulson,0.0,Karl Schäfer,Brian Joubert,36.787944117144235,Hanyu,Yuzuru Hanyu,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0
24,what is the name of governor of maharashtra,['Chennamaneni Vidyasagar Rao'],List of governors of Maharashtra,0.0,Somanahalli Mallaiah Krishna,S. M. Krishna,33.33333333333333,Kona Prabhakar Rao,Kona Prabhakar Rao,33.33333333333333,Kona Prabhakar Rao,Kona Prabhakar Rao,0.0,K. Sankaranarayanan,Vilasrao Deshmukh,33.33333333333333
25,who was the first indian to be appointed as a judge in the international court of justice,['Sir Benegal Narsing Rau'],Judges of the International Court of Justice,0.0,Harilal Jekisundas Kania,H. J. Kania,0.0,Green Haywood Hackworth,Green Hackworth,0.0,Radhabinod Pal,Radhabinod Pal,25.0,Sir Nalini Ranjan Chatterjee,Nalini Ranjan Chatterjee,25.0
26,when do the new episodes of supernatural start,"['May 10 , 2018']",Supernatural (season 13),0.0,"December 13, 2007",List of Supernatural episodes,25.0,April and May 2008,Supernatural (U.S. TV series),0.0,December 2006,Supernatural (U.S. TV series),25.0,April and May 2008,Supernatural (U.S. TV series),25.0
27,when was the first season of when calls the heart,"['January 11 , 2014', '2014']",When Calls the Heart,20.0,September 1986 to January 1987,Heart of the City (TV series),20.0,September 1986 to January 1987,Heart of the City (TV series),47.76875403825262,"January 11, 2014",When Calls the Heart (TV series),100.0,2014,List of When Calls the Heart episodes,80.0
28,where are the next two winter olympics going to be held,['Beijing'],List of Olympic Games host cities,0.0,"Vancouver, British Columbia, Canada",Winter Olympic Games,0.0,South Korea,Beijing bid for the 2022 Winter Olympics,100.0,Beijing,2022 Winter Paralympics,100.0,Beijing,Bids for the 2022 Winter Olympics,100.0
29,when did i'm coming out come out,"['August 22 , 1980']",I'm Coming Out,4.978706836786395,1980,I'm Coming Out,23.88437701912631,"August 18, 2009",I'm About to Come Alive,47.76875403825262,"August 22, 1980",I'm Coming Out,47.76875403825262,"August 22, 1980",I'm Coming Out,42.79004720146622
30,what type of bridge is the charles bridge,"['a bow bridge with 16 arches', 'bow bridge', 'a bow bridge', 'Stone']",Charles Bridge,50.0,easternmost bridge,Charlestown Bridge,25.0,steel haunched girder bridge,Harvard Bridge,33.33333333333333,steel beam bridge,Bowker Overpass,100.0,bow bridge,Charles Bridge,75.0
31,who did dwight howard play for last year,"['Atlanta Hawks', 'Charlotte Hornets of the National Basketball Association ( NBA )', 'Charlotte Hornets']",Dwight Howard,50.0,Charlotte Bobcats,Dwight Howard,0.0,Shavlik Randolph,2008–09 Philadelphia 76ers season,0.0,Shavlik Randolph,2008–09 Philadelphia 76ers season,100.0,Charlotte Hornets,Dwight Howard,100.0
32,who lasted the longest in the royal rumble,['Rey Mysterio'],Royal Rumble,0.0,Bruno Sammartino,List of WWE Championship reigns by length,0.0,John Cena and Umaga,Royal Rumble (2007),0.0,Harley Race,King of the Ring,0.0,Females,Royal Rumble,0.0
33,what is the largest man made lake in the us,['Lake Oahe'],List of largest lakes of the United States by area,50.0,Lake Mead,Lake Mead,50.0,Lake Manawa,Lake Manawa,50.0,Lake Manawa,Lake Manawa,50.0,Mandon Lake,Mandon Lake,0.0
34,state with highest population growth rate in india 2011,"['Meghalaya', 'Dadra and Nagar Haveli']",List of states and union territories of India by population,100.0,Meghalaya,List of big cities in North East India,14.285714285714285,"Kashmir, Maharashtra, West Bengal, Sikkim, and Tripura",Indian states ranking by fertility rate,10.000000000000002,"Pradesh, Jammu and Kashmir, Maharashtra, West Bengal, Sikkim, and Tripura",Indian states ranking by fertility rate,9.09090909090909,"Uttar Pradesh, Maharashtra, Bihar, West Bengal, Andhra Pradesh and Madhya Pradesh",2011 Census of India,90.9090909090909
35,which city is called the manchester of north india,['Ahmedabad'],List of cities and towns in India by nicknames,0.0,Lucknow,Lucknow,100.0,Ahmedabad,Manchester,0.0,Meerut,Meerut,0.0,Meerut,Meerut,100.0
36,who won college basketball player of the year,['Jalen Brunson'],Naismith College Player of the Year,0.0,Kevin Durant,Adolph Rupp Trophy,0.0,Shabazz Napier,American Athletic Conference Men's Basketball Player of the Year,0.0,D'Angelo Russell,Jerry West Award,0.0,D'Angelo Russell,Jerry West Award,0.0
37,where can the mona lisa be found today,"['at the Louvre Museum in Paris', 'Musée du Louvre , Paris', 'Louvre Museum in Paris', 'on permanent display at the Louvre Museum in Paris']",Mona Lisa,71.65313105737893,Musée du Louvre,Mona Lisa,23.88437701912631,The Louvre museum,Mona Lisa,36.787944117144235,Louvre Museum,Mona Lisa,71.65313105737893,Louvre in Paris,Lisa del Giocondo,47.768754038252624
38,when was the last time someone won the super bowl back to back,['2004'],Super Bowl curse,0.0,1997–,Super Bowl XXXIX,0.0,1971,Super Bowl Most Valuable Player Award,0.0,1971,Super Bowl Most Valuable Player Award,0.0,1971,Super Bowl Most Valuable Player Award,0.0
39,where did the last name edwards come from,"['arose separately in England and Wales', 'England']",Edwards (surname),100.0,Wales,Edwards (surname),100.0,England and Wales,Edwards (surname),100.0,England and Wales,Edwards (surname),100.0,England and Wales,Edwards (surname),0.0
40,who is mostly responsible for writing the declaration of independence,['Thomas Jefferson'],United States Declaration of Independence,0.0,Robert Treat Paine,Robert Treat Paine (disambiguation),100.0,Thomas Jefferson,Bibliography of Thomas Jefferson,50.0,Thomas Paine,Thomas Paine,0.0,George Walton,George Walton (disambiguation),100.0
41,who does april end up with on parks and rec,"['Andy', 'Andy Dwyer']",April Ludgate,0.0,Bobby Ewing,Sheree J. Wilson,100.0,Andy,Andy and April's Fancy Party,100.0,Andy,Andy and April's Fancy Party,100.0,Andy Dwyer,April Ludgate,100.0
42,what's the population of prince edward island,"['142,907 residents', '142,907']",Prince Edward Island,0.0,"135,851",Prince Edward Island,0.0,"145,855",Prince Edward Island,0.0,"140,204",Outline of Prince Edward Island,100.0,"142,907",Prince Edward Island,100.0
43,who is the quarterback for the green bay packers,['Aaron Rodgers'],List of Green Bay Packers starting quarterbacks,0.0,Brett Lorenzo Favre,Brett Favre,100.0,Aaron Rodgers,Brett Favre,100.0,Aaron Rodgers,Andy Dalton,100.0,Aaron Rodgers,Andy Dalton,100.0
44,who has appeared in the most royal rumbles,"[""Isaac Yankem / `` Diesel '' / Kane""]",Royal Rumble,0.0,Michael Buffer,Michael Buffer,0.0,John Cena and Umaga,Royal Rumble (2007),0.0,John Cena and Umaga,Royal Rumble (2007),0.09118819655545163,Kane,Royal Rumble (2006),0.09118819655545163
45,when is the 5th round fa cup played,"['29 January 2018', '16 February 2018', 'February 2018']",2017–18 FA Cup,0.0,2007-2008,UEFA Cup 2007-2008 Knockout Stage,66.66666666666666,16 February 1957,1956–57 FA Cup,66.66666666666666,16 February 1957,1956–57 FA Cup,100.0,29 January 2018,2017–18 FA Cup,100.0
46,when is the season finale of designated survivor,"['May 16 , 2018']",Designated Survivor (season 2),23.88437701912631,"May 22, 2006",Alias episodes (season 5),0.0,"November 5, 2012",Red vs. Blue (season 10),0.0,"December 14, 2015",Designated Survivor (TV series),23.88437701912631,"May 11, 2017",Designated Survivor (season 2),23.88437701912631
47,who plays yoda in revenge of the sith,['Frank Oz'],Yoda,0.0,Jonah Meyerson,Jonah Meyerson,0.0,Tom Kane,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0
48,where did the california gold rush take place,"['Sierra Nevada and Northern California goldfields', 'Sierra Nevada']",California Gold Rush,100.0,Northern California,List of people associated with the California Gold Rush,100.0,Northern California,List of people associated with the California Gold Rush,100.0,Northern California,List of people associated with the California Gold Rush,100.0,Northern California,History of California,0.0
49,when does bill nye saves the world season 2 come out,"['December 29 , 2017']",Bill Nye Saves the World,0.0,"November 27, 2007",The Universe (TV series),23.88437701912631,"December 9, 2009",1000 Ways to Die (season 2),23.88437701912631,"December 9, 2009",1000 Ways to Die (season 2),23.88437701912631,"March 2, 2017",Gangland Undercover,23.88437701912631
50,who voiced mewtwo in pokemon the first movie,"['Philip Bartlett', 'Masachika Ichimura']",Pokémon: The First Movie,0.0,Matt Mitler,Matt Mitler,100.0,Philip Bartlett,Mewtwo,100.0,Philip Bartlett,Mewtwo,100.0,Philip Bartlett,Mewtwo,100.0
51,who owns the biggest house in beverly hills,['Anthony Pritzker'],List of largest houses in the Los Angeles metropolitan area,33.33333333333333,The Pritzker family,Pritzker family,0.0,Aaron and Candy Spelling,The Manor (Los Angeles),0.0,Aaron and Candy Spelling,The Manor (Los Angeles),100.0,Anthony Pritzker,The Pritzker Estate,100.0
52,who sings you're welcome in moana credits,"['Lin - Manuel Miranda', 'Dwayne Johnson']",Moana (soundtrack),0.0,Israel Kamakawiwoole,Kaleohano,0.0,Israel Kamakawiwoole,Kaleohano,40.0,Auli'i Cravalho and Dwayne Johnson,Moana (2016 film),100.0,Dwayne Johnson,Moana (soundtrack),100.0
53,who sang the american national anthem at the super bowl,['Pink'],List of national anthem performers at the Super Bowl,0.0,Mariah Carey,Super Bowl XXXVI,0.0,Christina Aguilera,List of national anthem performers at the Super Bowl,0.0,Christina Aguilera,List of national anthem performers at the Super Bowl,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,0.0
54,this inventor co-created the film fred ott’s sneeze,"['Fred Ott', 'Edison']",Fred Ott's Sneeze,12.500000000000004,"Edison Kinetoscopic Record of a Sneeze"" (a.k.a. ""Fred Ott's Sneeze"") and ""Fred Ott Holding a Bird",Fred Ott,12.500000000000004,"Edison Kinetoscopic Record of a Sneeze"" (a.k.a. ""Fred Ott's Sneeze"") and ""Fred Ott Holding a Bird",Fred Ott,12.500000000000004,"Edison Kinetoscopic Record of a Sneeze"" (a.k.a. ""Fred Ott's Sneeze"") and ""Fred Ott Holding a Bird",Fred Ott,50.0,Thomas Edison,J. Stuart Blackton,37.5
55,who won the most medals at the 2014 winter olympics,"['Russia (', 'Russia']",2014 Winter Olympics medal table,0.0,Eddie Eagan,Winter Olympic Games,100.0,Russia,2014 Winter Paralympics,0.0,The Russian team,2014 Winter Paralympics medal table,100.0,Russia,2014 Winter Olympics medal table,100.0
56,who won britain's next top model 2016,['Chloe Keenan'],Britain's Next Top Model,0.0,Claire Elizabeth Smith,Julia Kourotchkina,0.0,Lauren McAvoy,Britain's Next Top Model (cycle 3),100.0,Chloe Keenan,Britain's Next Top Model (cycle 10),100.0,Chloe Keenan,Britain's Next Top Model (cycle 10),100.0
57,who is the highest paid baseball player in the major leagues,"['Alex Rodriguez', 'Clayton Kershaw']",List of highest paid Major League Baseball players,100.0,Alex Rodriguez,List of highest paid baseball players,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,100.0,Alex Rodriguez,List of Major League Baseball career home run leaders,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,0.0
58,when did clifford the big red dog first air on tv,"['September 4 , 2000']",Clifford the Big Red Dog (TV series),23.88437701912631,2000 to 2003,Clifford the Big Red Dog,28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),40.0,September 2000 to February 2003,Clifford the Big Red Dog,28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),16.11562298087369
59,who won season 2 of real chance of love,"['Doll', 'Jackie DaFonseca']",Real Chance of Love (season 2),0.0,Ruben Studdard,American Idol (season 2),0.0,Ruben Studdard,American Idol (season 2),0.0,Terry Fator,America's Got Talent (season 2),0.0,Ruben Studdard,American Idol (season 2),0.0
60,which nfl coach has the most superbowl rings,['Bill Belichick'],List of Super Bowl head coaches,0.0,Norv Turner,Norv Turner,100.0,Bill Belichick,List of current National Football League head coaches,100.0,Bill Belichick,List of current National Football League head coaches,100.0,Bill Belichick,List of current National Football League head coaches,100.0
61,where are the winter olympic games being held this year,"['Pyeongchang County , Gangwon Province , South Korea', 'Pyeongchang County , South Korea']",2018 Winter Olympics,0.0,"Almaty, Kazakhstan",2011 Asian Winter Games,34.227807935506135,"Pyeongchang, South Korea",Winter Olympic Games,34.227807935506135,"Pyeongchang, South Korea",Winter Olympic Games,58.41005873035536,"Pyeongchang County, South Korea",2018 Winter Olympics,58.41005873035536
62,when does the first nba basketball game start,"['October 17 , 2017']",2017–18 NBA season,0.0,"January 20, 1892",Basketball,0.0,"December 9, 1978",Women's Professional Basketball League,0.0,"December 1, 1898",National Basketball League (1898–1904),47.76875403825262,"October 17, 2017",2017–18 NBA season,47.76875403825262
63,how long did the democrats control the house and senate,"['57 yrs', '35 yrs']",Political power in the United States over time,0.0,1980,Fifth Party System,0.0,twelve years,Democratic Party (United States),0.0,fewer than 50 Senate seats,Members of the 110th United States Senate,0.0,1980,Fifth Party System,0.0
64,ahana from dil sambhal ja zara real name,['Smriti Kalra'],Dil Sambhal Jaa Zara,0.0,Preity Zinta,Veer-Zaara,0.0,Hina Khan,Hina Khan (actress),0.0,Anita Raj,Zamane Se Kya Darna,0.0,Anita Raj,Zamane Se Kya Darna,0.0
65,when do love and hip hop new york come back on,"['October 30 , 2017', 'November 13 , 2017']",Love & Hip Hop: New York,0.0,January 14 2008,Moving To New York,23.88437701912631,"October 27, 2004",New York (Ja Rule song),23.88437701912631,"November 2, 2015",Love &amp; Hip Hop,23.88437701912631,"October 27, 2004",New York (Ja Rule song),23.88437701912631
66,when did dragon ball super tournament of power start,"['Survive ! The Tournament of Power Begins at Last ! !', ""`` Survive ! The Tournament of Power Begins at Last ! ! ''"", 'February 19 , 2017']",List of Dragon Ball Super episodes,16.666666666666668,"At the beginning of the match, the meters start at zero percent",Super Smash Bros.,0.0,2014,League of Legends World Championship,0.0,"July 5, 2015",Dragon Ball Super,23.88437701912631,"January 7, 2017",Dragon Ball Super,23.88437701912631
67,when was it was not death for i stood up published,"['1890', '1891']",List of Emily Dickinson poems,0.0,1998,Death is Not the End,0.0,When Ireland lives,Do Not Stand at My Grave and Weep,100.0,1890,Because I could not stop for Death,100.0,1890,Because I could not stop for Death,100.0
68,what is the definition of the name thomas,"['twin', ""`` twin ''""]",Thomas (name),100.0,twin,Thomas (name),100.0,twin,Thomas (name),100.0,twin,Thomas (name),100.0,twin,Thomas (name),0.0
69,who is president of india in present time,['Ram Nath Kovind'],List of Presidents of India,0.0,Rajendra Prasad,President of India,0.0,Rajendra Prasad,List of Presidents of India,0.0,Rajendra Prasad,List of Presidents of India,100.0,Ram Nath Kovind,Ram Nath Kovind,100.0
70,when did season 4 of glee come out,"['September 13 , 2012', 'September 13 , 2012 ( 2012 - 09 - 13 ) -- May 9 , 2013']",Glee (season 4),23.88437701912631,May 24-May 25,American Idol (season 4),23.88437701912631,"September 13, 2010",Gossip Girl (season 4),47.76875403825262,"September 13, 2012",Glee (season 4),23.88437701912631,"October 1, 2013",Glee (season 4),23.88437701912631
71,chief ministers of tamil nadu mentioned on wikipedia,"['C.N. Annadurai', 'A. Subbarayalu Reddiar']",List of Chief Ministers of Tamil Nadu,36.787944117144235,Annadurai,C. N. Annadurai,5.000000000000001,"Conjeevaram Natarajan Annadurai () (15 September 1909 – 3 February 1969), popularly called Anna (, “elder brother""), or Arignar Anna",List of places named after C. N. Annadurai,5.000000000000001,"Conjeevaram Natarajan Annadurai () (15 September 1909 – 3 February 1969), popularly called Anna (, “elder brother""), or Arignar Anna",List of places named after C. N. Annadurai,5.000000000000001,"Conjeevaram Natarajan Annadurai () (15 September 1909 – 3 February 1969), popularly called Anna (, “elder brother""), or Arignar Anna",List of places named after C. N. Annadurai,31.787944117144235
72,who got the first arjun award in athletics,['Gurbachan Singh Randhawa'],Arjuna Award,33.33333333333333,Magan Singh Rajvi,Magan Singh Rajvi,33.33333333333333,Vijay Singh Chauhan,Vijay Singh Chauhan,30.326532985631673,Milkha Singh,Milkha Singh,33.33333333333333,Vijay Singh Chauhan,Vijay Singh Chauhan,3.006800347701656
73,what is the genus of a bald eagle,['Haliaeetus'],Bald eagle,50.0,Haliaeetus leucocephalus,Bald Eagle,100.0,Haliaeetus,Bald eagle,100.0,Haliaeetus,Bald eagle,100.0,Haliaeetus,Bald eagle,50.0
74,who was first governor general of british india,"['Warren Hastings', 'Louis Mountbatten']",Governor-General of India,100.0,Warren Hastings,Warren Hastings,100.0,Warren Hastings,Governor-General of India,100.0,Warren Hastings,Governor-General of India,100.0,Warren Hastings,Warren Hastings,0.0
75,who does bryce dallas howard play in the grinch,['Surprised Who'],Bryce Dallas Howard,0.0,Dan White,Josh Brolin,0.0,Ewan McGregor,Jim Carrey,0.0,Charlie Baileygates,Jim Carrey,0.0,Charlie Baileygates,Jim Carrey,0.0
76,north carolina delegate to the second continental congress,['John B. Ashe'],List of delegates to the Continental Congress,30.326532985631673,John Hancock,Second Continental Congress,0.0,Georgia,Second Continental Congress,30.326532985631673,John Hancock,Continental Congress,30.326532985631673,John Harvey,North Carolina Provincial Congress,30.326532985631673
77,when does the flash season 4 episode 3 air,"['October 24 , 2017']",The Flash (season 4),0.0,later premiere date,24 (season 4),0.0,"June 4, 2010",Flashpoint (TV series),23.88437701912631,"October 13, 2015",Chicago Fire (season 4),47.76875403825262,"October 10, 2017",List of The Flash episodes,47.76875403825262
78,who did the broncos beat in the super bowl,['Green Bay Packers'],Denver Broncos,0.0,Pittsburgh Steelers,2006 Denver Broncos season,0.0,Pittsburgh Steelers,1984 Denver Broncos season,0.0,Pittsburgh Steelers,1984 Denver Broncos season,0.0,Carolina Panthers,History of the Denver Broncos,0.0
79,when does zay come to girl meets world,"['May 13 , 2015', 'Girl Meets the Secret of Life']",List of Girl Meets World episodes,23.88437701912631,the Zamarons reappear,Zamaron,23.88437701912631,10 May 2010,Zaz (album),23.88437701912631,10 May 2010,Zaz (album),25.0,Monday 13 October 2014,Zara World,1.1156229808736917
80,how much money did it cost to make gta v,['137'],List of most expensive video games to develop,0.0,£5 million per vehicle,Bugatti Veyron,0.0,"US$59,995",Cadillac CTS-V,0.0,"US$59,995",Cadillac CTS-V,0.0,"US$59,995",Cadillac CTS-V,0.0
81,where is the citrus bowl held this year,"['Camping World Stadium in Orlando , Florida', 'Camping World Stadium']",Citrus Bowl,40.0,Walt Disney World Florida Classic,Citrus Bowl,50.0,Florida Citrus Bowl Stadium,Florida Citrus Bowl Stadium,50.0,Orlando Citrus Bowl Stadium,Orlando Kickoff,100.0,Camping World Stadium,2016 Citrus Bowl (December),60.0
82,when does the next star trek episode come out,"['2018', 'February 4 , 2018']",Star Trek: Discovery,0.0,"November 10th, 2007",The Next Phase,23.88437701912631,"February 24, 2259",Stardate,0.0,January 2017,Untitled 2017 Star Trek TV series,0.0,"September 24, 2017",Battle at the Binary Stars,23.88437701912631
83,the atomic number of indium which belongs to 5th period is,['49'],Period 5 element,0.0,Huan,The Five (gods),100.0,49,Period 5 element,100.0,49,Period 5 element,100.0,49,Period 5 element,100.0
84,which material is the heaviest in term of density,['Osmium'],Density,0.0,tungsten carbide,Tungsten,33.33333333333333,Osmium and iridium,Density,33.33333333333333,Osmium and iridium,Density,33.33333333333333,Osmium and iridium,Density,33.33333333333333
85,who has scored the most half centuries in test cricket,['Sachin Tendulkar'],List of Test cricket records,0.0,Brian Lara,West Indian Test match records,100.0,Sachin Tendulkar,List of Cricket World Cup centuries,100.0,Sachin Tendulkar,List of Cricket World Cup centuries,100.0,Sachin Tendulkar,Century (cricket),100.0
86,when is the flash coming back after christmas,"['January 16 , 2018']",List of The Flash episodes,0.0,1875,Flashman and the Redskins,0.0,April 29,No More Good Days,0.0,April 29,No More Good Days,23.88437701912631,"January 8, 2017",The Flash (season 4),23.88437701912631
87,when was the last year thanksgiving was on the 23rd,['2017'],Thanksgiving (United States),0.0,1647,Thanksgiving,0.0,1675,Thanksgiving (United States),0.0,1945,Thanksgiving (United States),0.0,November 23,Thanksgiving (United States),0.0
88,who won the medals in men's figure skating 2018,['Yuzuru Hanyu'],Figure skating at the 2018 Winter Olympics – Men's singles,0.0,Ulrich Salchow,Figure skating at the 1908 Summer Olympics - Men's individual,0.0,Evan Lysacek,Evgeni Plushenko,0.0,Evan Lysacek,Evgeni Plushenko,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0
89,who directed the iconic animated short educational film ek anek aur ekta,['Vijaya Mulay'],Ek Anek Aur Ekta,0.0,Amayo Uzo Philips,Aki na Ukwa,100.0,Vijaya Mulay,Ek Anek Aur Ekta,100.0,Vijaya Mulay,Vijaya Mulay,100.0,Vijaya Mulay,Vijaya Mulay,100.0
