,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
10,how long was dark side of the moon number 1,"['42 : 49', 'a week']",The Dark Side of the Moon,"one week, 741 consecutive weeks (14 years, 14 years","{'one week': 'The Dark Side of the Moon', '741 consecutive weeks (14 years': 'The Dark Side of the Moon', '14 years': 'The Dark Side of the Moon'}",100.0,a week,The Dark Side of the Moon,100.0,one week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,0.0
11,where is the snooker world open currently held,"['Haikou', 'in Haikou on the Hainan Island', 'Hainan International Exhibition Center']",World Open (snooker),,None,100.0,Haikou on the Hainan Island,World Open (snooker),100.0,Haikou on the Hainan Island,World Open (snooker),100.0,Haikou on the Hainan Island,World Open (snooker),33.33333333333333,Scotland at the A.E.C.C. in Aberdeen,World Open (snooker),100.0,Scotland at the A.E.C.C. in Aberdeen,World Open (snooker),66.66666666666667
12,who sings the theme song for degrassi the next generation,['Jakalope'],List of Degrassi soundtracks,,None,-1.0,None,None,-1.0,None,None,0.0,Drake,List of Degrassi soundtracks,-1.0,None,None,100.0,Drake,List of Degrassi soundtracks,101.0
13,when did the first ice age come out,"['March 15 , 2002', '2002']",Ice Age (franchise),,None,100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),0.0
14,who does dwyane wade play for right now,"['the Miami Heat', 'the Miami Heat of the National Basketball Association ( NBA )', 'Miami Heat']",Dwyane Wade,"NBA, Miami Heat, Michael Jordan","{'NBA': 'Dwyane Wade', 'Miami Heat': 'Dwyane Wade', 'Michael Jordan': 'Dwyane Wade'}",100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,0.0
15,who did johnny manziel play college football for,"['Texas A&M', 'Texas A&M University', 'Texas A&M Aggies']",Johnny Manziel,,None,66.66666666666666,Texas A&amp;M Aggies,Johnny Manziel,100.0,Texas A&amp;M Aggies,Johnny Manziel,100.0,Texas A&amp;M,Johnny Manziel,100.0,Texas A&amp;M University,Johnny Manziel,100.0,Texas A&amp;M,Johnny Manziel,33.33333333333334
16,india south africa test series 2018 highest runs,"['AB de Villiers', '286']",Indian cricket team in South Africa in 2017–18,,None,-1.0,None,None,-1.0,None,None,13.043478260869565,AB de Villiers was ruled out of South Africa's squad for the T20I series after suffering an injury before the fifth ODI match.,Indian cricket team in South Africa in 2017–18,-1.0,None,None,30.0,all 40 wickets fell in each match of the series,Indian cricket team in South Africa in 2017–18,31.0
17,who was last person to be executed in us,['Ruben Cardenas Ramirez'],List of offenders executed in the United States in 2017,,None,-1.0,None,None,-1.0,None,None,0.0,Marcel Williams,List of offenders executed in the United States in 2017,0.0,Jack Harold Jones,List of offenders executed in the United States in 2017,100.0,Jack Harold Jones,List of offenders executed in the United States in 2017,101.0
18,when was united nations convention on the rights of the child created,['20 November 1989'],Convention on the Rights of the Child,"1989, 1948, 1989; it came into force on September 2 1990","{'1989': 'Convention on the Rights of the Child', '1948': 'Convention on the Rights of the Child', '1989; it came into force on September 2 1990': 'Convention on the Rights of the Child'}",0.0,1991,Convention on the Rights of the Child,100.0,1991,Convention on the Rights of the Child,33.33333333333333,16 December 1991,Convention on the Rights of the Child,100.0,1989,Convention on the Rights of the Child,100.0,16 December 1991,Convention on the Rights of the Child,100.0
19,tallest building in the world of all time,['Burj Khalifa'],History of the world's tallest buildings,,None,-1.0,None,None,-1.0,None,None,100.0,Burj Khalifa,History of the world's tallest buildings,100.0,Burj Khalifa,History of the world's tallest buildings,100.0,Burj Khalifa,History of the world's tallest buildings,101.0
20,who plays chummy's mother in call the midwife,['Cheryl Campbell'],List of Call the Midwife characters,,None,-1.0,None,None,0.0,Jane,List of Call the Midwife characters,0.0,Patsy,List of Call the Midwife characters,100.0,Jane,List of Call the Midwife characters,100.0,Jane,List of Call the Midwife characters,101.0
21,who was the nfl first draft pick 2017,['Myles Garrett'],2017 NFL Draft,,None,-1.0,None,None,-1.0,None,None,0.0,Philadelphia,2017 NFL Draft,0.0,2017 NFL Draft was the 82nd annual meeting of National Football League (NFL) franchises to select newly eligible American football players,2017 NFL Draft,100.0,2017 NFL Draft was the 82nd annual meeting of National Football League (NFL) franchises to select newly eligible American football players,2017 NFL Draft,101.0
22,when did the song rapper's delight come out,"['September 16 , 1979', '1979']",Rapper's Delight,"1979, predates the advent of the sampler, 1980","{'1979': ""Rapper's Delight"", 'predates the advent of the sampler': ""Rapper's Delight"", '1980': ""Rapper's Delight""}",100.0,1979,Rapper's Delight,100.0,1979,Rapper's Delight,100.0,September 1979,Rapper's Delight,100.0,1979,Rapper's Delight,100.0,1979,Rapper's Delight,0.0
23,who won the mens single ice skating 2018,['Yuzuru Hanyu'],Figure skating at the 2018 Winter Olympics – Men's singles,,None,-1.0,None,None,-1.0,None,None,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,101.0
24,what is the name of governor of maharashtra,['Chennamaneni Vidyasagar Rao'],List of governors of Maharashtra,,None,-1.0,None,None,0.0,Executive Head of the State of Maharashtra,List of governors of Maharashtra,53.84615384615385,The Governor of Maharashtra is the Executive Head of the State of Maharashtra,List of governors of Maharashtra,0.0,Bhagat Singh Koshiyari,List of governors of Maharashtra,100.0,Bhagat Singh Koshiyari,List of governors of Maharashtra,101.0
25,who was the first indian to be appointed as a judge in the international court of justice,['Sir Benegal Narsing Rau'],Judges of the International Court of Justice,!State!!Judge !!Judge!!President!!Vice-Pres,{'!State!!Judge !!Judge!!President!!Vice-Pres': 'Judges of the International Court of Justice'},0.0,ad hoc,Judges of the International Court of Justice,0.0,the first judge,Judges of the International Court of Justice,100.0,the first judge,Judges of the International Court of Justice,-1.0,None,None,100.0,the first judge,Judges of the International Court of Justice,101.0
26,when do the new episodes of supernatural start,"['May 10 , 2018']",Supernatural (season 13),,None,-1.0,None,None,-1.0,None,None,0.0,"October 12, 2017",Supernatural (season 13),-1.0,None,None,100.0,"October 12, 2017",Supernatural (season 13),101.0
27,when was the first season of when calls the heart,"['January 11 , 2014', '2014']",When Calls the Heart,,None,-1.0,None,None,0.0,When Calls the Heart,When Calls the Heart,0.0,October 2013,When Calls the Heart,100.0,October 2013,When Calls the Heart,100.0,2014,When Calls the Heart,101.0
28,where are the next two winter olympics going to be held,['Beijing'],List of Olympic Games host cities,,None,0.0,Oceania,List of Olympic Games host cities,100.0,Oceania,List of Olympic Games host cities,100.0,Beijing,List of Olympic Games host cities,100.0,Oceania,List of Olympic Games host cities,3.125,"Beijing for the 2022 Winter Olympics, Paris for the 2024 Summer Olympics, Milan–Cortina for the 2026 Winter Olympics, Los Angeles for the 2028 Summer Olympics, and Brisbane for the 2032 Summer Olympics",List of Olympic Games host cities,100.0
29,when did i'm coming out come out,"['August 22 , 1980']",I'm Coming Out,"1980, 2003, 1980","{'1980': ""I'm Coming Out"", '2003': ""I'm Coming Out""}",100.0,1980,I'm Coming Out,100.0,1980,I'm Coming Out,100.0,2003,I'm Coming Out,100.0,2003,I'm Coming Out,47.76875403825262,"August 22, 1980",I'm Coming Out,52.23124596174738
30,what type of bridge is the charles bridge,"['a bow bridge with 16 arches', 'bow bridge', 'a bow bridge', 'Stone']",Charles Bridge,"historical, gothic, public transport","{'historical': 'Charles Bridge', 'gothic': 'Charles Bridge', 'public transport': 'Charles Bridge'}",100.0,gothic,Charles Bridge,100.0,gothic,Charles Bridge,100.0,gothic,Charles Bridge,100.0,gothic,Charles Bridge,100.0,bow bridge,Charles Bridge,0.0
31,who did dwight howard play for last year,"['Atlanta Hawks', 'Charlotte Hornets of the National Basketball Association ( NBA )', 'Charlotte Hornets']",Dwight Howard,"Charlotte Bobcats, Orlando Magic, Atlanta Christian Academy","{'Charlotte Bobcats': 'Dwight Howard', 'Orlando Magic': 'Dwight Howard', 'Atlanta Christian Academy': 'Dwight Howard'}",10.526315789473681,"Orlando in the 2006–07 season, and for the third consecutive season he played in all 82 regular season games",Dwight Howard,82.90291181804004,"2006–07 season, and for the third consecutive season he played in all 82 regular season games",Dwight Howard,100.0,Charlotte Hornets,Dwight Howard,0.0,Los Angeles Lakers,Dwight Howard,100.0,Atlanta Hawks,Dwight Howard,100.0
32,who lasted the longest in the royal rumble,['Rey Mysterio'],Royal Rumble,"2002, Stone Cold Steve Austin, 15 wrestlers from both the RAW and SmackDown! brands. At first, the winner of the match received a shot at his brand's champion. Starting in 2004, the Rumble winner had the option of challenging either brand's champion. For instance, Chris Benoit","{'2002': 'Royal Rumble', 'Stone Cold Steve Austin': 'Royal Rumble', ""15 wrestlers from both the RAW and SmackDown! brands. At first, the winner of the match received a shot at his brand's champion. Starting in 2004, the Rumble winner had the option of challenging either brand's champion. For instance, Chris Benoit"": 'Royal Rumble'}",0.0,Jim Duggan,Royal Rumble,55.55555555555556,"Shawn Michaels, Vince McMahon, Chris Benoit and Rey Mysterio",Royal Rumble,0.0,Females,Royal Rumble,25.0,The winner of the event is the last wrestler remaining after all others have been eliminated,Royal Rumble,100.0,The winner,Royal Rumble,100.0
33,what is the largest man made lake in the us,['Lake Oahe'],List of largest lakes of the United States by area,,None,0.0,"worlds-largest-lakes-in-world-acres-C1/, accessed 7 Mar 2011. The area given is the normal or average area of the lake. Some lakes fluctuate substantially. For those lakes partially in Canada or Mexico the area given for the lake is the total area, not just the part of the lake in the United States",List of largest lakes of the United States by area,66.66666666666666,National Atlas of the United States,List of largest lakes of the United States by area,0.0,55,List of largest lakes of the United States by area,100.0,55,List of largest lakes of the United States by area,100.0,55,List of largest lakes of the United States by area,100.0
34,state with highest population growth rate in india 2011,"['Meghalaya', 'Dadra and Nagar Haveli']",List of states and union territories of India by population,,None,100.0,Nagar Haveli,List of states and union territories of India by population,100.0,Nagar Haveli,List of states and union territories of India by population,100.0,Nagar Haveli,List of states and union territories of India by population,100.0,Dadra and Nagar Haveli,List of states and union territories of India by population,100.0,Dadra and Nagar Haveli,List of states and union territories of India by population,0.0
35,which city is called the manchester of north india,['Ahmedabad'],List of cities and towns in India by nicknames,,None,-1.0,None,None,-1.0,None,None,0.0,city nicknames,List of cities and towns in India by nicknames,0.0,Khetia,List of cities and towns in India by nicknames,-1.0,None,None,1.0
36,who won college basketball player of the year,['Jalen Brunson'],Naismith College Player of the Year,Lew Alcindor,{'Lew Alcindor': 'Naismith College Player of the Year'},15.384615384615385,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,100.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,100.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,100.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,100.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,84.61538461538461
37,where can the mona lisa be found today,"['at the Louvre Museum in Paris', 'Musée du Louvre , Paris', 'Louvre Museum in Paris', 'on permanent display at the Louvre Museum in Paris']",Mona Lisa,"Musée du Louvre, Musée du Louvre, carpets to mouse pads","{'Musée du Louvre': 'Mona Lisa', 'carpets to mouse pads': 'Mona Lisa'}",33.33333333333333,The Louvre museum,Mona Lisa,60.653065971263345,Louvre Museum,Mona Lisa,100.0,Louvre museum,Mona Lisa,50.0,"Louvre, Paris",Mona Lisa,100.0,"Louvre, Paris",Mona Lisa,66.66666666666667
38,when was the last time someone won the super bowl back to back,['2004'],Super Bowl curse,,None,100.0,2004,Super Bowl curse,0.0,1993,Super Bowl curse,0.0,1992,Super Bowl curse,100.0,1993,Super Bowl curse,100.0,1993,Super Bowl curse,100.0
39,where did the last name edwards come from,"['arose separately in England and Wales', 'England']",Edwards (surname),Wales,{'Wales': 'Edwards (surname)'},100.0,England and Wales,Edwards (surname),-1.0,None,None,100.0,England and Wales,Edwards (surname),-1.0,None,None,100.0,England and Wales,Edwards (surname),101.0
40,who is mostly responsible for writing the declaration of independence,['Thomas Jefferson'],United States Declaration of Independence,"Thomas Paine, John Hancock, Jefferson","{'Thomas Paine': 'United States Declaration of Independence', 'John Hancock': 'United States Declaration of Independence', 'Jefferson': 'United States Declaration of Independence'}",50.0,John Adams,United States Declaration of Independence,100.0,John Adams,United States Declaration of Independence,100.0,John Adams,United States Declaration of Independence,100.0,Jefferson,United States Declaration of Independence,100.0,John Adams,United States Declaration of Independence,50.0
41,who does april end up with on parks and rec,"['Andy', 'Andy Dwyer']",April Ludgate,,None,100.0,Andy Dwyer,April Ludgate,0.0,Eduardo,April Ludgate,100.0,Eduardo,April Ludgate,100.0,Eduardo,April Ludgate,100.0,Eduardo,April Ludgate,100.0
42,what's the population of prince edward island,"['142,907 residents', '142,907']",Prince Edward Island,"135,851, 135,851, The maritime province is the smallest in the nation in both land area and population","{'135,851': 'Prince Edward Island', 'The maritime province is the smallest in the nation in both land area and population': 'Prince Edward Island'}",31.59745129085813,it is the most developed and densely populated province in Canada,Prince Edward Island,80.07374029168079,it is the most densely populated province in Canada,Prince Edward Island,100.0,"142,907",Prince Edward Island,10.735389901075512,one of the highest percentages of Presbyterians,Prince Edward Island,0.0,largely white,Prince Edward Island,100.0
43,who is the quarterback for the green bay packers,['Aaron Rodgers'],List of Green Bay Packers starting quarterbacks,,None,-1.0,None,None,0.0,quarterbacks,List of Green Bay Packers starting quarterbacks,100.0,Aaron Rodgers,List of Green Bay Packers starting quarterbacks,100.0,Aaron Rodgers,List of Green Bay Packers starting quarterbacks,100.0,Aaron Rodgers,List of Green Bay Packers starting quarterbacks,101.0
44,who has appeared in the most royal rumbles,"[""Isaac Yankem / `` Diesel '' / Kane""]",Royal Rumble,"15, Stone Cold Steve Austin, The Rumble winner","{'15': 'Royal Rumble', 'Stone Cold Steve Austin': 'Royal Rumble', 'The Rumble winner': 'Royal Rumble'}",33.33333333333333,The Big Show,Royal Rumble,100.0,The Big Show,Royal Rumble,0.0,Kofi Kingston,Royal Rumble,12.383969996431167,most Rumble matches last roughly one hour,Royal Rumble,100.0,most Rumble matches last roughly one hour,Royal Rumble,100.0
45,when is the 5th round fa cup played,"['29 January 2018', '16 February 2018', 'February 2018']",2017–18 FA Cup,,None,-1.0,None,None,-1.0,None,None,100.0,29 January 2018,2017–18 FA Cup,-1.0,None,None,100.0,29 January 2018,2017–18 FA Cup,101.0
46,when is the season finale of designated survivor,"['May 16 , 2018']",Designated Survivor (season 2),,None,-1.0,None,None,-1.0,None,None,23.88437701912631,"May 11, 2017",Designated Survivor (season 2),-1.0,None,None,100.0,"May 11, 2017",Designated Survivor (season 2),101.0
47,who plays yoda in revenge of the sith,['Frank Oz'],Yoda,"Palpatine, Count Dooku, Vandar Tokare","{'Palpatine': 'Yoda', 'Count Dooku': 'Yoda', 'Vandar Tokare': 'Yoda'}",0.0,Tom Kane,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0
48,where did the california gold rush take place,"['Sierra Nevada and Northern California goldfields', 'Sierra Nevada']",California Gold Rush,"San Francisco, Sutter's Mill, Sutter's Mill in Coloma","{'San Francisco': 'California Gold Rush', ""Sutter's Mill"": 'California Gold Rush', ""Sutter's Mill in Coloma"": 'California Gold Rush'}",100.0,Sutter's Mill,California Gold Rush,100.0,Sutter's Mill,California Gold Rush,100.0,Sutter's Mill,California Gold Rush,100.0,Sutter's Mill,California Gold Rush,100.0,San Francisco,California Gold Rush,0.0
49,when does bill nye saves the world season 2 come out,"['December 29 , 2017']",Bill Nye Saves the World,,None,-1.0,None,None,-1.0,None,None,23.88437701912631,"June 15, 2017",Bill Nye Saves the World,66.66666666666666,"December 29, 2017",Bill Nye Saves the World,100.0,"December 29, 2017",Bill Nye Saves the World,101.0
50,who voiced mewtwo in pokemon the first movie,"['Philip Bartlett', 'Masachika Ichimura']",Pokémon: The First Movie,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
51,who owns the biggest house in beverly hills,['Anthony Pritzker'],List of largest houses in the Los Angeles metropolitan area,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,four,List of largest houses in the Los Angeles metropolitan area,100.0,four,List of largest houses in the Los Angeles metropolitan area,101.0
52,who sings you're welcome in moana credits,"['Lin - Manuel Miranda', 'Dwayne Johnson']",Moana (soundtrack),,None,-1.0,None,None,-1.0,None,None,100.0,Dwayne Johnson,Moana (soundtrack),100.0,Dwayne Johnson,Moana (soundtrack),100.0,Dwayne Johnson,Moana (soundtrack),101.0
53,who sang the american national anthem at the super bowl,['Pink'],List of national anthem performers at the Super Bowl,,None,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,100.0,Vikki Carr,List of national anthem performers at the Super Bowl,100.0,Vikki Carr,List of national anthem performers at the Super Bowl,100.0,Vikki Carr,List of national anthem performers at the Super Bowl,100.0,Vikki Carr,List of national anthem performers at the Super Bowl,100.0
54,this inventor co-created the film fred ott’s sneeze,"['Fred Ott', 'Edison']",Fred Ott's Sneeze,"William K.L. Dickson, Dickson","{'William K.L. Dickson': ""Fred Ott's Sneeze"", 'Dickson': ""Fred Ott's Sneeze""}",100.0,Dickson,Fred Ott's Sneeze,100.0,William K.L. Dickson,Fred Ott's Sneeze,100.0,William K.L. Dickson,Fred Ott's Sneeze,100.0,William K.L. Dickson,Fred Ott's Sneeze,100.0,William K.L. Dickson,Fred Ott's Sneeze,0.0
55,who won the most medals at the 2014 winter olympics,"['Russia (', 'Russia']",2014 Winter Olympics medal table,,None,100.0,Russia,2014 Winter Olympics medal table,2.777777777777778,"The Netherlands achieved four podium sweeps in the speed skating, dominating the men's 500 metres, men's 5,000 metres, men's 10,000 metres, and women's 1,500 metres, surpassing the previous record of two podium sweeps. Host nation Russia",2014 Winter Olympics medal table,100.0,Russia,2014 Winter Olympics medal table,-1.0,None,None,100.0,The Netherlands,2014 Winter Olympics medal table,101.0
56,who won britain's next top model 2016,['Chloe Keenan'],Britain's Next Top Model,"Paula Hamilton, Twiggy, Linda Evangelista, Karen Elson, Jerry Hall, Paris Hilton, Yasmin Le Bon, Will Chalker and Lisa Butcher.
Other prizes include becoming the face of top British cosmetics company Ruby &amp; Millie and a 6 page fashion spread in Company magazine as well as gracing the front cover.
In each episode, the programme's panel of judges– Jonathan Phang, Marie Helvin (Cycle 1) and Supermodel Paula Hamilton, Lisa Snowdon","{'Paula Hamilton': ""Britain's Next Top Model"", ""Twiggy, Linda Evangelista, Karen Elson, Jerry Hall, Paris Hilton, Yasmin Le Bon, Will Chalker and Lisa Butcher.\nOther prizes include becoming the face of top British cosmetics company Ruby &amp; Millie and a 6 page fashion spread in Company magazine as well as gracing the front cover.\nIn each episode, the programme's panel of judges– Jonathan Phang, Marie Helvin (Cycle 1) and Supermodel Paula Hamilton"": ""Britain's Next Top Model"", 'Lisa Snowdon': ""Britain's Next Top Model""}",-1.0,None,None,0.0,Dannii Minogue,Britain's Next Top Model,0.0,Annaliese Dayes,Britain's Next Top Model,100.0,Annaliese Dayes,Britain's Next Top Model,100.0,Annaliese Dayes,Britain's Next Top Model,101.0
57,who is the highest paid baseball player in the major leagues,"['Alex Rodriguez', 'Clayton Kershaw']",List of highest paid Major League Baseball players,,None,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,36.787944117144235,Rodriguez,List of highest paid Major League Baseball players,-1.0,None,None,101.0
58,when did clifford the big red dog first air on tv,"['September 4 , 2000']",Clifford the Big Red Dog (TV series),,None,28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),100.0,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),100.0,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),100.0,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),71.65313105737893,"September 4, 2000",Clifford the Big Red Dog (TV series),71.42857142857143
