,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,2021 Bleu Score,2021 Predicted,2021 Topic,max - min
15,who did johnny manziel play college football for,"['Texas A&M', 'Texas A&M University', 'Texas A&M Aggies']",Johnny Manziel,-1.0,None,None,66.66666666666666,Texas A&amp;M Aggies,Johnny Manziel,66.66666666666666,Texas A&amp;M Aggies,Johnny Manziel,50.0,Texas A&amp;M,Johnny Manziel,66.66666666666666,Texas A&amp;M University,Johnny Manziel,66.66666666666666,Texas A&amp;M Aggies,Johnny Manziel,67.66666666666666
16,india south africa test series 2018 highest runs,"['AB de Villiers', '286']",Indian cricket team in South Africa in 2017–18,-1.0,None,None,-1.0,None,None,-1.0,None,None,13.043478260869565,AB de Villiers was ruled out of South Africa's squad for the T20I series after suffering an injury before the fifth ODI match.,Indian cricket team in South Africa in 2017–18,-1.0,None,None,0.0,558,Indian cricket team in South Africa in 2017–18,14.043478260869565
17,who was last person to be executed in us,['Ruben Cardenas Ramirez'],List of offenders executed in the United States in 2017,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Marcel Williams,List of offenders executed in the United States in 2017,0.0,Jack Harold Jones,List of offenders executed in the United States in 2017,0.0,Jack Harold Jones,List of offenders executed in the United States in 2017,1.0
18,when was united nations convention on the rights of the child created,['20 November 1989'],Convention on the Rights of the Child,13.53352832366127,1989,Convention on the Rights of the Child,0.0,1991,Convention on the Rights of the Child,13.53352832366127,1989,Convention on the Rights of the Child,0.0,16 December 1991,Convention on the Rights of the Child,13.53352832366127,1989,Convention on the Rights of the Child,13.53352832366127,1989,Convention on the Rights of the Child,13.53352832366127
19,tallest building in the world of all time,['Burj Khalifa'],History of the world's tallest buildings,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Burj Khalifa,History of the world's tallest buildings,100.0,Burj Khalifa,History of the world's tallest buildings,100.0,Burj Khalifa,History of the world's tallest buildings,101.0
20,who plays chummy's mother in call the midwife,['Cheryl Campbell'],List of Call the Midwife characters,-1.0,None,None,-1.0,None,None,0.0,Jane,List of Call the Midwife characters,0.0,Patsy,List of Call the Midwife characters,0.0,Jane,List of Call the Midwife characters,0.0,Jane,List of Call the Midwife characters,1.0
21,who was the nfl first draft pick 2017,['Myles Garrett'],2017 NFL Draft,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Philadelphia,2017 NFL Draft,0.0,2017 NFL Draft was the 82nd annual meeting of National Football League (NFL) franchises to select newly eligible American football players,2017 NFL Draft,0.0,2017 NFL Draft was the 82nd annual meeting of National Football League (NFL) franchises to select newly eligible American football players,2017 NFL Draft,1.0
22,when did the song rapper's delight come out,"['September 16 , 1979', '1979']",Rapper's Delight,100.0,1979,Rapper's Delight,100.0,1979,Rapper's Delight,100.0,1979,Rapper's Delight,100.0,September 1979,Rapper's Delight,100.0,1979,Rapper's Delight,100.0,1979,Rapper's Delight,0.0
23,who won the mens single ice skating 2018,['Yuzuru Hanyu'],Figure skating at the 2018 Winter Olympics – Men's singles,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,100.0,Yuzuru Hanyu,Figure skating at the 2018 Winter Olympics – Men's singles,101.0
24,what is the name of governor of maharashtra,['Chennamaneni Vidyasagar Rao'],List of governors of Maharashtra,-1.0,None,None,-1.0,None,None,0.0,Executive Head of the State of Maharashtra,List of governors of Maharashtra,0.0,The Governor of Maharashtra is the Executive Head of the State of Maharashtra,List of governors of Maharashtra,0.0,Bhagat Singh Koshiyari,List of governors of Maharashtra,0.0,Bhagat Singh Koshiyari,List of governors of Maharashtra,1.0
25,who was the first indian to be appointed as a judge in the international court of justice,['Sir Benegal Narsing Rau'],Judges of the International Court of Justice,0.0,!State!!Judge !!Judge!!President!!Vice-Pres,Judges of the International Court of Justice,0.0,ad hoc,Judges of the International Court of Justice,0.0,the first judge,Judges of the International Court of Justice,0.0,the first judge,Judges of the International Court of Justice,-1.0,None,None,0.0,the first judge,Judges of the International Court of Justice,1.0
26,when do the new episodes of supernatural start,"['May 10 , 2018']",Supernatural (season 13),-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,"October 12, 2017",Supernatural (season 13),-1.0,None,None,0.0,"October 12, 2017",Supernatural (season 13),1.0
27,when was the first season of when calls the heart,"['January 11 , 2014', '2014']",When Calls the Heart,-1.0,None,None,-1.0,None,None,0.0,When Calls the Heart,When Calls the Heart,0.0,October 2013,When Calls the Heart,0.0,2015,When Calls the Heart,100.0,2014,When Calls the Heart,101.0
28,where are the next two winter olympics going to be held,['Beijing'],List of Olympic Games host cities,-1.0,None,None,0.0,Oceania,List of Olympic Games host cities,100.0,Beijing,List of Olympic Games host cities,100.0,Beijing,List of Olympic Games host cities,9.09090909090909,Pyeongchang) (2018 Winter Olympics and 2024 Winter Youth Olympics) and Beijing,List of Olympic Games host cities,3.125,"Beijing for the 2022 Winter Olympics, Paris for the 2024 Summer Olympics, Milan–Cortina for the 2026 Winter Olympics, Los Angeles for the 2028 Summer Olympics, and Brisbane for the 2032 Summer Olympics",List of Olympic Games host cities,101.0
29,when did i'm coming out come out,"['August 22 , 1980']",I'm Coming Out,4.978706836786395,1980,I'm Coming Out,4.978706836786395,1980,I'm Coming Out,47.76875403825262,"August 22, 1980",I'm Coming Out,47.76875403825262,"August 22, 1980",I'm Coming Out,47.76875403825262,"August 22, 1980",I'm Coming Out,47.76875403825262,"August 22, 1980",I'm Coming Out,42.79004720146622
30,what type of bridge is the charles bridge,"['a bow bridge with 16 arches', 'bow bridge', 'a bow bridge', 'Stone']",Charles Bridge,0.0,historical,Charles Bridge,12.500000000000004,"solid-land"" connection made Prague important as a trade route between Eastern and Western Europe.
The bridge is 621 m long and nearly 10 m wide, resting on 16 arches shielded by ice guards",Charles Bridge,2.5,"baroque-style, originally erected around 1700 but now all replaced by replicas.
History.
Through the 19th century.
Throughout its history, the Charles Bridge suffered several disasters and witnessed many historic events. Czech legend has it that construction began on Charles Bridge at 5:31am on 9 July 1357 with the first stone being laid by Charles IV himself. This exact time was very important to the Holy Roman Emperor because he was a strong believer of numerology and this specific time, which formed a numerical",Charles Bridge,100.0,bow bridge,Charles Bridge,100.0,bow bridge,Charles Bridge,100.0,bow bridge,Charles Bridge,100.0
31,who did dwight howard play for last year,"['Atlanta Hawks', 'Charlotte Hornets of the National Basketball Association ( NBA )', 'Charlotte Hornets']",Dwight Howard,50.0,Charlotte Bobcats,Dwight Howard,5.263157894736841,"Orlando in the 2006–07 season, and for the third consecutive season he played in all 82 regular season games",Dwight Howard,6.25,"2006–07 season, and for the third consecutive season he played in all 82 regular season games",Dwight Howard,100.0,Charlotte Hornets,Dwight Howard,0.0,Los Angeles Lakers,Dwight Howard,100.0,Atlanta Hawks,Dwight Howard,100.0
32,who lasted the longest in the royal rumble,['Rey Mysterio'],Royal Rumble,0.0,2002,Royal Rumble,0.0,Jim Duggan,Royal Rumble,22.22222222222222,"Shawn Michaels, Vince McMahon, Chris Benoit and Rey Mysterio",Royal Rumble,0.0,Females,Royal Rumble,0.0,one hour,Royal Rumble,0.0,The winner,Royal Rumble,22.22222222222222
33,what is the largest man made lake in the us,['Lake Oahe'],List of largest lakes of the United States by area,-1.0,None,None,0.0,"worlds-largest-lakes-in-world-acres-C1/, accessed 7 Mar 2011. The area given is the normal or average area of the lake. Some lakes fluctuate substantially. For those lakes partially in Canada or Mexico the area given for the lake is the total area, not just the part of the lake in the United States",List of largest lakes of the United States by area,0.0,National Atlas of the United States,List of largest lakes of the United States by area,0.0,55,List of largest lakes of the United States by area,0.0,55,List of largest lakes of the United States by area,0.0,55,List of largest lakes of the United States by area,1.0
34,state with highest population growth rate in india 2011,"['Meghalaya', 'Dadra and Nagar Haveli']",List of states and union territories of India by population,-1.0,None,None,100.0,Nagar Haveli,List of states and union territories of India by population,100.0,Nagar Haveli,List of states and union territories of India by population,100.0,Nagar Haveli,List of states and union territories of India by population,100.0,Dadra and Nagar Haveli,List of states and union territories of India by population,100.0,Dadra and Nagar Haveli,List of states and union territories of India by population,101.0
35,which city is called the manchester of north india,['Ahmedabad'],List of cities and towns in India by nicknames,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,city nicknames,List of cities and towns in India by nicknames,0.0,Khetia,List of cities and towns in India by nicknames,-1.0,None,None,1.0
36,who won college basketball player of the year,['Jalen Brunson'],Naismith College Player of the Year,0.0,Lew Alcindor,Naismith College Player of the Year,0.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,0.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,0.0,"Lew Alcindor of the University of California, Los Angeles (UCLA) and Anne Donovan",Naismith College Player of the Year,0.0,Bill Walton,Naismith College Player of the Year,0.0,Bill Walton,Naismith College Player of the Year,0.0
37,where can the mona lisa be found today,"['at the Louvre Museum in Paris', 'Musée du Louvre , Paris', 'Louvre Museum in Paris', 'on permanent display at the Louvre Museum in Paris']",Mona Lisa,71.65313105737893,Musée du Louvre,Mona Lisa,23.88437701912631,The Louvre museum,Mona Lisa,36.787944117144235,Louvre Museum,Mona Lisa,36.787944117144235,Louvre Museum,Mona Lisa,18.393972058572118,"Louvre, Paris",Mona Lisa,25.0,Metropolitan Museum of Art,Mona Lisa,53.25915899880681
38,when was the last time someone won the super bowl back to back,['2004'],Super Bowl curse,-1.0,None,None,100.0,2004,Super Bowl curse,0.0,1993,Super Bowl curse,0.0,1992,Super Bowl curse,0.0,2005,Super Bowl curse,0.0,–93,Super Bowl curse,101.0
39,where did the last name edwards come from,"['arose separately in England and Wales', 'England']",Edwards (surname),100.0,Wales,Edwards (surname),100.0,England and Wales,Edwards (surname),-1.0,None,None,100.0,England and Wales,Edwards (surname),-1.0,None,None,100.0,England and Wales,Edwards (surname),101.0
40,who is mostly responsible for writing the declaration of independence,['Thomas Jefferson'],United States Declaration of Independence,50.0,Thomas Paine,United States Declaration of Independence,0.0,John Adams,United States Declaration of Independence,0.0,John Adams,United States Declaration of Independence,0.0,John Locke,United States Declaration of Independence,36.787944117144235,Jefferson,United States Declaration of Independence,0.0,John Adams,United States Declaration of Independence,50.0
41,who does april end up with on parks and rec,"['Andy', 'Andy Dwyer']",April Ludgate,-1.0,None,None,100.0,Andy Dwyer,April Ludgate,0.0,Eduardo,April Ludgate,100.0,Andy Dwyer,April Ludgate,100.0,Andy Dwyer,April Ludgate,100.0,Andy Dwyer,April Ludgate,101.0
42,what's the population of prince edward island,"['142,907 residents', '142,907']",Prince Edward Island,0.0,"135,851",Prince Edward Island,0.0,"145,855",Prince Edward Island,0.0,"140,204",Prince Edward Island,100.0,"142,907",Prince Edward Island,0.0,largely white,Prince Edward Island,0.0,largely white,Prince Edward Island,100.0
43,who is the quarterback for the green bay packers,['Aaron Rodgers'],List of Green Bay Packers starting quarterbacks,-1.0,None,None,-1.0,None,None,0.0,quarterbacks,List of Green Bay Packers starting quarterbacks,100.0,Aaron Rodgers,List of Green Bay Packers starting quarterbacks,100.0,Aaron Rodgers,List of Green Bay Packers starting quarterbacks,100.0,Aaron Rodgers,List of Green Bay Packers starting quarterbacks,101.0
44,who has appeared in the most royal rumbles,"[""Isaac Yankem / `` Diesel '' / Kane""]",Royal Rumble,0.0,15,Royal Rumble,0.0,Rock,Royal Rumble,0.0,"Shawn Michaels, Vince McMahon, Chris Benoit and Rey Mysterio",Royal Rumble,0.0,Kofi Kingston,Royal Rumble,0.0,men,Royal Rumble,0.0,30,Royal Rumble,0.0
45,when is the 5th round fa cup played,"['29 January 2018', '16 February 2018', 'February 2018']",2017–18 FA Cup,-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,29 January 2018,2017–18 FA Cup,-1.0,None,None,100.0,29 January 2018,2017–18 FA Cup,101.0
46,when is the season finale of designated survivor,"['May 16 , 2018']",Designated Survivor (season 2),-1.0,None,None,-1.0,None,None,-1.0,None,None,23.88437701912631,"May 11, 2017",Designated Survivor (season 2),-1.0,None,None,23.88437701912631,"May 11, 2017",Designated Survivor (season 2),24.88437701912631
47,who plays yoda in revenge of the sith,['Frank Oz'],Yoda,0.0,Palpatine,Yoda,0.0,Tom Kane,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0,Frank Oz,Yoda,100.0
48,where did the california gold rush take place,"['Sierra Nevada and Northern California goldfields', 'Sierra Nevada']",California Gold Rush,0.0,San Francisco,California Gold Rush,50.0,"Coloma, California",California Gold Rush,50.0,"Coloma, California",California Gold Rush,50.0,"Coloma, California",California Gold Rush,50.0,"Coloma, California",California Gold Rush,50.0,"Coloma, California",California Gold Rush,50.0
49,when does bill nye saves the world season 2 come out,"['December 29 , 2017']",Bill Nye Saves the World,-1.0,None,None,-1.0,None,None,-1.0,None,None,23.88437701912631,"June 15, 2017",Bill Nye Saves the World,47.76875403825262,"December 29, 2017",Bill Nye Saves the World,47.76875403825262,"December 29, 2017",Bill Nye Saves the World,48.76875403825262
50,who voiced mewtwo in pokemon the first movie,"['Philip Bartlett', 'Masachika Ichimura']",Pokémon: The First Movie,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
51,who owns the biggest house in beverly hills,['Anthony Pritzker'],List of largest houses in the Los Angeles metropolitan area,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,four,List of largest houses in the Los Angeles metropolitan area,0.0,four,List of largest houses in the Los Angeles metropolitan area,1.0
52,who sings you're welcome in moana credits,"['Lin - Manuel Miranda', 'Dwayne Johnson']",Moana (soundtrack),-1.0,None,None,-1.0,None,None,-1.0,None,None,100.0,Dwayne Johnson,Moana (soundtrack),100.0,Dwayne Johnson,Moana (soundtrack),100.0,Dwayne Johnson,Moana (soundtrack),101.0
53,who sang the american national anthem at the super bowl,['Pink'],List of national anthem performers at the Super Bowl,-1.0,None,None,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,0.0,Vikki Carr,List of national anthem performers at the Super Bowl,1.0
54,this inventor co-created the film fred ott’s sneeze,"['Fred Ott', 'Edison']",Fred Ott's Sneeze,0.0,William K.L. Dickson,Fred Ott's Sneeze,0.0,Dickson,Fred Ott's Sneeze,0.0,William K.L. Dickson,Fred Ott's Sneeze,0.0,William K.L. Dickson,Fred Ott's Sneeze,0.0,William K.L. Dickson,Fred Ott's Sneeze,0.0,William K.L. Dickson,Fred Ott's Sneeze,0.0
55,who won the most medals at the 2014 winter olympics,"['Russia (', 'Russia']",2014 Winter Olympics medal table,-1.0,None,None,100.0,Russia,2014 Winter Olympics medal table,2.777777777777778,"The Netherlands achieved four podium sweeps in the speed skating, dominating the men's 500 metres, men's 5,000 metres, men's 10,000 metres, and women's 1,500 metres, surpassing the previous record of two podium sweeps. Host nation Russia",2014 Winter Olympics medal table,100.0,Russia,2014 Winter Olympics medal table,-1.0,None,None,0.0,The Netherlands,2014 Winter Olympics medal table,101.0
56,who won britain's next top model 2016,['Chloe Keenan'],Britain's Next Top Model,0.0,Paula Hamilton,Britain's Next Top Model,-1.0,None,None,0.0,Dannii Minogue,Britain's Next Top Model,0.0,Annaliese Dayes,Britain's Next Top Model,0.0,Annaliese Dayes,Britain's Next Top Model,0.0,Annaliese Dayes,Britain's Next Top Model,1.0
57,who is the highest paid baseball player in the major leagues,"['Alex Rodriguez', 'Clayton Kershaw']",List of highest paid Major League Baseball players,-1.0,None,None,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,100.0,Alex Rodriguez,List of highest paid Major League Baseball players,36.787944117144235,Rodriguez,List of highest paid Major League Baseball players,-1.0,None,None,101.0
58,when did clifford the big red dog first air on tv,"['September 4 , 2000']",Clifford the Big Red Dog (TV series),-1.0,None,None,28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),28.57142857142857,"September 4, 2000 to February 25, 2003",Clifford the Big Red Dog (TV series),47.76875403825262,"September 4, 2000",Clifford the Big Red Dog (TV series),48.76875403825262
59,who won season 2 of real chance of love,"['Doll', 'Jackie DaFonseca']",Real Chance of Love (season 2),-1.0,None,None,0.0,The Pink Team,Real Chance of Love (season 2),0.0,The Pink Team,Real Chance of Love (season 2),0.0,The Pink Team,Real Chance of Love (season 2),-1.0,None,None,0.0,"Blonde Baller, Junk, Pocahontas, Sassy, and Spanish Fly",Real Chance of Love (season 2),1.0
60,which nfl coach has the most superbowl rings,['Bill Belichick'],List of Super Bowl head coaches,-1.0,None,None,0.0,Chuck Noll,List of Super Bowl head coaches,-1.0,None,None,-1.0,None,None,0.0,Coaches with multiple Super Bowl appearances,List of Super Bowl head coaches,0.0,Mike Holmgren and Dan Reeves,List of Super Bowl head coaches,1.0
61,where are the winter olympic games being held this year,"['Pyeongchang County , Gangwon Province , South Korea', 'Pyeongchang County , South Korea']",2018 Winter Olympics,0.0,"2018 Winter Olympics, officially known as the XXIII Olympic Winter Games, will be celebrated in 2018, and are an international winter sports athletic event that has yet to be organized by the International Olympic Committee (IOC). The organization, under the leadership of Jacques Rogge, is currently preparing to mount calls for cities to bid for the honor of hosting the event. The deadline for bids is January 2009. The winning bid should be announced in mid-2011.
Potential bids.
Europe.
On July 4, 2007 Sochi, Russia",2018 Winter Olympics,34.227807935506135,"Pyeongchang, South Korea",2018 Winter Olympics,34.227807935506135,"PyeongChang, South Korea",2018 Winter Olympics,58.41005873035536,"Pyeongchang County, South Korea",2018 Winter Olympics,66.66666666666666,"Pyeongchang County, Gangwon Province, South Korea",2018 Winter Olympics,66.66666666666666,"Pyeongchang County, Gangwon Province, South Korea",2018 Winter Olympics,66.66666666666666
62,when does the first nba basketball game start,"['October 17 , 2017']",2017–18 NBA season,-1.0,None,None,-1.0,None,None,-1.0,None,None,47.76875403825262,"October 17, 2017",2017–18 NBA season,47.76875403825262,"October 17, 2017",2017–18 NBA season,47.76875403825262,"October 17, 2017",2017–18 NBA season,48.76875403825262
63,how long did the democrats control the house and senate,"['57 yrs', '35 yrs']",Political power in the United States over time,-1.0,None,None,-1.0,None,None,50.0,35 years,Political power in the United States over time,50.0,35 years,Political power in the United States over time,-1.0,None,None,-1.0,None,None,51.0
64,ahana from dil sambhal ja zara real name,['Smriti Kalra'],Dil Sambhal Jaa Zara,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0,Rehaan,Dil Sambhal Jaa Zara,0.0,Be Careful My Heart,Dil Sambhal Jaa Zara,0.0,Be Careful My Heart,Dil Sambhal Jaa Zara,1.0
65,when do love and hip hop new york come back on,"['October 30 , 2017', 'November 13 , 2017']",Love & Hip Hop: New York,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
66,when did dragon ball super tournament of power start,"['Survive ! The Tournament of Power Begins at Last ! !', ""`` Survive ! The Tournament of Power Begins at Last ! ! ''"", 'February 19 , 2017']",List of Dragon Ball Super episodes,-1.0,None,None,-1.0,None,None,0.0,"July 5, 2015",List of Dragon Ball Super episodes,0.0,"July 5, 2015",List of Dragon Ball Super episodes,0.0,"July 5, 2015",List of Dragon Ball Super episodes,0.0,"July 5, 2015",List of Dragon Ball Super episodes,1.0
