,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
10,Who won Super Bowl 50?,['Denver Broncos'],Super_Bowl_50,,None,36.787944117144235,Denver,Super Bowl 50,100.0,Denver,Super Bowl 50,100.0,Denver Broncos,Super Bowl 50,63.212055882855765
11,What venue did Super Bowl 50 take place in?,"[""Levi's Stadium"", ""Levi's Stadium in the San Francisco Bay Area at Santa Clara""]",Super_Bowl_50,Levi's Stadium,"{""Levi's Stadium"": 'Super Bowl 50'}",100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50 halftime show,0.0
12,What city did Super Bowl 50 take place in?,['Santa Clara'],Super_Bowl_50,,None,100.0,Santa Clara,Super Bowl 50 halftime show,100.0,Santa Clara,Super Bowl 50 halftime show,100.0,Santa Clara,Super Bowl 50 halftime show,0.0
13,"If Roman numerals were used, what would Super Bowl 50 have been called?","['Super Bowl L', 'L']",Super_Bowl_50,Super Bowl L,{'Super Bowl L': 'Super Bowl 50'},100.0,Super Bowl L,Super Bowl 50,100.0,Super Bowl L,Super Bowl 50,100.0,Super Bowl L,Super Bowl 50,0.0
14,Super Bowl 50 decided the NFL champion for what season?,"['2015', 'the 2015 season']",Super_Bowl_50,2015,{'2015': 'Super Bowl'},100.0,2015,Super Bowl 50,100.0,2015,Super Bowl 50,100.0,2015,Super Bowl 50,0.0
15,What year did the Denver Broncos secure a Super Bowl title for the third time?,"['2015', '2016']",Super_Bowl_50,1999,{'1999': 'History of the Denver Broncos'},100.0,2015,History of the Denver Broncos,0.0,1966,2016 Denver Broncos season,100.0,1966,2016 Denver Broncos season,100.0
16,What stadium did Super Bowl 50 take place in?,"[""Levi's Stadium""]",Super_Bowl_50,Levi's Stadium,"{""Levi's Stadium"": 'Super Bowl 50'}",100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50 halftime show,0.0
17,What was the final score of Super Bowl 50? ,['24–10'],Super_Bowl_50,35–,{'35–': 'The Comeback (American football)'},100.0,24–10,Super Bowl 50,0.0,15–12,Super Bowl LII,0.0,24–,Super Bowl 50,100.0
18,"What month, day and year did Super Bowl 50 take place? ","['February 7, 2016']",Super_Bowl_50,,None,100.0,"February 7, 2016",Super Bowl 50,100.0,"February 7, 2016",Super Bowl,100.0,"February 7, 2016",Super Bowl 50,0.0
19,What year was Super Bowl 50?,"['2015', '2016']",Super_Bowl_50,,None,100.0,2016,Super Bowl 50 halftime show,100.0,2016,Super Bowl 50 halftime show,0.0,2014,Super Bowl 50,100.0
20,What team was the AFC champion?,['Denver Broncos'],Super_Bowl_50,,None,0.0,Houston Oilers,1988–89 NFL playoffs,0.0,Cincinnati Bengals,1988–89 NFL playoffs,0.0,Kansas City Chiefs,American Football Conference,0.0
21,What team was the NFC champion?,['Carolina Panthers'],Super_Bowl_50,,None,100.0,Carolina Panthers,National Football Conference,-1.0,None,None,0.0,San Francisco 49ers,National Football Conference,101.0
22,Super Bowl 50 determined the NFL champion for what season?,"['2015', 'the 2015 season']",Super_Bowl_50,2015,{'2015': 'Super Bowl'},100.0,2015,Super Bowl 50,100.0,2015,Super Bowl 50,100.0,2015,Super Bowl 50,0.0
23,Which team won Super Bowl 50.,['Denver Broncos'],Super_Bowl_50,,None,36.787944117144235,Denver,Super Bowl 50,100.0,Denver,Super Bowl 50,100.0,Denver,Super Bowl 50,63.212055882855765
24,Where was Super Bowl 50 held?,"['Santa Clara, California.', ""Levi's Stadium""]",Super_Bowl_50,,None,100.0,Levi's Stadium,Super Bowl 50 halftime show,100.0,Levi's Stadium,Super Bowl 50 halftime show,0.0,Atlanta,Super Bowl LIII halftime show,100.0
25,The name of the NFL championship game is?,['Super Bowl'],Super_Bowl_50,AFL-NFL Championship Game,{'AFL-NFL Championship Game': 'Super Bowl'},100.0,Super Bowl,History of the National Football League championship,66.66666666666666,Super Bowl XLII,NFL playoffs,-1.0,None,None,101.0
26,What 2015 NFL team one the AFC playoff?,['Denver Broncos'],Super_Bowl_50,,None,0.0,Pittsburgh Steelers,2015–16 NFL playoffs,100.0,Denver Broncos,Super Bowl 50,100.0,Denver Broncos,Super Bowl 50,100.0
27,Which Carolina Panthers player was named Most Valuable Player?,['Cam Newton'],Super_Bowl_50,,None,100.0,Cam Newton,AP NFL Offensive Player of the Year Award,-1.0,None,None,-1.0,None,None,101.0
28,How many appearances have the Denver Broncos made in the Super Bowl?,"['8', 'eight']",Super_Bowl_50,seven,{'seven': 'History of the Denver Broncos'},0.0,five,History of the Denver Broncos,100.0,five,History of the Denver Broncos,100.0,five,History of the Denver Broncos,100.0
29,What year was the Carolina Panthers franchise founded?,['1995'],Super_Bowl_50,1919,{'1919': 'Cleveland Panthers'},0.0,1993,List of Carolina Panthers seasons,100.0,1993,List of Carolina Panthers seasons,100.0,1993,List of Carolina Panthers seasons,100.0
30,What team did the Panthers defeat?,"['Arizona Cardinals', 'the Arizona Cardinals']",Super_Bowl_50,San Francisco 49ers,{'San Francisco 49ers': '2013 Carolina Panthers season'},100.0,San Francisco,History of the Carolina Panthers,0.0,New Orleans,History of the Carolina Panthers,0.0,Denver Broncos,List of Carolina Panthers players,100.0
31,Who did the Broncos prevent from going to the Super Bowl?,"['New England Patriots', 'the New England Patriots']",Super_Bowl_50,Lawrence Taylor,{'Lawrence Taylor': 'Super Bowl XXI'},100.0,Lawrence Taylor,Super Bowl XXI,100.0,Lawrence Taylor,Super Bowl XXI,100.0,Lawrence Taylor,Super Bowl XXI,0.0
32,Who did the Panthers beat in the NFC Championship Game?,"['Arizona Cardinals', 'the Arizona Cardinals']",Super_Bowl_50,Green Bay Packers,{'Green Bay Packers': 'Super Bowl XXXVIII'},100.0,Green Bay Packers,Carolina Panthers,100.0,Green Bay Packers,Carolina Panthers,100.0,Green Bay Packers,Carolina Panthers,0.0
33,Who lost to the Broncos in the AFC Championship?,"['New England Patriots', 'the New England Patriots']",Super_Bowl_50,Baltimore Ravens,{'Baltimore Ravens': '2012–13 NFL playoffs'},100.0,New England Patriots,Super Bowl 50,100.0,New England Patriots,Super Bowl 50,0.0,Pittsburgh Steelers,2005 Denver Broncos season,100.0
34,Who were the defending Super Bowl champions?,"['New England Patriots', 'the New England Patriots']",Super_Bowl_50,Baltimore Colts,{'Baltimore Colts': 'Super Bowl VI'},0.0,Pittsburgh,Super Bowl X,100.0,New England Patriots,Super Bowl 50,100.0,New England Patriots,Super Bowl 50,100.0
35,How many teams have been in the Super Bowl eight times?,['four'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
36,Who was this season's NFL MVP?,['Cam Newton'],Super_Bowl_50,Jameis Winston,{'Jameis Winston': 'Archie Griffin Award'},100.0,Cam Newton,AP NFL Offensive Player of the Year Award,0.0,Tom Brady,NFL Top 100 Players of 2017,0.0,Mark Moseley,Associated Press NFL Most Valuable Player Award,100.0
37,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,['15–1'],Super_Bowl_50,0–2,{'0–2': '2010 Carolina Panthers season'},0.0,15-1,List of Carolina Panthers seasons,100.0,15–1,2015 Carolina Panthers season,100.0,15–1,List of Carolina Panthers seasons,100.0
38,Which Carolina Panthers team member was picked as the team's MVP in 2015? ,['Cam Newton'],Super_Bowl_50,,None,100.0,Cam Newton,AP NFL Offensive Player of the Year Award,-1.0,None,None,-1.0,None,None,101.0
39,What were the win/loss game stats for the Denver Bronco's regular season in 2015?,['12–4'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
40,How many teams have played in the Super Bowl eight times?,"['4', 'four']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
41,Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,"['New England Patriots', 'the New England Patriots']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
42,Who is the quarterback for the Panthers?,['Cam Newton'],Super_Bowl_50,John Kasay,{'John Kasay': 'List of Carolina Panthers players'},33.33333333333333,Cameron Jerrell Newton,Cam Newton,100.0,Cameron Jerrell Newton,Cam Newton,0.0,Alex Smith,Alex Smith (disambiguation),100.0
43,Who did Carolina beat in the NFC championship game?,"['Arizona Cardinals', 'the Arizona Cardinals']",Super_Bowl_50,Green Bay Packers,{'Green Bay Packers': 'Super Bowl XXXVIII'},100.0,Green Bay Packers,Carolina Panthers,100.0,Green Bay Packers,Carolina Panthers,100.0,Green Bay Packers,Carolina Panthers,0.0
44,How many times have the Panthers been in the Super Bowl?,"['2', 'second']",Super_Bowl_50,one,{'one': 'List of Carolina Panthers seasons'},0.0,two,Carolina Panthers,0.0,8,List of Carolina Panthers seasons,0.0,twice,List of Carolina Panthers seasons,0.0
45,Who did Denver beat in the AFC championship?,"['New England Patriots', 'the New England Patriots']",Super_Bowl_50,Cleveland Browns,{'Cleveland Browns': '1986 Denver Broncos season'},0.0,Pittsburgh Steelers,2005 Denver Broncos season,100.0,Pittsburgh Steelers,2005 Denver Broncos season,100.0,Cleveland Browns,1986–87 NFL playoffs,100.0
46,Who was the Most Valuable Player for the 2015 NFL season?,['Cam Newton'],Super_Bowl_50,,None,100.0,Cam Newton,AP NFL Offensive Player of the Year Award,-1.0,None,None,-1.0,None,None,101.0
47,Who did Denver beat in the 2015 AFC Championship game?,"['New England Patriots', 'the New England Patriots']",Super_Bowl_50,New England Patriots,{'New England Patriots': 'Super Bowl XLVIII'},100.0,New England Patriots,Super Bowl 50,0.0,Jacksonville Jaguars,Super Bowl XXXII,-1.0,None,None,101.0
48,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,"['Arizona Cardinals', 'the Arizona Cardinals']",Super_Bowl_50,,None,100.0,Arizona Cardinals,2014–15 NFL playoffs,100.0,Arizona Cardinals,2014–15 NFL playoffs,100.0,Arizona Cardinals,2014–15 NFL playoffs,0.0
49,Who was the 2015 NFL MVP?,['Cam Newton'],Super_Bowl_50,,None,100.0,Cam Newton,AP NFL Offensive Player of the Year Award,0.0,Peyton Manning,Bart Starr Award,-1.0,None,None,101.0
50,Who did the Panthers beat to become the NFC champs?,"['Arizona Cardinals', 'the Arizona Cardinals']",Super_Bowl_50,Seattle Seahawks,{'Seattle Seahawks': '2013 Carolina Panthers season'},0.0,Green Bay Packers,Carolina Panthers,100.0,Green Bay Packers,Carolina Panthers,0.0,New Orleans Saints,2018 Carolina Panthers season,100.0
51,What year did the Carolina Panthers form?,"['1995.', '1995']",Super_Bowl_50,,None,0.0,1993,List of Carolina Panthers seasons,100.0,1993,List of Carolina Panthers seasons,100.0,1993,List of Carolina Panthers seasons,100.0
52,Who was the Super Bowl 50 MVP?,"['Von Miller', 'Miller']",Super_Bowl_50,,None,100.0,Von Miller,Super Bowl 50,100.0,Von Miller,Super Bowl 50,100.0,Von Miller,Super Bowl 50,0.0
53,How many fumbles did Von Miller force in Super Bowl 50?,"['2', 'two']",Super_Bowl_50,two,{'two': 'Von Miller'},100.0,two,Von Miller,100.0,two,Von Miller,0.0,four,Von Miller,100.0
54,Which team held the scoring lead throughout the entire game?,"['Broncos', 'The Broncos']",Super_Bowl_50,Chicago Bears,{'Chicago Bears': '1934 NFL Championship Game'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
55,Which Denver linebacker was named Super Bowl MVP?,"['linebacker Von Miller', 'Von Miller', 'Miller']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
56,How many solo tackles did Von Miller make at Super Bowl 50?,"['five solo tackles', 'five']",Super_Bowl_50,,None,0.0,six,Von Miller,100.0,six,Von Miller,100.0,six,Von Miller,100.0
57,Who was limited by Denver's defense?,"[""Newton was limited by Denver's defense"", 'Newton']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
58,How many times was Cam Newton sacked?,['seven'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
59,Who won the Super Bowl MVP?,"['Von Miller', 'The Broncos', 'Miller']",Super_Bowl_50,Earl Morrall,{'Earl Morrall': 'Johnny Unitas'},100.0,Earl Morrall,Johnny Unitas,100.0,Earl Morrall,Johnny Unitas,0.0,Bart Starr,Super Bowl Most Valuable Player Award,100.0
60,How many turnovers did Cam Newton have?,['three'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,100.0,three,Cam Newton,101.0
61,How many fumbles did Von Miller force?,['two'],Super_Bowl_50,two,{'two': 'Von Miller'},100.0,two,Von Miller,100.0,two,Von Miller,0.0,four,Von Miller,100.0
62,Who was given the esteemed status of MVP for Super Bowl 50?,"['Von Miller', 'Miller']",Super_Bowl_50,Earl Morrall,{'Earl Morrall': 'Johnny Unitas'},100.0,Von Miller,Super Bowl 50,100.0,Von Miller,Super Bowl 50,0.0,Jim Thorpe,National Football League 50th Anniversary All-Time Team,100.0
63,What position does Von Miller play for the Denver Broncos?,['linebacker'],Super_Bowl_50,linebacker,{'linebacker': 'Von Miller'},100.0,linebacker,Von Miller,0.0,tight end,Heath Miller,100.0,linebacker,Von Miller,100.0
64,What was the number of solo tackles that Von Miller had in Super Bowl 50?,"['5', 'five']",Super_Bowl_50,,None,0.0,59,Von Miller,100.0,59,Von Miller,0.0,nine,Von Miller,100.0
65,How many forced fumbles did Von Miller have during the Super Bowl 50 game?,"['2', 'two']",Super_Bowl_50,two,{'two': 'Von Miller'},100.0,two,Von Miller,100.0,two,Von Miller,100.0,two,Von Miller,0.0
66,Who won the MVP for the Super Bowl?,['Von Miller'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,0.0,Bart Starr,Super Bowl Most Valuable Player Award,1.0
67,How many tackles did Von Miller get during the game?,"['5', 'five']",Super_Bowl_50,,None,0.0,six,Von Miller,100.0,six,Von Miller,100.0,six,Von Miller,100.0
68,How many times was Cam Newton sacked in Super Bowl 50?,['seven'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,0.0,six,Cam Newton,1.0
69,How many times did the Denver defense force Newton into turnovers?,['three'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
70,Which Newton turnover resulted in seven points for Denver?,"['a fumble', 'fumble']",Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
71,Who was the Most Valuable Player of Super Bowl 50?,['Von Miller'],Super_Bowl_50,Randy Moss,{'Randy Moss': '2000 Pro Bowl'},100.0,Von Miller,Super Bowl Most Valuable Player Award,100.0,Randy Moss,2000 Pro Bowl,100.0,Randy Moss,2000 Pro Bowl,0.0
72,What position does Von Miller play?,['linebacker'],Super_Bowl_50,linebacker,{'linebacker': 'Von Miller'},100.0,linebacker,Von Miller,100.0,linebacker,Von Miller,0.0,center,Oliver Miller,100.0
73,How many times was the Panthers' quarterback sacked?,['seven'],Super_Bowl_50,four,{'four': '1996 Carolina Panthers season'},100.0,four,1996 Carolina Panthers season,100.0,four,1996 Carolina Panthers season,-1.0,None,None,101.0
74,How many times did the Broncos cause turnovers in the game?,['three'],Super_Bowl_50,eight,{'eight': 'History of the Denver Broncos'},100.0,eight,History of the Denver Broncos,100.0,eight,History of the Denver Broncos,0.0,four,History of the Denver Broncos,100.0
75,What Denver player caused two fumbles for the Panthers?,['Von Miller'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
76,How many tackles did Von Miller accomlish by himself in the game?,['five'],Super_Bowl_50,,None,0.0,59,Von Miller,0.0,six,Von Miller,100.0,six,Von Miller,100.0
77,Which network broadcasted Super Bowl 50 in the U.S.?,['CBS'],Super_Bowl_50,CBS,{'CBS': 'Super Bowl 50'},0.0,Fox,Super Bowl LI,0.0,NBC,NFL on CBS,100.0,NBC,NFL on television in the 1950s,100.0
78,What was the average cost for a 30 second commercial during Super Bowl 50?,['$5 million'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
79,Which group headlined the Super Bowl 50 halftime show?,['Coldplay'],Super_Bowl_50,The Who,{'The Who': 'The Concert for New York City'},100.0,Coldplay,Super Bowl 50,100.0,Coldplay,Super Bowl 50,0.0,Maroon 5,Super Bowl LIII halftime show,100.0
80,Which performers joined the headliner during the Super Bowl 50 halftime show?,['Beyoncé and Bruno Mars'],Super_Bowl_50,Red Hot Chili Peppers,{'Red Hot Chili Peppers': 'Super Bowl XLVIII halftime show'},25.0,"Madonna, Minaj and M.I.A.",Super Bowl XLVI halftime show,100.0,Red Hot Chili Peppers,Super Bowl XLVIII halftime show,100.0,Red Hot Chili Peppers,Super Bowl XLVIII halftime show,75.0
81,At which Super Bowl did Beyonce headline the halftime show?,"['Super Bowl XLVII', 'XLVII']",Super_Bowl_50,Super Bowl XLVII,{'Super Bowl XLVII': 'Super Bowl XLVII halftime show'},66.66666666666666,Super Bowl XLVI,Super Bowl XLVI halftime show,100.0,Super Bowl XLVI,Super Bowl XLVI halftime show,100.0,Super Bowl XLVI,Super Bowl XLVI halftime show,33.33333333333334
82,Who was the broadcaster for Super Bowl 50 in the United States?,['CBS'],Super_Bowl_50,Ken Marvin,{'Ken Marvin': '2000 Plus'},100.0,Ken Marvin,2000 Plus,100.0,Ken Marvin,2000 Plus,0.0,Al Michaels,NBC Sunday Night Football,100.0
83,What was the average cost of a 30-second commercial?,['$5 million'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
84,What halftime performer previously headlined Super Bowl XLVII?,['Beyoncé'],Super_Bowl_50,Beyoncé Knowles,{'Beyoncé Knowles': 'Super Bowl XLVIII halftime show'},100.0,Beyoncé Knowles,Super Bowl XLVIII halftime show,100.0,Beyoncé Knowles,Super Bowl XLVIII halftime show,100.0,Beyoncé Knowles,Super Bowl XLVIII halftime show,0.0
85,What halftime performer previously headlined Super Bowl XLVIII?,"['Bruno Mars', 'Mars']",Super_Bowl_50,Beyoncé Knowles,{'Beyoncé Knowles': 'Super Bowl XLVIII halftime show'},100.0,Bruno Mars,Super Bowl XLVII halftime show,100.0,Bruno Mars,Super Bowl XLVII halftime show,100.0,Bruno Mars,Super Bowl XLVII halftime show,0.0
86,Who was the main performer at this year's halftime show?,['Coldplay'],Super_Bowl_50,Bruno Mars,{'Bruno Mars': 'List of Super Bowl halftime shows'},0.0,Missy Elliot,Super Bowl XLIX halftime show,0.0,Justin Timberlake,Super Bowl LII halftime show,0.0,Janet Jackson,Super Bowl XXXVI halftime show,0.0
87,Which network broadcasted the 50th Super Bowl game? ,['CBS'],Super_Bowl_50,CBS,{'CBS': 'Super Bowl 50'},0.0,Fox,Super Bowl LI,100.0,Fox,Super Bowl LI,100.0,CBS,Super Bowl 50,100.0
88,What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,['$5 million'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
89,Who was the male singer who performed as a special guest during Super Bowl 50?,"['Bruno Mars', 'Bruno Mars,']",Super_Bowl_50,Bernard Watson,{'Bernard Watson': 'Bernard Watson'},36.787944117144235,Mars,Super Bowl 50 halftime show,0.0,Madonna,Super Bowl XLVI halftime show,100.0,Madonna,Super Bowl XLVI halftime show,100.0
90,What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,['third'],Super_Bowl_50,21,{'21': 'List of most watched television broadcasts in America'},100.0,third,Super Bowl 50 halftime show,0.0,fourth,Super Bowl 50 halftime show,100.0,fourth,Super Bowl 50 halftime show,100.0
91,What station aired the Super Bowl?,['CBS'],Super_Bowl_50,NBC,{'NBC': 'NBC Sunday Night Football'},100.0,CBS,List of Super Bowl lead-out programs,100.0,NBC,NFL on CBS,100.0,CBS,NFL on CBS,0.0
92,How much money did a 1/2 minute commercial cost?,['$5 million'],Super_Bowl_50,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
93,What band headlined half-time during Super Bowl 50?,['Coldplay'],Super_Bowl_50,The Hooligans,{'The Hooligans': 'Super Bowl XLVIII halftime show'},100.0,Coldplay,Super Bowl 50 halftime show,0.0,University of Minnesota Marching Band,Super Bowl LII halftime show,0.0,Maroon 5,Super Bowl LIII halftime show,100.0
94,What two artists came out with Coldplay during the half-time show?,['Beyoncé and Bruno Mars'],Super_Bowl_50,Jay-Z,{'Jay-Z': 'Chillin (Wale song)'},23.88437701912631,Bennett and Gaga,Cheek to Cheek Tour,-1.0,None,None,100.0,Bennett and Gaga,Cheek to Cheek Tour,101.0
95,Who broadcast the Super Bowl on TV?,['CBS'],Super_Bowl_50,CBS Sports,{'CBS Sports': 'NFL on CBS'},0.0,NBC,NFL on NBC,100.0,NBC,NFL on CBS,100.0,CBS,NFL on television in the 1960s,100.0
96,Who headlined the halftime show for Super Bowl 50?,['Coldplay'],Super_Bowl_50,Elton John,{'Elton John': 'Philadelphia Freedom Concert'},100.0,Coldplay,Super Bowl 50,100.0,Elton John,Philadelphia Freedom Concert,0.0,Maroon 5,Super Bowl LIII halftime show,100.0
97,Who were special guests for the Super Bowl halftime show?,['Beyoncé and Bruno Mars'],Super_Bowl_50,Red Hot Chili Peppers,{'Red Hot Chili Peppers': 'Super Bowl XLVIII halftime show'},20.0,Kelly Rowland and Michelle Williams,Super Bowl XLVII halftime show,100.0,Kelly Rowland and Michelle Williams,Super Bowl XLVII halftime show,100.0,Kelly Rowland and Michelle Williams,Super Bowl XLVII halftime show,80.0
98,Which Super Bowl halftime show did Beyoncé headline?,['Super Bowl XLVII'],Super_Bowl_50,Super Bowl XLVII,{'Super Bowl XLVII': 'Super Bowl XLVII halftime show'},0.0,Dreamgirls,The Beyoncé Experience,66.66666666666666,Super Bowl XLVI,Super Bowl XLVI halftime show,100.0,Super Bowl XLVI,Super Bowl XLVI halftime show,100.0
99,What was the cost for a half minute ad?,"['$5 million', '$5 million for a 30-second']",Super_Bowl_50,"$40,000","{'$40,000': 'Operation Prime Time'}",100.0,"$40,000",Operation Prime Time,100.0,"$40,000",Operation Prime Time,100.0,"$40,000",Operation Prime Time,0.0
100,Who lead the Super Bowl 50 halftime performance?,['Coldplay'],Super_Bowl_50,,None,0.0,Jim Gray,Super Bowl 50,100.0,Coldplay,Super Bowl 50,100.0,Jim Gray,Super Bowl 50,100.0
101,What other two famous performers were part of the Super Bowl 50 halftime?,['Beyoncé and Bruno Mars'],Super_Bowl_50,Pete Townshend and Roger Daltrey,{'Pete Townshend and Roger Daltrey': 'The Concert for New York City'},20.0,Janet Jackson and Justin Timberlake,List of Super Bowl halftime shows,50.0,Beyoncé and other artists,Super Bowl 50 halftime show,20.0,"Michael, Prince, Beyoncé, and Bruce",Super Bowl LI halftime show,30.0
102,What performer lead the Super Bowl XLVIII halftime show?,"['Bruno Mars', 'Coldplay']",Super_Bowl_50,Bruno Mars,{'Bruno Mars': 'List of Super Bowl halftime shows'},100.0,Bruno Mars,Super Bowl XLVIII halftime show,100.0,Bruno Mars,Super Bowl XLVIII halftime show,100.0,Bruno Mars,Super Bowl XLVIII halftime show,0.0
103,Who was the NFL Commissioner in early 2012?,"['Roger Goodell', 'Goodell']",Super_Bowl_50,,None,-1.0,None,None,100.0,Roger Goodell,Paul Tagliabue,100.0,Roger Goodell,Paul Tagliabue,101.0
104,Which Super Bowl did Roger Goodell speak about?,"['the 50th Super Bowl', 'the 50th', '50th']",Super_Bowl_50,,None,-1.0,None,None,66.66666666666666,Super Bowl XX,Charles Goodell,-1.0,None,None,67.66666666666666
105,In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?,['2012'],Super_Bowl_50,2012,{'2012': 'Super Bowl 50'},100.0,2012,Super Bowl 50,100.0,2012,Super Bowl 50,100.0,2012,Super Bowl 50,0.0
106,Who is the Commissioner of the National Football League?,"['Roger Goodell', 'Goodell']",Super_Bowl_50,Roger Stokoe Goodell,{'Roger Stokoe Goodell': 'Roger Goodell'},100.0,Roger Stokoe Goodell,Roger Goodell,100.0,Roger Goodell,National Football League player conduct policy,100.0,Roger Stokoe Goodell,Roger Goodell,0.0
107,When did he make the quoted remarks about Super Bowl 50?,"['early 2012', 'In early 2012', '2012']",Super_Bowl_50,"June 26, 1963","{'June 26, 1963': 'Ich bin ein Berliner'}",100.0,"June 26, 1963",Ich bin ein Berliner,100.0,"June 26, 1963",Ich bin ein Berliner,0.0,"May 10, 1980",A Limo for a Lame-O,100.0
108,Who was the commissioner of the NFL in 2012? ,"['Roger Goodell', 'Goodell']",Super_Bowl_50,,None,-1.0,None,None,100.0,Roger Goodell,Paul Tagliabue,100.0,Roger Goodell,Paul Tagliabue,101.0
