,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
10,how long was dark side of the moon number 1,"['42 : 49', 'a week']",The Dark Side of the Moon,"one week, 741 consecutive weeks (14 years, between 1.5 to 3.5 days, 14 years, 17 Days, 17 Days, Usage, sixteen, tenth, one day for each successive month. If you photographed the Moon's phase every day for a month, starting in the evening after sunset","{'one week': 'The Dark Side of the Moon', '741 consecutive weeks (14 years': 'The Dark Side of the Moon', 'between 1.5 to 3.5 days': 'Dark moon', '14 years': 'The Dark Side of the Moon', '17 Days': '17 Days (song)', 'Usage': 'Eclipse (song)', 'sixteen': 'I Was Only Nineteen', 'tenth': 'Eclipse (song)', ""one day for each successive month. If you photographed the Moon's phase every day for a month, starting in the evening after sunset"": 'Lunar phase'}",100.0,a week,The Dark Side of the Moon,100.0,one week,The Dark Side of the Moon,100.0,a week,The Dark Side of the Moon,0.0
11,where is the snooker world open currently held,"['Haikou', 'in Haikou on the Hainan Island', 'Hainan International Exhibition Center']",World Open (snooker),"Crucible Theatre in the English city of Sheffield, Lakeside Country Club, Royal Birkdale Golf Club, Lakeside, Crucible Theatre, Circus Tavern in Purfleet, Dublin, Lakeside Country Club in Frimley Green, Surrey, Circus Tavern, China Open","{'Crucible Theatre in the English city of Sheffield': 'World Snooker Championship', 'Lakeside Country Club': 'BDO World Darts Championship', 'Royal Birkdale Golf Club': 'List of The Open Championship venues', 'Lakeside': 'BDO World Darts Championship', 'Crucible Theatre': 'World Snooker Championship', 'Circus Tavern in Purfleet': 'PDC World Darts Championship', 'Dublin': 'World Grand Prix (darts)', 'Lakeside Country Club in Frimley Green, Surrey': 'BDO World Darts Championship', 'Circus Tavern': 'PDC World Darts Championship', 'China Open': 'Snooker world rankings'}",100.0,Lakeside,BDO World Darts Championship,100.0,Lakeside,BDO World Darts Championship,100.0,the Crucible,World Snooker Championship,0.0
12,who sings the theme song for degrassi the next generation,['Jakalope'],List of Degrassi soundtracks,"Cree Summer, Jakalope, Lewis Manne and Wendy Watson Destiny Fellows, Akina Shirt, Skye, Annette Ducharme, Paulina Mary Jean Gretzky, Skye Alexandra Sweetnam, Evren Ozdemir, Marcel Aymar","{'Cree Summer': 'OWL/TV', 'Jakalope': 'Degrassi theme songs and opening credits', 'Lewis Manne and Wendy Watson Destiny Fellows': 'Degrassi theme songs and opening credits', 'Akina Shirt': 'Akina Shirt', 'Skye': 'Skye Sweetnam', 'Annette Ducharme': 'Annette Ducharme', 'Paulina Mary Jean Gretzky': 'Paulina Gretzky', 'Skye Alexandra Sweetnam': 'Skye Sweetnam', 'Evren Ozdemir': 'Degrassi theme songs and opening credits', 'Marcel Aymar': 'Marcel Aymar'}",100.0,Akina Shirt,Akina Shirt,100.0,Akina Shirt,Akina Shirt,100.0,Akina Shirt,Akina Shirt,0.0
13,when did the first ice age come out,"['March 15 , 2002', '2002']",Ice Age (franchise),"2002, 2 to 3 Ma, 114,000 years ago, 1650, about 1770, and 1800/1850, 850 to 630 million years ago, 70,000 to 10,000 years ago, 126,000 ± 5,000 years ago, several thousand years ago, 1607, 131,000 years ago","{'2002': 'Ice Age (film)', '2 to 3 Ma': 'Quaternary glaciation', '114,000 years ago': 'Eemian interglacial', '1650, about 1770, and 1800/1850': 'Little Ice Age', '850 to 630 million years ago': 'Ice age', '70,000 to 10,000 years ago': 'Ice age', '126,000 ± 5,000 years ago': 'Late Pleistocene', 'several thousand years ago': 'Ice age', '1607': 'Little Ice Age', '131,000 years ago': 'Eemian interglacial'}",100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (franchise),100.0,2002,Ice Age (2002 film),0.0
14,who does dwyane wade play for right now,"['the Miami Heat', 'the Miami Heat of the National Basketball Association ( NBA )', 'Miami Heat']",Dwyane Wade,"NBA, Washington Redskins, New Orleans Saints, New Orleans Saints, Offensive tackle, Miami Heat, Washington Redskins, Washington Redskins, New York Jets, New York Giants","{'NBA': 'Dwyane Wade', 'Washington Redskins': 'Todd Wade', 'New Orleans Saints': 'Willie Evans', 'Offensive tackle': 'Albert Toeaina', 'Miami Heat': 'Dwyane Wade', 'New York Jets': 'Wade Smith', 'New York Giants': 'Chris Snee'}",100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,100.0,Miami Heat,Dwyane Wade,0.0
15,who did johnny manziel play college football for,"['Texas A&M', 'Texas A&M University', 'Texas A&M Aggies']",Johnny Manziel,"Fort Hays State University, Oklahoma State University, Pittsburgh Steelers, Indiana University, Texas A&amp;M University, Baltimore Ravens, University of Notre Dame, Colgate University, and professionally for the American Football League's San Diego Chargers, New England Patriots, University of Georgia","{'Fort Hays State University': 'Les Miller', 'Oklahoma State University': 'Dexter Manley', 'Pittsburgh Steelers': 'Najeh Davenport', 'Indiana University': 'George Taliaferro', 'Texas A&amp;M University': 'Bobby Joe Conrad', 'Baltimore Ravens': 'Musa Smith', 'University of Notre Dame': 'Johnny Lujack', ""Colgate University, and professionally for the American Football League's San Diego Chargers"": 'Jacque MacKinnon', 'New England Patriots': 'Richard Tardits', 'University of Georgia': 'John Rauch'}",100.0,Texas A&amp;M,Johnny Manziel,100.0,University of Notre Dame,Edgar Miller,100.0,Texas A&amp;M,Johnny Manziel,0.0
16,india south africa test series 2018 highest runs,"['AB de Villiers', '286']",Indian cricket team in South Africa in 2017–18,"123, 243, World Cup Centuries., 132-3, Rank represents current official ICC Team Rank ""
Team Statistics - Test Matches.
Rank represents current official ICC Team Rank ""
Team Statistics - Twenty20., 36, 443-9, 2:1, 8.26). India entered the match with considerable pressure, having lost to Bangladesh in their first match, and they responded accordingly, also tying the record for most sixes, 293 and 165","{'123': 'Indian cricket team in South Africa in 2006-07', '243': 'Indian cricket team in South Africa in 2006-07', 'World Cup Centuries.': 'List of England One-Day International cricket records', '132-3': 'List of Cricket World Cup records', 'Rank represents current official ICC Team Rank ""\nTeam Statistics - Test Matches.\nRank represents current official ICC Team Rank ""\nTeam Statistics - Twenty20.': 'Pakistan Cricket Team Records', '36': 'Run rate', '443-9': 'List of One Day International cricket records', '2:1': 'Indian cricket team in South Africa in 2006-07', '8.26). India entered the match with considerable pressure, having lost to Bangladesh in their first match, and they responded accordingly, also tying the record for most sixes': 'List of Cricket World Cup records', '293 and 165': 'Indian cricket team in England in 1952'}",100.0,36,Run rate,22.22222222222222,238 runs. This beat the previous record of 237,Pakistani cricket team in South Africa in 2012–13,100.0,238 runs. This beat the previous record of 237,Pakistani cricket team in South Africa in 2012–13,77.77777777777777
17,who was last person to be executed in us,['Ruben Cardenas Ramirez'],List of offenders executed in the United States in 2017,"Rainey Bethea, Harold Van Venison, John Albert Taylor, Rainey Bethea, Leonard Shockley, Billy Bailey, John B. Nixon, James Terry Roach, Clarence Ray Allen, Bailey","{'Rainey Bethea': 'Rainey Bethea', 'Harold Van Venison': 'Rainey Bethea', 'John Albert Taylor': 'John Albert Taylor', 'Leonard Shockley': 'List of juvenile offenders executed in the United States', 'Billy Bailey': 'Billy Bailey', 'John B. Nixon': 'Clarence Ray Allen', 'James Terry Roach': 'James Terry Roach', 'Clarence Ray Allen': 'Clarence Ray Allen', 'Bailey': 'Billy Bailey'}",100.0,Rainey Bethea,Rainey Bethea,100.0,Rainey Bethea,Rainey Bethea,100.0,Rainey Bethea,Rainey Bethea,0.0
18,when was united nations convention on the rights of the child created,['20 November 1989'],Convention on the Rights of the Child,"1990, 1945, 1959, 1989, 1948, 1979, 25 June 1993, 1989; it came into force on September 2 1990, The Covenant of the League of Nations was the treaty that established this predecessor to the United Nations. The UN Charter is essentially a strengthened version of the Covenant, with many parallel provisions and structures. The treaty entered into force on January 10, 1920, 1982","{'1990': 'African Charter on the Rights and Welfare of the Child', '1945': 'United Nations Charter', '1959': 'Declaration of the Rights of the Child', '1989': 'Convention on the Rights of the Child', '1948': 'Convention on the Rights of the Child', '1979': 'International Year of the Child', '25 June 1993': 'Vienna Declaration and Programme of Action', '1989; it came into force on September 2 1990': 'Convention on the Rights of the Child', 'The Covenant of the League of Nations was the treaty that established this predecessor to the United Nations. The UN Charter is essentially a strengthened version of the Covenant, with many parallel provisions and structures. The treaty entered into force on January 10, 1920': 'Covenant of the League of Nations', '1982': 'Declaration on the Rights of Indigenous Peoples'}",100.0,1989,Declaration of the Rights of the Child,100.0,1989,Declaration of the Rights of the Child,100.0,1989,International Year of the Child,0.0
19,tallest building in the world of all time,['Burj Khalifa'],History of the world's tallest buildings,"Taipei 101, Burj Dubai, The Sears Tower, 2.59m, Burj Dubai, Mojave Desert, Christian churches, single segment buildings, Chicago Temple Building, This is a list of people who have been described or claimed as ""tallest"" in their lifetime or profession.","{'Taipei 101': 'List of tallest structures in the United States', 'Burj Dubai': 'List of tallest buildings and structures in the world', 'The Sears Tower': 'List of tallest buildings and structures in the world', '2.59m': 'Leonid Stadnyk', 'Mojave Desert': ""World's tallest thermometer"", 'Christian churches': 'List of tallest churches in the world', 'single segment buildings': 'List of the longest buildings in the world', 'Chicago Temple Building': 'List of tallest churches in the world', 'This is a list of people who have been described or claimed as ""tallest"" in their lifetime or profession.': 'List of tallest people'}",50.0,Burj Khalifa,List of tallest buildings in the world,100.0,Burj Khalifa,History of the tallest buildings in the world,100.0,Burj Khalifa,List of tallest buildings and structures,50.0
20,who plays chummy's mother in call the midwife,['Cheryl Campbell'],List of Call the Midwife characters,"Anne Reid, Lalia Morse, Ann Cuerton Davies, Doña Croll, Celia Weston, Adjoa Andoh, Jackie Clune, Judith M. Loe, Lorna Bennett, Francine Jones","{'Anne Reid': 'The Mother (film)', 'Lalia Morse': 'Honky Sausages', 'Ann Cuerton Davies': 'Ann Davies (actress)', 'Doña Croll': 'Doña Croll', 'Celia Weston': 'Junebug (film)', 'Adjoa Andoh': 'Adjoa Andoh', 'Jackie Clune': 'Jackie Clune', 'Judith M. Loe': 'Judy Loe', 'Lorna Bennett': 'Lorna Bennett', 'Francine Jones': 'Adjoa Andoh'}",0.0,Amy McAllister,Amy McAllister,100.0,Amy McAllister,Amy McAllister,100.0,Amy McAllister,Amy McAllister,100.0
21,who was the nfl first draft pick 2017,['Myles Garrett'],2017 NFL Draft,"Alex Smith, Major League Baseball's first overall draft picks from the Major League Baseball Draft, Carolina Panthers, Lawrence Phillips, Baltimore Ravens, Orlando Pace, New York Jets, New England Patriots 
177 Selwyn Jones, Michael Vick, Chris Hakel","{'Alex Smith': '2005 NFL Draft', ""Major League Baseball's first overall draft picks from the Major League Baseball Draft"": 'List of Major League Baseball first overall draft choices', 'Carolina Panthers': 'List of Carolina Panthers first-round draft picks', 'Lawrence Phillips': '1996 NFL Draft', 'Baltimore Ravens': 'List of Baltimore Ravens first-round draft picks', 'Orlando Pace': '1997 NFL Draft', 'New York Jets': '2000 NFL Draft', 'New England Patriots \n177 Selwyn Jones': '1992 NFL draft', 'Michael Vick': '2001 NFL Draft', 'Chris Hakel': '1992 NFL draft'}",100.0,Orlando Pace,1997 NFL draft,100.0,Orlando Pace,1997 NFL draft,100.0,Orlando Pace,1997 NFL Draft,0.0
22,when did the song rapper's delight come out,"['September 16 , 1979', '1979']",Rapper's Delight,"1979, 1979, 1979, 1979, predates the advent of the sampler, 2005, 1970, 1992, 2004, Good Times"" and became a worldwide hit, reportedly selling more than eight million copies","{'1979': ""Rapper's Delight"", 'predates the advent of the sampler': ""Rapper's Delight"", '2005': 'The Chronic', '1970': 'The Rapper', '1992': 'The Chronic', '2004': 'Aasim', 'Good Times"" and became a worldwide hit, reportedly selling more than eight million copies': 'The Sugarhill Gang'}",100.0,1979,Wonder Mike,100.0,1979,Wonder Mike,100.0,1979,Wonder Mike,0.0
23,who won the mens single ice skating 2018,['Yuzuru Hanyu'],Figure skating at the 2018 Winter Olympics – Men's singles,"Thomas Paulson, Taylor Toth, Ryan Jahnke, Stephane Lambiel, Roman Kostomarov, Shakhrai, Marina Cherkasova, Nicholas LaRoche, Sergey Petrovich Tarasov, Joubert","{'Thomas Paulson': 'Thomas Paulson', 'Taylor Toth': 'Taylor Toth', 'Ryan Jahnke': 'Ryan Jahnke', 'Stephane Lambiel': 'Brian Joubert', 'Roman Kostomarov': 'Roman Kostomarov', 'Shakhrai': 'Sergei Shakhrai', 'Marina Cherkasova': 'Sergei Shakhrai', 'Nicholas LaRoche': 'Nicholas LaRoche', 'Sergey Petrovich Tarasov': 'Sergey Tarasov', 'Joubert': 'Brian Joubert'}",100.0,Joubert,Brian Joubert,7.1428571428571415,Joubert won their medals consecutively. Joubert later said he feels less pressure with Amodio,Brian Joubert,0.0,David Gleirscher,Luge at the 2018 Winter Olympics – Men's singles,100.0
24,what is the name of governor of maharashtra,['Chennamaneni Vidyasagar Rao'],List of governors of Maharashtra,"Somanahalli Mallaiah Krishna, Ekkadu Srinivasan Lakshmi Narasimhan, Gopinath Munde, Deshmukh, H.E. Nawal Kishore Sharma, Chief Minister, Deshmukh, Vilasrao Deshmukh, Vilasrao Dadoji Deshmukh, Sanayangba Chubatoshi Jamir","{'Somanahalli Mallaiah Krishna': 'S. M. Krishna', 'Ekkadu Srinivasan Lakshmi Narasimhan': 'E. S. L. Narasimhan', 'Gopinath Munde': 'Gopinath Munde', 'Deshmukh': 'Vilasrao Deshmukh', 'H.E. Nawal Kishore Sharma': 'Governors of Gujarat', 'Chief Minister': 'List of Chief Ministers of Maharashtra', 'Vilasrao Deshmukh': 'Government of Maharashtra', 'Vilasrao Dadoji Deshmukh': 'Vilasrao Deshmukh', 'Sanayangba Chubatoshi Jamir': 'S.C. Jamir'}",25.0,Dr Hare Krishna Mehtab,Hare Krishna Mehtab,66.66666666666666,Deputy Chief Minister,Deputy Chief Minister of Maharashtra,100.0,Deputy Chief Minister,Deputy Chief Minister of Maharashtra,75.0
25,who was the first indian to be appointed as a judge in the international court of justice,['Sir Benegal Narsing Rau'],Judges of the International Court of Justice,"Harilal Jekisundas Kania, Green Haywood Hackworth, Harilal Jekisundas Kania, Roma Prasad Roy, A. M. Ahmadi, Nagendra Singh, Romesh Chandra, Arijit Pasayat, Justice Srikrishna, Jagmohanlal Sinha","{'Harilal Jekisundas Kania': 'H. J. Kania', 'Green Haywood Hackworth': 'Green Hackworth', 'Roma Prasad Roy': 'Romesh Chandra Mitra', 'A. M. Ahmadi': 'A. M. Ahmadi', 'Nagendra Singh': 'Nagendra Singh', 'Romesh Chandra': 'Romesh Chandra Mitra', 'Arijit Pasayat': 'Arijit Pasayat', 'Justice Srikrishna': 'B. N. Srikrishna', 'Jagmohanlal Sinha': 'Jagmohanlal Sinha'}",100.0,Green Haywood Hackworth,Green Hackworth,100.0,Roma Prasad Roy,Romesh Chandra Mitra,100.0,Nagendra Singh,Nagendra Singh,0.0
26,when do the new episodes of supernatural start,"['May 10 , 2018']",Supernatural (season 13),"December 13, 2007, November 5, 2007, October 4, 2007, September 23, 2007, September 13, 2005, 2008, November, Eight, 1999, Saturday December 29, 2007","{'December 13, 2007': 'List of Supernatural episodes', 'November 5, 2007': 'The Oaks (TV series)', 'October 4, 2007': 'Supernatural (TV series)', 'September 23, 2007': 'List of Cold Case episodes', 'September 13, 2005': 'Supernatural (TV series)', '2008': 'The Oaks (TV series)', 'November': 'The Oaks (TV series)', 'Eight': 'Supernatural (UK TV series)', '1999': 'Supernatural (BBC TV series)', 'Saturday December 29, 2007': 'Bone Detectives'}",100.0,2005,Supernatural (season 1),100.0,2005,Supernatural (season 1),66.66666666666666,"September 18, 2008",Supernatural (U.S. TV series),33.33333333333334
27,when was the first season of when calls the heart,"['January 11 , 2014', '2014']",When Calls the Heart,"1996, 1998, 1994-1995, September 1986 to January 1987, Broadway, September 8, 1969, to Friday, March 23, 1973, May 11, 1998, 2004, 1979-80, 1981","{'1996': 'Where the Heart Is (1997 TV series)', '1998': 'Call for Help', '1994-1995': 'ER (season 1)', 'September 1986 to January 1987': 'Heart of the City (TV series)', 'Broadway': 'Crimes of the Heart', 'September 8, 1969, to Friday, March 23, 1973': 'Where the Heart Is (1969 TV series)', 'May 11, 1998': 'Call for Help', '2004': 'Call for Help', '1979-80': 'Crimes of the Heart', '1981': 'Crimes of the Heart'}",100.0,September 1986,Heart of the City (TV series),74.303819978587,"September 8, 1969 to March 23, 1973",Where the Heart Is (US TV series),100.0,"September 8, 1969 to March 23, 1973",Where the Heart Is (US TV series),25.696180021413
